ticker,has_daily_cache_file,has_hourly_cache_file,daily_cache_rows,hourly_cache_rows,daily_cache_first_date,daily_cache_last_date,hourly_cache_first_date,hourly_cache_last_date,official_daily_actual_start,official_daily_actual_end,official_hourly_actual_start,official_hourly_actual_end,daily_pre_eval_rows,daily_eval_rows,hourly_pre_eval_rows,hourly_eval_rows,daily_benchmark_usable_2025,hourly_benchmark_usable_2025,benchmark_usable_2025,benchmark_usable_frequency,effective_daily_start,effective_daily_end,effective_hourly_start,effective_hourly_end,missing_data_reason,can_enter_expanded_benchmark
DPR,False,False,0,0,,,,,,,,,0,0,0,0,False,False,False,,,,,,daily:cache_missing; pre_eval_rows_below_min:0<120; eval_rows_below_min:0<60 | hourly:cache_missing; pre_eval_rows_below_min:0<500; eval_rows_below_min:0<500,False
DXG,True,True,1501,860,2009-12-22,2015-12-31,,,2009-12-22,2015-12-31,2025-08-27,2025-12-31,1501,0,0,445,False,False,False,,2009-12-22,2015-12-31,2025-08-27,2025-12-31,daily:ends_before_eval_end_tolerance; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:445<500,False
EIB,True,True,1541,860,2009-10-27,2015-12-31,,,2009-10-27,2015-12-31,2025-08-27,2025-12-31,1541,0,0,445,False,False,False,,2009-10-27,2015-12-31,2025-08-27,2025-12-31,daily:ends_before_eval_end_tolerance; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:445<500,False
EVF,False,True,0,860,,,,,,,2025-08-27,2025-12-31,0,0,0,445,False,False,False,,,,2025-08-27,2025-12-31,daily:cache_missing; pre_eval_rows_below_min:0<120; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:445<500,False
FCN,False,False,0,0,,,,,,,,,0,0,0,0,False,False,False,,,,,,daily:cache_missing; pre_eval_rows_below_min:0<120; eval_rows_below_min:0<60 | hourly:cache_missing; pre_eval_rows_below_min:0<500; eval_rows_below_min:0<500,False
FPT,True,True,2250,620,2006-12-13,2015-12-31,,,2006-12-13,2015-12-31,2025-11-05,2025-12-31,2250,0,0,205,False,False,False,,2006-12-13,2015-12-31,2025-11-05,2025-12-31,daily:ends_before_eval_end_tolerance; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:205<500,False
FRT,False,True,0,860,,,,,,,2025-08-27,2025-12-31,0,0,0,445,False,False,False,,,,2025-08-27,2025-12-31,daily:cache_missing; pre_eval_rows_below_min:0<120; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:445<500,False
FTS,False,True,0,860,,,,,,,2025-08-27,2025-12-31,0,0,0,445,False,False,False,,,,2025-08-27,2025-12-31,daily:cache_missing; pre_eval_rows_below_min:0<120; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:445<500,False
GAS,True,True,904,655,2012-05-21,2015-12-31,,,2012-05-21,2015-12-31,2025-10-27,2025-12-31,904,0,0,240,False,False,False,,2012-05-21,2015-12-31,2025-10-27,2025-12-31,daily:ends_before_eval_end_tolerance; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:240<500,False
GEX,True,True,49,115,2015-10-26,2015-12-31,,,2015-10-26,2015-12-31,,,49,0,0,0,False,False,False,,2015-10-26,2015-12-31,,,daily:ends_before_eval_end_tolerance; pre_eval_rows_below_min:49<120; eval_rows_below_min:0<60 | hourly:cache_missing; pre_eval_rows_below_min:0<500; eval_rows_below_min:0<500,False
GIL,True,False,2487,0,2006-01-03,2015-12-31,,,2006-01-03,2015-12-31,,,2487,0,0,0,False,False,False,,2006-01-03,2015-12-31,,,daily:ends_before_eval_end_tolerance; eval_rows_below_min:0<60 | hourly:cache_missing; pre_eval_rows_below_min:0<500; eval_rows_below_min:0<500,False
GMD,True,True,2487,860,2006-01-03,2015-12-31,,,2006-01-03,2015-12-31,2025-08-27,2025-12-31,2487,0,0,445,False,False,False,,2006-01-03,2015-12-31,2025-08-27,2025-12-31,daily:ends_before_eval_end_tolerance; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:445<500,False
GVR,False,True,0,655,,,,,,,2025-10-27,2025-12-31,0,0,0,240,False,False,False,,,,2025-10-27,2025-12-31,daily:cache_missing; pre_eval_rows_below_min:0<120; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:240<500,False
HAG,True,True,1752,860,2008-12-22,2015-12-31,,,2008-12-22,2015-12-31,2025-08-27,2025-12-31,1752,0,0,445,False,False,False,,2008-12-22,2015-12-31,2025-08-27,2025-12-31,daily:ends_before_eval_end_tolerance; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:445<500,False
HAH,False,False,0,0,,,,,,,,,0,0,0,0,False,False,False,,,,,,daily:cache_missing; pre_eval_rows_below_min:0<120; eval_rows_below_min:0<60 | hourly:cache_missing; pre_eval_rows_below_min:0<500; eval_rows_below_min:0<500,False
HCM,True,True,1655,410,2009-05-19,2015-12-31,,,2009-05-19,2015-12-31,,,1655,0,0,0,False,False,False,,2009-05-19,2015-12-31,,,daily:ends_before_eval_end_tolerance; eval_rows_below_min:0<60 | hourly:cache_missing; pre_eval_rows_below_min:0<500; eval_rows_below_min:0<500,False
HDB,False,True,0,570,,,,,,,2025-11-19,2025-12-31,0,0,0,155,False,False,False,,,,2025-11-19,2025-12-31,daily:cache_missing; pre_eval_rows_below_min:0<120; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:155<500,False
HDC,True,True,2049,655,2007-10-08,2015-12-31,,,2007-10-08,2015-12-31,2025-10-27,2025-12-31,2049,0,0,240,False,False,False,,2007-10-08,2015-12-31,2025-10-27,2025-12-31,daily:ends_before_eval_end_tolerance; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:240<500,False
HDG,True,True,1472,270,2010-02-02,2015-12-31,,,2010-02-02,2015-12-31,,,1472,0,0,0,False,False,False,,2010-02-02,2015-12-31,,,daily:ends_before_eval_end_tolerance; eval_rows_below_min:0<60 | hourly:cache_missing; pre_eval_rows_below_min:0<500; eval_rows_below_min:0<500,False
HHV,True,True,9,545,2015-12-21,2015-12-31,,,2015-12-21,2015-12-31,2025-11-26,2025-12-31,9,0,0,130,False,False,False,,2015-12-21,2015-12-31,2025-11-26,2025-12-31,daily:ends_before_eval_end_tolerance; pre_eval_rows_below_min:9<120; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:130<500,False
HPG,True,True,2021,90,2007-11-15,2015-12-31,,,2007-11-15,2015-12-31,,,2021,0,0,0,False,False,False,,2007-11-15,2015-12-31,,,daily:ends_before_eval_end_tolerance; eval_rows_below_min:0<60 | hourly:cache_missing; pre_eval_rows_below_min:0<500; eval_rows_below_min:0<500,False
HSG,True,True,1763,115,2008-12-05,2015-12-31,,,2008-12-05,2015-12-31,,,1763,0,0,0,False,False,False,,2008-12-05,2015-12-31,,,daily:ends_before_eval_end_tolerance; eval_rows_below_min:0<60 | hourly:cache_missing; pre_eval_rows_below_min:0<500; eval_rows_below_min:0<500,False
HT1,True,True,2023,655,2007-11-13,2015-12-31,,,2007-11-13,2015-12-31,2025-10-27,2025-12-31,2023,0,0,240,False,False,False,,2007-11-13,2015-12-31,2025-10-27,2025-12-31,daily:ends_before_eval_end_tolerance; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:240<500,False
IJC,False,False,0,0,,,,,,,,,0,0,0,0,False,False,False,,,,,,daily:cache_missing; pre_eval_rows_below_min:0<120; eval_rows_below_min:0<60 | hourly:cache_missing; pre_eval_rows_below_min:0<500; eval_rows_below_min:0<500,False
KBC,True,True,1503,860,2009-12-18,2015-12-31,,,2009-12-18,2015-12-31,2025-08-27,2025-12-31,1503,0,0,445,False,False,False,,2009-12-18,2015-12-31,2025-08-27,2025-12-31,daily:ends_before_eval_end_tolerance; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:445<500,False
KDC,True,True,2487,479,2006-01-03,2015-12-31,,,2006-01-03,2015-12-31,2025-12-15,2025-12-31,2487,0,0,65,False,False,False,,2006-01-03,2015-12-31,2025-12-15,2025-12-31,daily:ends_before_eval_end_tolerance; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:65<500,False
KDH,True,True,1473,860,2010-02-01,2015-12-31,,,2010-02-01,2015-12-31,2025-08-27,2025-12-31,1473,0,0,445,False,False,False,,2010-02-01,2015-12-31,2025-08-27,2025-12-31,daily:ends_before_eval_end_tolerance; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:445<500,False
LCG,False,False,0,0,,,,,,,,,0,0,0,0,False,False,False,,,,,,daily:cache_missing; pre_eval_rows_below_min:0<120; eval_rows_below_min:0<60 | hourly:cache_missing; pre_eval_rows_below_min:0<500; eval_rows_below_min:0<500,False
LPB,False,True,0,860,,,,,,,2025-08-27,2025-12-31,0,0,0,445,False,False,False,,,,2025-08-27,2025-12-31,daily:cache_missing; pre_eval_rows_below_min:0<120; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:445<500,False
MBB,True,True,1039,860,2011-11-01,2015-12-31,,,2011-11-01,2015-12-31,2025-08-27,2025-12-31,1039,0,0,445,False,False,False,,2011-11-01,2015-12-31,2025-08-27,2025-12-31,daily:ends_before_eval_end_tolerance; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:445<500,False
MSB,False,True,0,655,,,,,,,2025-10-27,2025-12-31,0,0,0,240,False,False,False,,,,2025-10-27,2025-12-31,daily:cache_missing; pre_eval_rows_below_min:0<120; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:240<500,False
MSN,True,True,1534,860,2009-11-05,2015-12-31,,,2009-11-05,2015-12-31,2025-08-27,2025-12-31,1534,0,0,445,False,False,False,,2009-11-05,2015-12-31,2025-08-27,2025-12-31,daily:ends_before_eval_end_tolerance; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:445<500,False
MWG,True,True,369,860,2014-07-14,2015-12-31,,,2014-07-14,2015-12-31,2025-08-27,2025-12-31,369,0,0,445,False,False,False,,2014-07-14,2015-12-31,2025-08-27,2025-12-31,daily:ends_before_eval_end_tolerance; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:445<500,False
NKG,True,True,1235,860,2011-01-14,2015-12-31,,,2011-01-14,2015-12-31,2025-08-27,2025-12-31,1235,0,0,445,False,False,False,,2011-01-14,2015-12-31,2025-08-27,2025-12-31,daily:ends_before_eval_end_tolerance; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:445<500,False
NLG,True,True,682,655,2013-04-08,2015-12-31,,,2013-04-08,2015-12-31,2025-10-27,2025-12-31,682,0,0,240,False,False,False,,2013-04-08,2015-12-31,2025-10-27,2025-12-31,daily:ends_before_eval_end_tolerance; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:240<500,False
NT2,True,True,1436,655,2010-02-05,2015-12-31,,,2010-02-05,2015-12-31,2025-10-27,2025-12-31,1436,0,0,240,False,False,False,,2010-02-05,2015-12-31,2025-10-27,2025-12-31,daily:ends_before_eval_end_tolerance; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:240<500,False
NVL,False,True,0,860,,,,,,,2025-08-27,2025-12-31,0,0,0,445,False,False,False,,,,2025-08-27,2025-12-31,daily:cache_missing; pre_eval_rows_below_min:0<120; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:445<500,False
OCB,False,True,0,860,,,,,,,2025-08-27,2025-12-31,0,0,0,445,False,False,False,,,,2025-08-27,2025-12-31,daily:cache_missing; pre_eval_rows_below_min:0<120; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:445<500,False
PAN,True,True,1256,655,2010-12-15,2015-12-31,,,2010-12-15,2015-12-31,2025-10-27,2025-12-31,1256,0,0,240,False,False,False,,2010-12-15,2015-12-31,2025-10-27,2025-12-31,daily:ends_before_eval_end_tolerance; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:240<500,False
PC1,False,True,0,655,,,,,,,2025-10-27,2025-12-31,0,0,0,240,False,False,False,,,,2025-10-27,2025-12-31,daily:cache_missing; pre_eval_rows_below_min:0<120; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:240<500,False
PDR,True,True,1352,860,2010-07-30,2015-12-31,,,2010-07-30,2015-12-31,2025-08-27,2025-12-31,1352,0,0,445,False,False,False,,2010-07-30,2015-12-31,2025-08-27,2025-12-31,daily:ends_before_eval_end_tolerance; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:445<500,False
PET,False,False,0,0,,,,,,,,,0,0,0,0,False,False,False,,,,,,daily:cache_missing; pre_eval_rows_below_min:0<120; eval_rows_below_min:0<60 | hourly:cache_missing; pre_eval_rows_below_min:0<500; eval_rows_below_min:0<500,False
PHR,True,True,1590,860,2009-08-18,2015-12-31,,,2009-08-18,2015-12-31,2025-08-27,2025-12-31,1590,0,0,445,False,False,False,,2009-08-18,2015-12-31,2025-08-27,2025-12-31,daily:ends_before_eval_end_tolerance; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:445<500,False
PLX,False,True,0,860,,,,,,,2025-08-27,2025-12-31,0,0,0,445,False,False,False,,,,2025-08-27,2025-12-31,daily:cache_missing; pre_eval_rows_below_min:0<120; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:445<500,False
PNJ,True,True,1693,160,2009-03-23,2015-12-31,,,2009-03-23,2015-12-31,,,1693,0,0,0,False,False,False,,2009-03-23,2015-12-31,,,daily:ends_before_eval_end_tolerance; eval_rows_below_min:0<60 | hourly:cache_missing; pre_eval_rows_below_min:0<500; eval_rows_below_min:0<500,False
POW,False,True,0,600,,,,,,,2025-11-11,2025-12-31,0,0,0,185,False,False,False,,,,2025-11-11,2025-12-31,daily:cache_missing; pre_eval_rows_below_min:0<120; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:185<500,False
PTB,False,False,0,0,,,,,,,,,0,0,0,0,False,False,False,,,,,,daily:cache_missing; pre_eval_rows_below_min:0<120; eval_rows_below_min:0<60 | hourly:cache_missing; pre_eval_rows_below_min:0<500; eval_rows_below_min:0<500,False
PVD,True,True,2256,655,2006-12-05,2015-12-31,,,2006-12-05,2015-12-31,2025-10-27,2025-12-31,2256,0,0,240,False,False,False,,2006-12-05,2015-12-31,2025-10-27,2025-12-31,daily:ends_before_eval_end_tolerance; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:240<500,False
PVT,True,True,2004,860,2007-12-10,2015-12-31,,,2007-12-10,2015-12-31,2025-08-27,2025-12-31,2004,0,0,445,False,False,False,,2007-12-10,2015-12-31,2025-08-27,2025-12-31,daily:ends_before_eval_end_tolerance; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:445<500,False
REE,True,True,2487,335,2006-01-03,2015-12-31,,,2006-01-03,2015-12-31,,,2487,0,0,0,False,False,False,,2006-01-03,2015-12-31,,,daily:ends_before_eval_end_tolerance; eval_rows_below_min:0<60 | hourly:cache_missing; pre_eval_rows_below_min:0<500; eval_rows_below_min:0<500,False
SAB,False,True,0,480,,,,,,,2025-12-15,2025-12-31,0,0,0,65,False,False,False,,,,2025-12-15,2025-12-31,daily:cache_missing; pre_eval_rows_below_min:0<120; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:65<500,False
SBT,True,True,1957,180,2008-02-25,2015-12-31,,,2008-02-25,2015-12-31,,,1957,0,0,0,False,False,False,,2008-02-25,2015-12-31,,,daily:ends_before_eval_end_tolerance; eval_rows_below_min:0<60 | hourly:cache_missing; pre_eval_rows_below_min:0<500; eval_rows_below_min:0<500,False
SHB,True,True,1674,230,2009-04-20,2015-12-31,,,2009-04-20,2015-12-31,,,1674,0,0,0,False,False,False,,2009-04-20,2015-12-31,,,daily:ends_before_eval_end_tolerance; eval_rows_below_min:0<60 | hourly:cache_missing; pre_eval_rows_below_min:0<500; eval_rows_below_min:0<500,False
SSB,False,True,0,860,,,,,,,2025-08-27,2025-12-31,0,0,0,445,False,False,False,,,,2025-08-27,2025-12-31,daily:cache_missing; pre_eval_rows_below_min:0<120; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:445<500,False
SSI,True,True,2238,605,2006-12-15,2015-12-31,,,2006-12-15,2015-12-31,2025-11-10,2025-12-31,2238,0,0,190,False,False,False,,2006-12-15,2015-12-31,2025-11-10,2025-12-31,daily:ends_before_eval_end_tolerance; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:190<500,False
STB,True,True,2359,860,2006-07-12,2015-12-31,,,2006-07-12,2015-12-31,2025-08-27,2025-12-31,2359,0,0,445,False,False,False,,2006-07-12,2015-12-31,2025-08-27,2025-12-31,daily:ends_before_eval_end_tolerance; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:445<500,False
SZC,False,True,0,655,,,,,,,2025-10-27,2025-12-31,0,0,0,240,False,False,False,,,,2025-10-27,2025-12-31,daily:cache_missing; pre_eval_rows_below_min:0<120; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:240<500,False
TCB,False,True,0,655,,,,,,,2025-10-27,2025-12-31,0,0,0,240,False,False,False,,,,2025-10-27,2025-12-31,daily:cache_missing; pre_eval_rows_below_min:0<120; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:240<500,False
TCH,False,True,0,655,,,,,,,2025-10-27,2025-12-31,0,0,0,240,False,False,False,,,,2025-10-27,2025-12-31,daily:cache_missing; pre_eval_rows_below_min:0<120; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:240<500,False
TNH,False,False,0,0,,,,,,,,,0,0,0,0,False,False,False,,,,,,daily:cache_missing; pre_eval_rows_below_min:0<120; eval_rows_below_min:0<60 | hourly:cache_missing; pre_eval_rows_below_min:0<500; eval_rows_below_min:0<500,False
