frequency,exante_regime,model,horizon,n_obs,accuracy,passed_60pct,passed_63pct,reliable
hourly,sideways,lightgbm,8,7526,0.5083709806005846,False,False,True
hourly,sideways,lightgbm,20,5949,0.5059673894772231,False,False,True
hourly,sideways,random_forest,1,7304,0.5503833515881709,False,False,True
hourly,sideways,random_forest,4,7881,0.5183352366450958,False,False,True
hourly,sideways,random_forest,8,7526,0.5075737443529099,False,False,True
hourly,sideways,random_forest,20,5949,0.49033451000168093,False,False,True
hourly,sideways,stacking,1,7304,0.5557228915662651,False,False,True
hourly,sideways,stacking,4,7881,0.5144017256693313,False,False,True
hourly,sideways,stacking,8,7526,0.4940207281424395,False,False,True
hourly,sideways,stacking,20,5949,0.4462934947049924,False,False,True
hourly,sideways,xgboost,1,7304,0.5491511500547646,False,False,True
hourly,sideways,xgboost,4,7881,0.5168125872351225,False,False,True
hourly,sideways,xgboost,8,7526,0.5057135264416689,False,False,True
hourly,sideways,xgboost,20,5949,0.5069759623466129,False,False,True
