horizon,regime,model_name,observations_regression,mae,rmse,directional_accuracy,average_actual_return_x,average_predicted_return,observations_classification,accuracy,precision,recall,f1,roc_auc,positive_class_precision,realized_profit_rate,ranking_method,profit_rate,average_actual_return_y,rank_regression_rmse,rank_classification_f1,rank_combined_profit_rate,overall_rank
3d,bull,lightgbm,72,0.03433087559442878,0.045712825276845934,0.4861111111111111,0.004543740460996374,-0.010775137326874034,72,0.6666666666666666,0.6111111111111112,0.39285714285714285,0.4782608695652174,0.5762987012987013,0.6111111111111112,0.3888888888888889,combined_weighted_linear_gated,0.6,0.009685155105460442,2.0,2.0,4.0,2.6666666666666665
5d,bull,lightgbm,76,0.03855634984356016,0.049348154526429794,0.4868421052631579,0.006220967051318054,-0.007985634499923294,76,0.6578947368421053,0.6111111111111112,0.36666666666666664,0.4583333333333333,0.6797101449275362,0.6111111111111112,0.39473684210526316,combined_weighted_linear_gated,0.6666666666666666,0.01903605382215714,3.0,4.0,2.0,3.0
3d,bull,xgboost,72,0.03159390841326234,0.04299593165196302,0.4861111111111111,0.004543740460996374,-0.00919094527974567,72,0.625,0.5454545454545454,0.21428571428571427,0.3076923076923077,0.6452922077922078,0.5454545454545454,0.3888888888888889,combined_weighted_linear_gated,0.6,0.0181382063475613,1.0,6.0,4.0,3.6666666666666665
5d,bull,cart,76,0.04856424224175701,0.06701272535937022,0.4473684210526316,0.006220967051318054,-0.011642091200490695,76,0.6447368421052632,0.5714285714285714,0.4,0.47058823529411764,0.5688405797101449,0.5714285714285714,0.39473684210526316,combined_weighted_linear_gated,0.5,0.00712830957230135,6.0,3.0,5.0,4.666666666666667
20d,bull,cart,112,0.10234797332551357,0.14027671709682182,0.44642857142857145,0.005830494945645452,-0.03451171419673461,112,0.45535714285714285,0.5,0.3442622950819672,0.4077669902912621,0.4099967855994857,0.5,0.5446428571428571,combined_weighted_linear_gated,0.6,-0.02901751902400087,8.0,5.0,4.0,5.666666666666667
20d,bull,xgboost,112,0.10290779151278154,0.13659170855399547,0.41964285714285715,0.005830494945645452,-0.050645732099967825,112,0.4375,0.45,0.14754098360655737,0.2222222222222222,0.45869495339119254,0.45,0.5446428571428571,combined_weighted_linear_gated,0.5,-0.10485725122691367,7.0,7.0,5.0,6.333333333333333
3d,bull,cart,72,0.0355679059056179,0.054225159203391826,0.4722222222222222,0.004543740460996374,-0.011133483783074655,72,0.5555555555555556,0.3,0.10714285714285714,0.15789473684210525,0.46712662337662336,0.3,0.3888888888888889,combined_rank_based,0.35185185185185186,0.0012263638791330188,4.0,9.0,6.0,6.333333333333333
20d,bull,lightgbm,112,0.10313439746776853,0.14101362831130168,0.4732142857142857,0.005830494945645452,-0.052850365789303924,112,0.41964285714285715,0.3888888888888889,0.11475409836065574,0.17721518987341772,0.5441980070716811,0.3888888888888889,0.5446428571428571,combined_weighted_linear_gated,0.625,-0.05568547985943338,9.0,8.0,3.0,6.666666666666667
3d,sideway,cart,84,0.039618288492173755,0.053531246822728605,0.5119047619047619,-0.006303780315856024,-0.009700601719017213,84,0.5714285714285714,0.2222222222222222,0.15384615384615385,0.18181818181818182,0.4088196286472148,0.2222222222222222,0.30952380952380953,combined_weighted_linear_gated,0.4444444444444444,0.010904700540605078,3.0,5.0,2.0,3.3333333333333335
3d,sideway,lightgbm,84,0.03813480727434887,0.05151740329006207,0.4880952380952381,-0.006303780315856024,-0.0065717476043771665,84,0.5595238095238095,0.13333333333333333,0.07692307692307693,0.0975609756097561,0.3812997347480106,0.13333333333333333,0.30952380952380953,combined_weighted_linear_gated,0.5,-0.0017782953091531987,2.0,8.0,1.0,3.6666666666666665
5d,sideway,xgboost,80,0.04588833460878069,0.061049046382541876,0.5125,-0.013413076647722122,-0.0030726258242793694,80,0.6625,0.2857142857142857,0.19047619047619047,0.22857142857142856,0.5036319612590798,0.2857142857142857,0.2625,combined_weighted_linear_gated,0.3333333333333333,-0.009935991120254931,4.0,2.0,6.0,4.0
3d,sideway,xgboost,84,0.037146394422186514,0.051064447735215505,0.5238095238095238,-0.006303780315856024,-0.010723847976242654,84,0.5595238095238095,0.17647058823529413,0.11538461538461539,0.13953488372093023,0.35344827586206895,0.17647058823529413,0.30952380952380953,combined_weighted_linear_gated,0.3333333333333333,0.00046456217869176794,1.0,7.0,6.0,4.666666666666667
5d,sideway,lightgbm,80,0.048584988359561605,0.06730091650071644,0.525,-0.013413076647722122,-0.0018306285768100114,80,0.6375,0.21428571428571427,0.14285714285714285,0.17142857142857143,0.5536723163841808,0.21428571428571427,0.2625,combined_weighted_linear_gated,0.4,-0.04765425869181638,5.0,6.0,3.0,4.666666666666667
20d,sideway,cart,100,0.09862605124844932,0.13754243406795297,0.43,-0.051839572298550574,-0.07030217964019694,100,0.55,0.42,0.5675675675675675,0.4827586206896552,0.5407550407550408,0.42,0.37,combined_rank_based,0.36,-0.0530731132306262,9.0,1.0,5.0,5.0
20d,sideway,xgboost,100,0.08473090472697102,0.1161416446512155,0.53,-0.051839572298550574,-0.06841669955610995,100,0.6,0.38461538461538464,0.13513513513513514,0.2,0.5504075504075504,0.38461538461538464,0.37,combined_rank_based,0.36,-0.045515293809112345,7.0,3.0,5.0,5.0
5d,sideway,cart,80,0.052988666921152304,0.06974126791534177,0.4625,-0.013413076647722122,-0.015290136007629167,80,0.575,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.5096852300242131,0.19047619047619047,0.2625,combined_rank_based,0.26666666666666666,-0.008619252165914427,6.0,4.0,7.0,5.666666666666667
20d,sideway,lightgbm,100,0.08270945150908976,0.1191806297704437,0.63,-0.051839572298550574,-0.06979828475961351,100,0.59,0.25,0.05405405405405406,0.08888888888888889,0.5366795366795367,0.25,0.37,combined_rank_based,0.37333333333333335,-0.0429711023930077,8.0,9.0,4.0,7.0
