symbol,asset_type,sample_start,sample_end,package,package_version,provider,source,function_used,returned_rows,standardized_rows,returned_columns,first_timestamp,last_timestamp,success,exception_type,exception_message
ACB,stock,2026-05-04,2026-05-11,vnstock,3.5.0,vnstock,VCI,Quote.history(interval=1H),36,36,"time,open,high,low,close,volume",2026-04-28 14:00:00,2026-05-11 14:00:00,true,,
ACB,stock,2026-05-04,2026-05-11,vnstock,3.5.0,vnstock,KBS,Quote.history(interval=1H),30,30,"time,open,high,low,close,volume",2026-05-04 09:00:00,2026-05-11 14:00:00,true,,
ACB,stock,2026-05-04,2026-05-11,vnstock,3.5.0,vnstock,VND,Quote.history(interval=1H),0,0,,,,false,ValueError,"Lớp Quote chỉ nhận giá trị tham số source là kbs, vci, msn, dnse, binance, fmp, fmarket."
ACB,stock,2026-05-04,2026-05-11,vnstock,3.5.0,vnstock,MAS,Quote.history(interval=1H),0,0,,,,false,ValueError,"Lớp Quote chỉ nhận giá trị tham số source là kbs, vci, msn, dnse, binance, fmp, fmarket."
ACB,stock,2026-05-04,2026-05-11,vnstock,3.5.0,vnstock,VCI,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,KeyError,'data'
ACB,stock,2026-05-04,2026-05-11,vnstock,3.5.0,vnstock,KBS,Vnstock.stock.quote.history(interval=1H),30,30,"time,open,high,low,close,volume",2026-05-04 09:00:00,2026-05-11 14:00:00,true,,
ACB,stock,2026-05-04,2026-05-11,vnstock,3.5.0,vnstock,VND,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,ValueError,"Supported sources: KBS, VCI, MSN, FMP. Got: VND"
ACB,stock,2026-05-04,2026-05-11,vnstock,3.5.0,vnstock,MAS,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,ValueError,"Supported sources: KBS, VCI, MSN, FMP. Got: MAS"
HPG,stock,2024-01-02,2024-01-05,vnstock,3.5.0,vnstock,VCI,Quote.history(interval=1H),21,21,"time,open,high,low,close,volume",2023-12-28 14:00:00,2024-01-05 14:00:00,true,,
HPG,stock,2024-01-02,2024-01-05,vnstock,3.5.0,vnstock,KBS,Quote.history(interval=1H),0,0,,,,false,RetryError,RetryError[<Future at 0x1d7e5436e90 state=finished raised ValueError>]
HPG,stock,2024-01-02,2024-01-05,vnstock,3.5.0,vnstock,VND,Quote.history(interval=1H),0,0,,,,false,ValueError,"Lớp Quote chỉ nhận giá trị tham số source là kbs, vci, msn, dnse, binance, fmp, fmarket."
HPG,stock,2024-01-02,2024-01-05,vnstock,3.5.0,vnstock,MAS,Quote.history(interval=1H),0,0,,,,false,ValueError,"Lớp Quote chỉ nhận giá trị tham số source là kbs, vci, msn, dnse, binance, fmp, fmarket."
HPG,stock,2024-01-02,2024-01-05,vnstock,3.5.0,vnstock,VCI,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,KeyError,'data'
HPG,stock,2024-01-02,2024-01-05,vnstock,3.5.0,vnstock,KBS,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,RetryError,RetryError[<Future at 0x1d7e544f2d0 state=finished raised ValueError>]
HPG,stock,2024-01-02,2024-01-05,vnstock,3.5.0,vnstock,VND,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,ValueError,"Supported sources: KBS, VCI, MSN, FMP. Got: VND"
HPG,stock,2024-01-02,2024-01-05,vnstock,3.5.0,vnstock,MAS,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,ValueError,"Supported sources: KBS, VCI, MSN, FMP. Got: MAS"
HPG,stock,2025-01-02,2025-01-05,vnstock,3.5.0,vnstock,VCI,Quote.history(interval=1H),16,16,"time,open,high,low,close,volume",2024-12-30 10:00:00,2025-01-03 14:00:00,true,,
HPG,stock,2025-01-02,2025-01-05,vnstock,3.5.0,vnstock,KBS,Quote.history(interval=1H),0,0,,,,false,RetryError,RetryError[<Future at 0x1d7e544e250 state=finished raised ValueError>]
HPG,stock,2025-01-02,2025-01-05,vnstock,3.5.0,vnstock,VND,Quote.history(interval=1H),0,0,,,,false,ValueError,"Lớp Quote chỉ nhận giá trị tham số source là kbs, vci, msn, dnse, binance, fmp, fmarket."
HPG,stock,2025-01-02,2025-01-05,vnstock,3.5.0,vnstock,MAS,Quote.history(interval=1H),0,0,,,,false,ValueError,"Lớp Quote chỉ nhận giá trị tham số source là kbs, vci, msn, dnse, binance, fmp, fmarket."
HPG,stock,2025-01-02,2025-01-05,vnstock,3.5.0,vnstock,VCI,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,KeyError,'data'
HPG,stock,2025-01-02,2025-01-05,vnstock,3.5.0,vnstock,KBS,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,RetryError,RetryError[<Future at 0x1d7e544f8d0 state=finished raised ValueError>]
HPG,stock,2025-01-02,2025-01-05,vnstock,3.5.0,vnstock,VND,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,ValueError,"Supported sources: KBS, VCI, MSN, FMP. Got: VND"
HPG,stock,2025-01-02,2025-01-05,vnstock,3.5.0,vnstock,MAS,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,ValueError,"Supported sources: KBS, VCI, MSN, FMP. Got: MAS"
HPG,stock,2026-05-04,2026-05-11,vnstock,3.5.0,vnstock,VCI,Quote.history(interval=1H),36,36,"time,open,high,low,close,volume",2026-04-28 14:00:00,2026-05-11 14:00:00,true,,
HPG,stock,2026-05-04,2026-05-11,vnstock,3.5.0,vnstock,KBS,Quote.history(interval=1H),30,30,"time,open,high,low,close,volume",2026-05-04 09:00:00,2026-05-11 14:00:00,true,,
HPG,stock,2026-05-04,2026-05-11,vnstock,3.5.0,vnstock,VND,Quote.history(interval=1H),0,0,,,,false,ValueError,"Lớp Quote chỉ nhận giá trị tham số source là kbs, vci, msn, dnse, binance, fmp, fmarket."
HPG,stock,2026-05-04,2026-05-11,vnstock,3.5.0,vnstock,MAS,Quote.history(interval=1H),0,0,,,,false,ValueError,"Lớp Quote chỉ nhận giá trị tham số source là kbs, vci, msn, dnse, binance, fmp, fmarket."
HPG,stock,2026-05-04,2026-05-11,vnstock,3.5.0,vnstock,VCI,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,KeyError,'data'
HPG,stock,2026-05-04,2026-05-11,vnstock,3.5.0,vnstock,KBS,Vnstock.stock.quote.history(interval=1H),30,30,"time,open,high,low,close,volume",2026-05-04 09:00:00,2026-05-11 14:00:00,true,,
HPG,stock,2026-05-04,2026-05-11,vnstock,3.5.0,vnstock,VND,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,ValueError,"Supported sources: KBS, VCI, MSN, FMP. Got: VND"
HPG,stock,2026-05-04,2026-05-11,vnstock,3.5.0,vnstock,MAS,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,ValueError,"Supported sources: KBS, VCI, MSN, FMP. Got: MAS"
VNINDEX,index,2024-01-02,2024-01-05,vnstock,3.5.0,vnstock,VCI,Quote.history(interval=1H),21,21,"time,open,high,low,close,volume",2023-12-28 14:00:00,2024-01-05 14:00:00,true,,
VNINDEX,index,2024-01-02,2024-01-05,vnstock,3.5.0,vnstock,KBS,Quote.history(interval=1H),20,20,"time,open,high,low,close,volume",2024-01-02 09:00:00,2024-01-05 14:00:00,true,,
VNINDEX,index,2024-01-02,2024-01-05,vnstock,3.5.0,vnstock,VND,Quote.history(interval=1H),0,0,,,,false,ValueError,"Lớp Quote chỉ nhận giá trị tham số source là kbs, vci, msn, dnse, binance, fmp, fmarket."
VNINDEX,index,2024-01-02,2024-01-05,vnstock,3.5.0,vnstock,MAS,Quote.history(interval=1H),0,0,,,,false,ValueError,"Lớp Quote chỉ nhận giá trị tham số source là kbs, vci, msn, dnse, binance, fmp, fmarket."
VNINDEX,index,2024-01-02,2024-01-05,vnstock,3.5.0,vnstock,VCI,Vnstock.stock.quote.history(interval=1H),21,21,"time,open,high,low,close,volume",2023-12-28 14:00:00,2024-01-05 14:00:00,true,,
VNINDEX,index,2024-01-02,2024-01-05,vnstock,3.5.0,vnstock,KBS,Vnstock.stock.quote.history(interval=1H),20,20,"time,open,high,low,close,volume",2024-01-02 09:00:00,2024-01-05 14:00:00,true,,
VNINDEX,index,2024-01-02,2024-01-05,vnstock,3.5.0,vnstock,VND,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,ValueError,"Supported sources: KBS, VCI, MSN, FMP. Got: VND"
VNINDEX,index,2024-01-02,2024-01-05,vnstock,3.5.0,vnstock,MAS,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,ValueError,"Supported sources: KBS, VCI, MSN, FMP. Got: MAS"
VNINDEX,index,2025-01-02,2025-01-05,vnstock,3.5.0,vnstock,VCI,Quote.history(interval=1H),16,16,"time,open,high,low,close,volume",2024-12-30 10:00:00,2025-01-03 14:00:00,true,,
VNINDEX,index,2025-01-02,2025-01-05,vnstock,3.5.0,vnstock,KBS,Quote.history(interval=1H),10,10,"time,open,high,low,close,volume",2025-01-02 09:00:00,2025-01-03 14:00:00,true,,
VNINDEX,index,2025-01-02,2025-01-05,vnstock,3.5.0,vnstock,VND,Quote.history(interval=1H),0,0,,,,false,ValueError,"Lớp Quote chỉ nhận giá trị tham số source là kbs, vci, msn, dnse, binance, fmp, fmarket."
VNINDEX,index,2025-01-02,2025-01-05,vnstock,3.5.0,vnstock,MAS,Quote.history(interval=1H),0,0,,,,false,ValueError,"Lớp Quote chỉ nhận giá trị tham số source là kbs, vci, msn, dnse, binance, fmp, fmarket."
VNINDEX,index,2025-01-02,2025-01-05,vnstock,3.5.0,vnstock,VCI,Vnstock.stock.quote.history(interval=1H),16,16,"time,open,high,low,close,volume",2024-12-30 10:00:00,2025-01-03 14:00:00,true,,
VNINDEX,index,2025-01-02,2025-01-05,vnstock,3.5.0,vnstock,KBS,Vnstock.stock.quote.history(interval=1H),10,10,"time,open,high,low,close,volume",2025-01-02 09:00:00,2025-01-03 14:00:00,true,,
VNINDEX,index,2025-01-02,2025-01-05,vnstock,3.5.0,vnstock,VND,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,ValueError,"Supported sources: KBS, VCI, MSN, FMP. Got: VND"
VNINDEX,index,2025-01-02,2025-01-05,vnstock,3.5.0,vnstock,MAS,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,ValueError,"Supported sources: KBS, VCI, MSN, FMP. Got: MAS"
VNINDEX,index,2026-05-04,2026-05-11,vnstock,3.5.0,vnstock,VCI,Quote.history(interval=1H),36,36,"time,open,high,low,close,volume",2026-04-28 14:00:00,2026-05-11 14:00:00,true,,
VNINDEX,index,2026-05-04,2026-05-11,vnstock,3.5.0,vnstock,KBS,Quote.history(interval=1H),30,30,"time,open,high,low,close,volume",2026-05-04 09:00:00,2026-05-11 14:00:00,true,,
VNINDEX,index,2026-05-04,2026-05-11,vnstock,3.5.0,vnstock,VND,Quote.history(interval=1H),0,0,,,,false,ValueError,"Lớp Quote chỉ nhận giá trị tham số source là kbs, vci, msn, dnse, binance, fmp, fmarket."
VNINDEX,index,2026-05-04,2026-05-11,vnstock,3.5.0,vnstock,MAS,Quote.history(interval=1H),0,0,,,,false,ValueError,"Lớp Quote chỉ nhận giá trị tham số source là kbs, vci, msn, dnse, binance, fmp, fmarket."
VNINDEX,index,2026-05-04,2026-05-11,vnstock,3.5.0,vnstock,VCI,Vnstock.stock.quote.history(interval=1H),36,36,"time,open,high,low,close,volume",2026-04-28 14:00:00,2026-05-11 14:00:00,true,,
VNINDEX,index,2026-05-04,2026-05-11,vnstock,3.5.0,vnstock,KBS,Vnstock.stock.quote.history(interval=1H),30,30,"time,open,high,low,close,volume",2026-05-04 09:00:00,2026-05-11 14:00:00,true,,
VNINDEX,index,2026-05-04,2026-05-11,vnstock,3.5.0,vnstock,VND,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,ValueError,"Supported sources: KBS, VCI, MSN, FMP. Got: VND"
VNINDEX,index,2026-05-04,2026-05-11,vnstock,3.5.0,vnstock,MAS,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,ValueError,"Supported sources: KBS, VCI, MSN, FMP. Got: MAS"
VN30INDEX,index,2024-01-02,2024-01-05,vnstock,3.5.0,vnstock,VCI,Quote.history(interval=1H),0,0,,,,false,ValueError,"Invalid derivative or bond symbol. Symbol must be in format of VN30F1M, VN30F2024, GB10F2024, or for company bonds, e.g., BAB122032"
VN30INDEX,index,2024-01-02,2024-01-05,vnstock,3.5.0,vnstock,KBS,Quote.history(interval=1H),0,0,,,,false,ValueError,"Invalid derivative or bond symbol. Symbol must be in format of VN30F1M, VN30F2024, GB10F2024, or for company bonds, e.g., BAB122032"
VN30INDEX,index,2024-01-02,2024-01-05,vnstock,3.5.0,vnstock,VND,Quote.history(interval=1H),0,0,,,,false,ValueError,"Lớp Quote chỉ nhận giá trị tham số source là kbs, vci, msn, dnse, binance, fmp, fmarket."
VN30INDEX,index,2024-01-02,2024-01-05,vnstock,3.5.0,vnstock,MAS,Quote.history(interval=1H),0,0,,,,false,ValueError,"Lớp Quote chỉ nhận giá trị tham số source là kbs, vci, msn, dnse, binance, fmp, fmarket."
VN30INDEX,index,2024-01-02,2024-01-05,vnstock,3.5.0,vnstock,VCI,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,ValueError,"Invalid derivative or bond symbol. Symbol must be in format of VN30F1M, VN30F2024, GB10F2024, or for company bonds, e.g., BAB122032"
VN30INDEX,index,2024-01-02,2024-01-05,vnstock,3.5.0,vnstock,KBS,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,ValueError,"Invalid derivative or bond symbol. Symbol must be in format of VN30F1M, VN30F2024, GB10F2024, or for company bonds, e.g., BAB122032"
VN30INDEX,index,2024-01-02,2024-01-05,vnstock,3.5.0,vnstock,VND,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,ValueError,"Supported sources: KBS, VCI, MSN, FMP. Got: VND"
VN30INDEX,index,2024-01-02,2024-01-05,vnstock,3.5.0,vnstock,MAS,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,ValueError,"Supported sources: KBS, VCI, MSN, FMP. Got: MAS"
VN30INDEX,index,2025-01-02,2025-01-05,vnstock,3.5.0,vnstock,VCI,Quote.history(interval=1H),0,0,,,,false,ValueError,"Invalid derivative or bond symbol. Symbol must be in format of VN30F1M, VN30F2024, GB10F2024, or for company bonds, e.g., BAB122032"
VN30INDEX,index,2025-01-02,2025-01-05,vnstock,3.5.0,vnstock,KBS,Quote.history(interval=1H),0,0,,,,false,ValueError,"Invalid derivative or bond symbol. Symbol must be in format of VN30F1M, VN30F2024, GB10F2024, or for company bonds, e.g., BAB122032"
VN30INDEX,index,2025-01-02,2025-01-05,vnstock,3.5.0,vnstock,VND,Quote.history(interval=1H),0,0,,,,false,ValueError,"Lớp Quote chỉ nhận giá trị tham số source là kbs, vci, msn, dnse, binance, fmp, fmarket."
VN30INDEX,index,2025-01-02,2025-01-05,vnstock,3.5.0,vnstock,MAS,Quote.history(interval=1H),0,0,,,,false,ValueError,"Lớp Quote chỉ nhận giá trị tham số source là kbs, vci, msn, dnse, binance, fmp, fmarket."
VN30INDEX,index,2025-01-02,2025-01-05,vnstock,3.5.0,vnstock,VCI,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,ValueError,"Invalid derivative or bond symbol. Symbol must be in format of VN30F1M, VN30F2024, GB10F2024, or for company bonds, e.g., BAB122032"
VN30INDEX,index,2025-01-02,2025-01-05,vnstock,3.5.0,vnstock,KBS,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,ValueError,"Invalid derivative or bond symbol. Symbol must be in format of VN30F1M, VN30F2024, GB10F2024, or for company bonds, e.g., BAB122032"
VN30INDEX,index,2025-01-02,2025-01-05,vnstock,3.5.0,vnstock,VND,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,ValueError,"Supported sources: KBS, VCI, MSN, FMP. Got: VND"
VN30INDEX,index,2025-01-02,2025-01-05,vnstock,3.5.0,vnstock,MAS,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,ValueError,"Supported sources: KBS, VCI, MSN, FMP. Got: MAS"
VN30INDEX,index,2026-05-04,2026-05-11,vnstock,3.5.0,vnstock,VCI,Quote.history(interval=1H),0,0,,,,false,ValueError,"Invalid derivative or bond symbol. Symbol must be in format of VN30F1M, VN30F2024, GB10F2024, or for company bonds, e.g., BAB122032"
VN30INDEX,index,2026-05-04,2026-05-11,vnstock,3.5.0,vnstock,KBS,Quote.history(interval=1H),0,0,,,,false,ValueError,"Invalid derivative or bond symbol. Symbol must be in format of VN30F1M, VN30F2024, GB10F2024, or for company bonds, e.g., BAB122032"
VN30INDEX,index,2026-05-04,2026-05-11,vnstock,3.5.0,vnstock,VND,Quote.history(interval=1H),0,0,,,,false,ValueError,"Lớp Quote chỉ nhận giá trị tham số source là kbs, vci, msn, dnse, binance, fmp, fmarket."
VN30INDEX,index,2026-05-04,2026-05-11,vnstock,3.5.0,vnstock,MAS,Quote.history(interval=1H),0,0,,,,false,ValueError,"Lớp Quote chỉ nhận giá trị tham số source là kbs, vci, msn, dnse, binance, fmp, fmarket."
VN30INDEX,index,2026-05-04,2026-05-11,vnstock,3.5.0,vnstock,VCI,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,ValueError,"Invalid derivative or bond symbol. Symbol must be in format of VN30F1M, VN30F2024, GB10F2024, or for company bonds, e.g., BAB122032"
VN30INDEX,index,2026-05-04,2026-05-11,vnstock,3.5.0,vnstock,KBS,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,ValueError,"Invalid derivative or bond symbol. Symbol must be in format of VN30F1M, VN30F2024, GB10F2024, or for company bonds, e.g., BAB122032"
VN30INDEX,index,2026-05-04,2026-05-11,vnstock,3.5.0,vnstock,VND,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,ValueError,"Supported sources: KBS, VCI, MSN, FMP. Got: VND"
VN30INDEX,index,2026-05-04,2026-05-11,vnstock,3.5.0,vnstock,MAS,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,ValueError,"Supported sources: KBS, VCI, MSN, FMP. Got: MAS"
VNXALL,index,2024-01-02,2024-01-05,vnstock,3.5.0,vnstock,VCI,Quote.history(interval=1H),0,0,,,,false,RetryError,RetryError[<Future at 0x1d7b2d91850 state=finished raised ValueError>]
VNXALL,index,2024-01-02,2024-01-05,vnstock,3.5.0,vnstock,KBS,Quote.history(interval=1H),0,0,,,,false,ValueError,"Mã chỉ số 'VNXALL' không được hỗ trợ bởi KBS. Các chỉ số hợp lệ: VNINDEX, HNXINDEX, UPCOMINDEX, VN30, HNX30, VN100"
VNXALL,index,2024-01-02,2024-01-05,vnstock,3.5.0,vnstock,VND,Quote.history(interval=1H),0,0,,,,false,ValueError,"Lớp Quote chỉ nhận giá trị tham số source là kbs, vci, msn, dnse, binance, fmp, fmarket."
VNXALL,index,2024-01-02,2024-01-05,vnstock,3.5.0,vnstock,MAS,Quote.history(interval=1H),0,0,,,,false,ValueError,"Lớp Quote chỉ nhận giá trị tham số source là kbs, vci, msn, dnse, binance, fmp, fmarket."
VNXALL,index,2024-01-02,2024-01-05,vnstock,3.5.0,vnstock,VCI,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,RetryError,RetryError[<Future at 0x1d7e544e550 state=finished raised ValueError>]
VNXALL,index,2024-01-02,2024-01-05,vnstock,3.5.0,vnstock,KBS,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,ValueError,"Mã chỉ số 'VNXALL' không được hỗ trợ bởi KBS. Các chỉ số hợp lệ: VNINDEX, HNXINDEX, UPCOMINDEX, VN30, HNX30, VN100"
VNXALL,index,2024-01-02,2024-01-05,vnstock,3.5.0,vnstock,VND,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,ValueError,"Supported sources: KBS, VCI, MSN, FMP. Got: VND"
VNXALL,index,2024-01-02,2024-01-05,vnstock,3.5.0,vnstock,MAS,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,ValueError,"Supported sources: KBS, VCI, MSN, FMP. Got: MAS"
VNXALL,index,2025-01-02,2025-01-05,vnstock,3.5.0,vnstock,VCI,Quote.history(interval=1H),0,0,,,,false,RetryError,RetryError[<Future at 0x1d7e53cd650 state=finished raised ValueError>]
VNXALL,index,2025-01-02,2025-01-05,vnstock,3.5.0,vnstock,KBS,Quote.history(interval=1H),0,0,,,,false,ValueError,"Mã chỉ số 'VNXALL' không được hỗ trợ bởi KBS. Các chỉ số hợp lệ: VNINDEX, HNXINDEX, UPCOMINDEX, VN30, HNX30, VN100"
VNXALL,index,2025-01-02,2025-01-05,vnstock,3.5.0,vnstock,VND,Quote.history(interval=1H),0,0,,,,false,ValueError,"Lớp Quote chỉ nhận giá trị tham số source là kbs, vci, msn, dnse, binance, fmp, fmarket."
VNXALL,index,2025-01-02,2025-01-05,vnstock,3.5.0,vnstock,MAS,Quote.history(interval=1H),0,0,,,,false,ValueError,"Lớp Quote chỉ nhận giá trị tham số source là kbs, vci, msn, dnse, binance, fmp, fmarket."
VNXALL,index,2025-01-02,2025-01-05,vnstock,3.5.0,vnstock,VCI,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,RetryError,RetryError[<Future at 0x1d7e5481bd0 state=finished raised ValueError>]
VNXALL,index,2025-01-02,2025-01-05,vnstock,3.5.0,vnstock,KBS,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,ValueError,"Mã chỉ số 'VNXALL' không được hỗ trợ bởi KBS. Các chỉ số hợp lệ: VNINDEX, HNXINDEX, UPCOMINDEX, VN30, HNX30, VN100"
VNXALL,index,2025-01-02,2025-01-05,vnstock,3.5.0,vnstock,VND,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,ValueError,"Supported sources: KBS, VCI, MSN, FMP. Got: VND"
VNXALL,index,2025-01-02,2025-01-05,vnstock,3.5.0,vnstock,MAS,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,ValueError,"Supported sources: KBS, VCI, MSN, FMP. Got: MAS"
VNXALL,index,2026-05-04,2026-05-11,vnstock,3.5.0,vnstock,VCI,Quote.history(interval=1H),0,0,,,,false,RetryError,RetryError[<Future at 0x1d7e5483550 state=finished raised ValueError>]
VNXALL,index,2026-05-04,2026-05-11,vnstock,3.5.0,vnstock,KBS,Quote.history(interval=1H),0,0,,,,false,ValueError,"Mã chỉ số 'VNXALL' không được hỗ trợ bởi KBS. Các chỉ số hợp lệ: VNINDEX, HNXINDEX, UPCOMINDEX, VN30, HNX30, VN100"
VNXALL,index,2026-05-04,2026-05-11,vnstock,3.5.0,vnstock,VND,Quote.history(interval=1H),0,0,,,,false,ValueError,"Lớp Quote chỉ nhận giá trị tham số source là kbs, vci, msn, dnse, binance, fmp, fmarket."
VNXALL,index,2026-05-04,2026-05-11,vnstock,3.5.0,vnstock,MAS,Quote.history(interval=1H),0,0,,,,false,ValueError,"Lớp Quote chỉ nhận giá trị tham số source là kbs, vci, msn, dnse, binance, fmp, fmarket."
VNXALL,index,2026-05-04,2026-05-11,vnstock,3.5.0,vnstock,VCI,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,RetryError,RetryError[<Future at 0x1d7e5481650 state=finished raised ValueError>]
VNXALL,index,2026-05-04,2026-05-11,vnstock,3.5.0,vnstock,KBS,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,ValueError,"Mã chỉ số 'VNXALL' không được hỗ trợ bởi KBS. Các chỉ số hợp lệ: VNINDEX, HNXINDEX, UPCOMINDEX, VN30, HNX30, VN100"
VNXALL,index,2026-05-04,2026-05-11,vnstock,3.5.0,vnstock,VND,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,ValueError,"Supported sources: KBS, VCI, MSN, FMP. Got: VND"
VNXALL,index,2026-05-04,2026-05-11,vnstock,3.5.0,vnstock,MAS,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,ValueError,"Supported sources: KBS, VCI, MSN, FMP. Got: MAS"
