selector_mode,regime,selected_model_name,selected_horizon,selected_combined_method,selected_return_threshold,selected_probability_threshold,folds_selected,rows_selected,fallback_count,mean_context_utility_score,candidate_label
context_meta_score,sideway,lightgbm,3d,combined_weighted_linear_gated,0.02,0.55,2,7,0,0.43179974108642305,lightgbm+3d+combined_weighted_linear_gated+rt=0.020+pt=0.55
context_meta_score,sideway,cart,5d,combined_weighted_linear,,,1,7,0,0.5307827091390133,cart+5d+combined_weighted_linear
context_meta_score,bear,cart,3d,combined_weighted_linear_gated,0.0,0.5,1,6,0,0.4819524350072966,cart+3d+combined_weighted_linear_gated+rt=0.000+pt=0.50
context_meta_score,bull,lightgbm,20d,combined_weighted_linear_gated,0.0,0.5,1,6,0,0.5409437417707729,lightgbm+20d+combined_weighted_linear_gated+rt=0.000+pt=0.50
context_meta_score,bear,cart,3d,combined_rank_based,,,1,4,0,0.5254994774324357,cart+3d+combined_rank_based
context_meta_score,bear,lightgbm,3d,predicted_profit_probability,,,1,4,0,0.35351085595471393,lightgbm+3d+predicted_profit_probability
context_meta_score,sideway,cart,5d,predicted_profit_probability,,,1,4,0,0.6540095743908019,cart+5d+predicted_profit_probability
context_meta_score,sideway,xgboost,20d,combined_weighted_linear_gated,0.0,0.5,1,4,0,0.49402596091640794,xgboost+20d+combined_weighted_linear_gated+rt=0.000+pt=0.50
context_meta_score,bear,lightgbm,5d,combined_rank_based,,,1,3,0,0.4741866387247217,lightgbm+5d+combined_rank_based
context_meta_score,bull,xgboost,3d,combined_weighted_linear_gated,0.02,0.65,1,3,0,0.2919956674277964,xgboost+3d+combined_weighted_linear_gated+rt=0.020+pt=0.65
context_meta_score,sideway,xgboost,3d,combined_weighted_linear_gated,0.02,0.65,1,3,0,0.5272181028739048,xgboost+3d+combined_weighted_linear_gated+rt=0.020+pt=0.65
context_meta_score,bull,lightgbm,20d,combined_rank_based,,,2,2,0,0.4507836987592865,lightgbm+20d+combined_rank_based
context_meta_score,sideway,lightgbm,20d,combined_rank_based,,,2,2,0,0.5688159742713111,lightgbm+20d+combined_rank_based
context_meta_score,bear,lightgbm,5d,combined_weighted_linear_gated,0.02,0.5,1,2,0,0.30440554095173883,lightgbm+5d+combined_weighted_linear_gated+rt=0.020+pt=0.50
context_meta_score,bull,cart,20d,combined_rank_based,,,1,2,0,0.46173982770107763,cart+20d+combined_rank_based
context_meta_score,bull,cart,3d,combined_rank_based,,,1,2,0,0.5180520872505826,cart+3d+combined_rank_based
context_meta_score,bull,xgboost,20d,combined_weighted_linear_gated,0.0,0.5,1,2,0,0.43252880269121735,xgboost+20d+combined_weighted_linear_gated+rt=0.000+pt=0.50
context_meta_score,sideway,lightgbm,3d,predicted_profit_probability,,,1,2,0,0.35836827811689687,lightgbm+3d+predicted_profit_probability
context_meta_score,bear,lightgbm,3d,combined_weighted_linear_gated,0.02,0.55,1,1,0,0.5422855880894368,lightgbm+3d+combined_weighted_linear_gated+rt=0.020+pt=0.55
context_meta_score,bull,cart,3d,combined_weighted_linear,,,1,1,0,0.47769117002694167,cart+3d+combined_weighted_linear
context_meta_score,bull,cart,5d,combined_weighted_linear,,,1,1,0,0.3602443834822899,cart+5d+combined_weighted_linear
context_meta_score,bull,cart,5d,combined_weighted_linear_gated,0.0,0.5,1,1,0,0.5417866409972358,cart+5d+combined_weighted_linear_gated+rt=0.000+pt=0.50
context_meta_score,bull,lightgbm,3d,combined_weighted_linear_gated,0.01,0.55,1,1,0,0.49308397172783963,lightgbm+3d+combined_weighted_linear_gated+rt=0.010+pt=0.55
context_meta_score,bull,lightgbm,3d,predicted_profit_probability,,,1,1,0,0.3852645504778814,lightgbm+3d+predicted_profit_probability
context_meta_score,sideway,cart,3d,combined_rank_based,,,1,1,0,0.320674684303214,cart+3d+combined_rank_based
context_meta_score,sideway,cart,3d,predicted_return,,,1,1,0,0.4942094264831356,cart+3d+predicted_return
context_meta_score,sideway,xgboost,3d,combined_rank_based,,,1,1,0,0.4718402249135725,xgboost+3d+combined_rank_based
context_meta_score,sideway,xgboost,3d,predicted_return,,,1,1,0,0.30332943100407994,xgboost+3d+predicted_return
