seed,seed_dir,command,status,return_code,started_at,completed_at,duration_seconds,was_complete_before_run,required_files_present,error_message
13,artifacts\quant_core_repeated_seed_1000_smoke\seed_000013,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 13 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000013 --preset smoke --run-mode research_core --max-workers 1,skipped_complete,,,,0.0,True,True,
14,artifacts\quant_core_repeated_seed_1000_smoke\seed_000014,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 14 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000014 --preset smoke --run-mode research_core --max-workers 1,skipped_complete,,,,0.0,True,True,
15,artifacts\quant_core_repeated_seed_1000_smoke\seed_000015,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 15 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000015 --preset smoke --run-mode research_core --max-workers 1,skipped_complete,,,,0.0,True,True,
16,artifacts\quant_core_repeated_seed_1000_smoke\seed_000016,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 16 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000016 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:06:28.219129+00:00,2026-04-30T10:06:39.422900+00:00,11.203770499996608,False,True,
17,artifacts\quant_core_repeated_seed_1000_smoke\seed_000017,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 17 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000017 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:06:39.423107+00:00,2026-04-30T10:06:50.020229+00:00,10.597124599997187,False,True,
18,artifacts\quant_core_repeated_seed_1000_smoke\seed_000018,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 18 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000018 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:06:50.020484+00:00,2026-04-30T10:07:00.435874+00:00,10.415391699993052,False,True,
19,artifacts\quant_core_repeated_seed_1000_smoke\seed_000019,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 19 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000019 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:07:00.436216+00:00,2026-04-30T10:07:11.148326+00:00,10.712111400003778,False,True,
20,artifacts\quant_core_repeated_seed_1000_smoke\seed_000020,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 20 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000020 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:07:11.148544+00:00,2026-04-30T10:07:21.455957+00:00,10.307414200011408,False,True,
21,artifacts\quant_core_repeated_seed_1000_smoke\seed_000021,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 21 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000021 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:07:21.456152+00:00,2026-04-30T10:07:31.772168+00:00,10.316018000012264,False,True,
22,artifacts\quant_core_repeated_seed_1000_smoke\seed_000022,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 22 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000022 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:07:31.772358+00:00,2026-04-30T10:07:42.200459+00:00,10.42810289998306,False,True,
23,artifacts\quant_core_repeated_seed_1000_smoke\seed_000023,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 23 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000023 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:07:42.200649+00:00,2026-04-30T10:07:52.653624+00:00,10.452976400003536,False,True,
24,artifacts\quant_core_repeated_seed_1000_smoke\seed_000024,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 24 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000024 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:07:52.653815+00:00,2026-04-30T10:08:03.293547+00:00,10.639735000004293,False,True,
25,artifacts\quant_core_repeated_seed_1000_smoke\seed_000025,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 25 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000025 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:08:03.293737+00:00,2026-04-30T10:08:13.840891+00:00,10.547155000007479,False,True,
26,artifacts\quant_core_repeated_seed_1000_smoke\seed_000026,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 26 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000026 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:08:13.841097+00:00,2026-04-30T10:08:24.112808+00:00,10.271712399990065,False,True,
27,artifacts\quant_core_repeated_seed_1000_smoke\seed_000027,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 27 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000027 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:08:24.112995+00:00,2026-04-30T10:08:34.818850+00:00,10.70585649998975,False,True,
28,artifacts\quant_core_repeated_seed_1000_smoke\seed_000028,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 28 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000028 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:08:34.819048+00:00,2026-04-30T10:08:45.219524+00:00,10.400477999995928,False,True,
29,artifacts\quant_core_repeated_seed_1000_smoke\seed_000029,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 29 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000029 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:08:45.219719+00:00,2026-04-30T10:08:55.633517+00:00,10.413799999980256,False,True,
30,artifacts\quant_core_repeated_seed_1000_smoke\seed_000030,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 30 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000030 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:08:55.633705+00:00,2026-04-30T10:09:06.084480+00:00,10.450777199992444,False,True,
31,artifacts\quant_core_repeated_seed_1000_smoke\seed_000031,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 31 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000031 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:09:06.084665+00:00,2026-04-30T10:09:16.370716+00:00,10.286052600014955,False,True,
32,artifacts\quant_core_repeated_seed_1000_smoke\seed_000032,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 32 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000032 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:09:16.370917+00:00,2026-04-30T10:09:26.604451+00:00,10.233536000014283,False,True,
33,artifacts\quant_core_repeated_seed_1000_smoke\seed_000033,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 33 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000033 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:09:26.604640+00:00,2026-04-30T10:09:37.043389+00:00,10.438750700006494,False,True,
34,artifacts\quant_core_repeated_seed_1000_smoke\seed_000034,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 34 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000034 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:09:37.043584+00:00,2026-04-30T10:09:47.486618+00:00,10.443035800009966,False,True,
35,artifacts\quant_core_repeated_seed_1000_smoke\seed_000035,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 35 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000035 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:09:47.486820+00:00,2026-04-30T10:09:57.709306+00:00,10.222487399994861,False,True,
36,artifacts\quant_core_repeated_seed_1000_smoke\seed_000036,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 36 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000036 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:09:57.709520+00:00,2026-04-30T10:10:08.001983+00:00,10.292465000005905,False,True,
37,artifacts\quant_core_repeated_seed_1000_smoke\seed_000037,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 37 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000037 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:10:08.002185+00:00,2026-04-30T10:10:18.582160+00:00,10.57997710001655,False,True,
38,artifacts\quant_core_repeated_seed_1000_smoke\seed_000038,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 38 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000038 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:10:18.582348+00:00,2026-04-30T10:10:28.854871+00:00,10.272525200009113,False,True,
39,artifacts\quant_core_repeated_seed_1000_smoke\seed_000039,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 39 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000039 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:10:28.855056+00:00,2026-04-30T10:10:39.269780+00:00,10.414726299990434,False,True,
40,artifacts\quant_core_repeated_seed_1000_smoke\seed_000040,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 40 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000040 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:10:39.270091+00:00,2026-04-30T10:10:49.847757+00:00,10.577668299985817,False,True,
41,artifacts\quant_core_repeated_seed_1000_smoke\seed_000041,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 41 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000041 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:10:49.847940+00:00,2026-04-30T10:11:00.243266+00:00,10.39532749998034,False,True,
42,artifacts\quant_core_repeated_seed_1000_smoke\seed_000042,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 42 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000042 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:11:00.243459+00:00,2026-04-30T10:11:10.739086+00:00,10.49562919998425,False,True,
43,artifacts\quant_core_repeated_seed_1000_smoke\seed_000043,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 43 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000043 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:11:10.739278+00:00,2026-04-30T10:11:21.381839+00:00,10.642564699985087,False,True,
44,artifacts\quant_core_repeated_seed_1000_smoke\seed_000044,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 44 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000044 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:11:21.382056+00:00,2026-04-30T10:11:31.920120+00:00,10.538065200002166,False,True,
45,artifacts\quant_core_repeated_seed_1000_smoke\seed_000045,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 45 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000045 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:11:31.920311+00:00,2026-04-30T10:11:42.671183+00:00,10.750874100020155,False,True,
46,artifacts\quant_core_repeated_seed_1000_smoke\seed_000046,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 46 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000046 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:11:42.671397+00:00,2026-04-30T10:11:53.317747+00:00,10.646353100019041,False,True,
47,artifacts\quant_core_repeated_seed_1000_smoke\seed_000047,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 47 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000047 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:11:53.317940+00:00,2026-04-30T10:12:03.827237+00:00,10.509298399992986,False,True,
48,artifacts\quant_core_repeated_seed_1000_smoke\seed_000048,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 48 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000048 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:12:03.827430+00:00,2026-04-30T10:12:14.455649+00:00,10.628220399987185,False,True,
49,artifacts\quant_core_repeated_seed_1000_smoke\seed_000049,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 49 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000049 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:12:14.455853+00:00,2026-04-30T10:12:24.876298+00:00,10.42044749998604,False,True,
50,artifacts\quant_core_repeated_seed_1000_smoke\seed_000050,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 50 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000050 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:12:24.876494+00:00,2026-04-30T10:12:35.489939+00:00,10.613446900009876,False,True,
51,artifacts\quant_core_repeated_seed_1000_smoke\seed_000051,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 51 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000051 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:12:35.490138+00:00,2026-04-30T10:12:45.870820+00:00,10.380684000003384,False,True,
52,artifacts\quant_core_repeated_seed_1000_smoke\seed_000052,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 52 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000052 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:12:45.871016+00:00,2026-04-30T10:12:56.581735+00:00,10.710720399976708,False,True,
53,artifacts\quant_core_repeated_seed_1000_smoke\seed_000053,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 53 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000053 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:12:56.581926+00:00,2026-04-30T10:13:07.396255+00:00,10.814330599998357,False,True,
54,artifacts\quant_core_repeated_seed_1000_smoke\seed_000054,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 54 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000054 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:13:07.396468+00:00,2026-04-30T10:13:18.391788+00:00,10.995321299997158,False,True,
55,artifacts\quant_core_repeated_seed_1000_smoke\seed_000055,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 55 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000055 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:13:18.391983+00:00,2026-04-30T10:13:28.852899+00:00,10.460917999997037,False,True,
56,artifacts\quant_core_repeated_seed_1000_smoke\seed_000056,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 56 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000056 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:13:28.853089+00:00,2026-04-30T10:13:39.476775+00:00,10.623687499988591,False,True,
57,artifacts\quant_core_repeated_seed_1000_smoke\seed_000057,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 57 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000057 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:13:39.476962+00:00,2026-04-30T10:13:49.973133+00:00,10.496171999984654,False,True,
58,artifacts\quant_core_repeated_seed_1000_smoke\seed_000058,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 58 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000058 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:13:49.973343+00:00,2026-04-30T10:14:00.602875+00:00,10.629533400002401,False,True,
59,artifacts\quant_core_repeated_seed_1000_smoke\seed_000059,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 59 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000059 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:14:00.603062+00:00,2026-04-30T10:14:11.193604+00:00,10.590544300008332,False,True,
60,artifacts\quant_core_repeated_seed_1000_smoke\seed_000060,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 60 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000060 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:14:11.193834+00:00,2026-04-30T10:14:21.533645+00:00,10.339812099991832,False,True,
61,artifacts\quant_core_repeated_seed_1000_smoke\seed_000061,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 61 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000061 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:14:21.533848+00:00,2026-04-30T10:14:31.945269+00:00,10.411423000012292,False,True,
62,artifacts\quant_core_repeated_seed_1000_smoke\seed_000062,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 62 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000062 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:14:31.945543+00:00,2026-04-30T10:14:43.049009+00:00,11.103467899985844,False,True,
63,artifacts\quant_core_repeated_seed_1000_smoke\seed_000063,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 63 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000063 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:14:43.049215+00:00,2026-04-30T10:14:53.333253+00:00,10.28403929999331,False,True,
64,artifacts\quant_core_repeated_seed_1000_smoke\seed_000064,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 64 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000064 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:14:53.333484+00:00,2026-04-30T10:15:03.571558+00:00,10.23807590000797,False,True,
65,artifacts\quant_core_repeated_seed_1000_smoke\seed_000065,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 65 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000065 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:15:03.571757+00:00,2026-04-30T10:15:14.329891+00:00,10.758135300013237,False,True,
66,artifacts\quant_core_repeated_seed_1000_smoke\seed_000066,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 66 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000066 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:15:14.330086+00:00,2026-04-30T10:15:24.589102+00:00,10.259017300006235,False,True,
67,artifacts\quant_core_repeated_seed_1000_smoke\seed_000067,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 67 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000067 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:15:24.589305+00:00,2026-04-30T10:15:34.709761+00:00,10.120458999997936,False,True,
68,artifacts\quant_core_repeated_seed_1000_smoke\seed_000068,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 68 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000068 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:15:34.710031+00:00,2026-04-30T10:15:45.037112+00:00,10.327081700001145,False,True,
69,artifacts\quant_core_repeated_seed_1000_smoke\seed_000069,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 69 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000069 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:15:45.037312+00:00,2026-04-30T10:15:55.233216+00:00,10.195905200002016,False,True,
70,artifacts\quant_core_repeated_seed_1000_smoke\seed_000070,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 70 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000070 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:15:55.233406+00:00,2026-04-30T10:16:05.678319+00:00,10.444915300002322,False,True,
71,artifacts\quant_core_repeated_seed_1000_smoke\seed_000071,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 71 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000071 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:16:05.678512+00:00,2026-04-30T10:16:16.191780+00:00,10.513269699993543,False,True,
72,artifacts\quant_core_repeated_seed_1000_smoke\seed_000072,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 72 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000072 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:16:16.191989+00:00,2026-04-30T10:16:27.021310+00:00,10.829322399978992,False,True,
73,artifacts\quant_core_repeated_seed_1000_smoke\seed_000073,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 73 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000073 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:16:27.044760+00:00,2026-04-30T10:16:37.265772+00:00,10.2210122999968,False,True,
74,artifacts\quant_core_repeated_seed_1000_smoke\seed_000074,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 74 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000074 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:16:37.265975+00:00,2026-04-30T10:16:47.905275+00:00,10.639301100018201,False,True,
75,artifacts\quant_core_repeated_seed_1000_smoke\seed_000075,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 75 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000075 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:16:47.905535+00:00,2026-04-30T10:16:58.216358+00:00,10.310825900000054,False,True,
76,artifacts\quant_core_repeated_seed_1000_smoke\seed_000076,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 76 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000076 --preset smoke --run-mode research_core --max-workers 1,completed,0.0,2026-04-30T10:16:58.216586+00:00,2026-04-30T10:17:08.396191+00:00,10.179606899997452,False,True,
