ticker,dir_acc_pct,up_precision_pct,train_samples,test_samples
HWS,88.88888888888889,66.66666666666666,68,18
PAS,88.88888888888889,0.0,68,18
BTS,88.88888888888889,0.0,68,18
SDP,88.88888888888889,0.0,68,18
SDV,88.88888888888889,0.0,68,18
NUE,88.88888888888889,66.66666666666666,68,18
LMH,88.88888888888889,0.0,68,18
LHG,88.88888888888889,100.0,68,18
TA9,88.88888888888889,100.0,68,18
BPC,88.88888888888889,50.0,68,18
SBH,88.88888888888889,50.0,68,18
QNW,88.88888888888889,80.0,68,18
PVV,88.88888888888889,0.0,68,18
SDK,88.88888888888889,100.0,68,18
SRB,88.88888888888889,100.0,68,18
SRA,88.88888888888889,0.0,68,18
BMF,88.88888888888889,50.0,68,18
TDT,88.88888888888889,100.0,68,18
TDB,88.88888888888889,66.66666666666666,68,18
SVN,88.88888888888889,0.0,68,18
SVI,88.88888888888889,83.33333333333334,68,18
SKH,88.88888888888889,50.0,68,18
BCR,88.88888888888889,50.0,68,18
TTL,88.88888888888889,80.0,68,18
TTE,88.88888888888889,0.0,68,18
VC2,88.88888888888889,0.0,68,18
TV3,88.88888888888889,66.66666666666666,68,18
TPB,88.88888888888889,100.0,68,18
API,88.88888888888889,0.0,68,18
TIG,88.88888888888889,100.0,68,18
TOW,88.88888888888889,100.0,68,18
VST,88.88888888888889,0.0,68,18
VNR,88.88888888888889,66.66666666666666,68,18
DAH,88.88888888888889,100.0,68,18
ITQ,88.88888888888889,0.0,68,18
EVS,88.88888888888889,100.0,68,18
AAS,88.88888888888889,0.0,68,18
L63,88.88888888888889,0.0,68,18
LM3,87.5,0.0,32,8
NTB,85.71428571428571,0.0,25,7
LCC,85.71428571428571,0.0,24,7
BMV,83.33333333333334,0.0,68,18
SAF,83.33333333333334,100.0,68,18
BLF,83.33333333333334,66.66666666666666,68,18
SD7,83.33333333333334,0.0,68,18
PVL,83.33333333333334,33.33333333333333,68,18
PVI,83.33333333333334,0.0,68,18
BNA,83.33333333333334,0.0,68,18
PVX,83.33333333333334,0.0,68,18
SVC,83.33333333333334,75.0,68,18
SPI,83.33333333333334,0.0,68,18
SPV,83.33333333333334,75.0,68,18
TAN,83.33333333333334,0.0,68,18
TDW,83.33333333333334,0.0,68,18
AVG,83.33333333333334,0.0,68,18
TCT,83.33333333333334,100.0,68,18
TDM,83.33333333333334,60.0,68,18
SNC,83.33333333333334,0.0,44,12
SKN,83.33333333333334,75.0,68,18
SHS,83.33333333333334,0.0,68,18
STH,83.33333333333334,66.66666666666666,68,18
SBS,83.33333333333334,0.0,68,18
SBD,83.33333333333334,75.0,68,18
SBR,83.33333333333334,0.0,68,18
SHB,83.33333333333334,66.66666666666666,68,18
VHG,83.33333333333334,0.0,68,18
VHL,83.33333333333334,100.0,68,18
VIM,83.33333333333334,50.0,68,18
VLC,83.33333333333334,60.0,68,18
VNH,83.33333333333334,0.0,68,18
VLF,83.33333333333334,0.0,68,18
VNI,83.33333333333334,0.0,68,18
VNM,83.33333333333334,0.0,68,18
VTD,83.33333333333334,100.0,68,18
VPB,83.33333333333334,0.0,68,18
VPH,83.33333333333334,100.0,68,18
VTA,83.33333333333334,0.0,68,18
ADG,83.33333333333334,75.0,68,18
YTC,83.33333333333334,0.0,68,18
VTR,83.33333333333334,50.0,68,18
VTK,83.33333333333334,100.0,68,18
TVB,83.33333333333334,100.0,68,18
UDC,83.33333333333334,0.0,68,18
VFR,83.33333333333334,0.0,68,18
VCC,83.33333333333334,0.0,68,18
AIC,83.33333333333334,100.0,68,18
APG,83.33333333333334,0.0,68,18
TTC,83.33333333333334,0.0,68,18
ASM,83.33333333333334,66.66666666666666,68,18
TSG,83.33333333333334,100.0,68,18
ATG,83.33333333333334,0.0,68,18
TMX,83.33333333333334,100.0,68,18
TMW,83.33333333333334,100.0,68,18
TIS,83.33333333333334,0.0,68,18
TLH,83.33333333333334,0.0,68,18
TIP,83.33333333333334,0.0,68,18
BCC,83.33333333333334,0.0,68,18
BTB,83.33333333333334,50.0,68,18
PSD,83.33333333333334,66.66666666666666,68,18
PTI,83.33333333333334,100.0,68,18
PVE,83.33333333333334,0.0,68,18
CCC,83.33333333333334,100.0,68,18
L45,83.33333333333334,50.0,68,18
MIE,83.33333333333334,0.0,68,18
KHD,83.33333333333334,100.0,68,18
MNB,83.33333333333334,100.0,68,18
MCP,83.33333333333334,71.42857142857143,68,18
MEL,83.33333333333334,0.0,68,18
MGG,83.33333333333334,75.0,68,18
MQN,83.33333333333334,100.0,68,18
PFL,83.33333333333334,0.0,68,18
PCN,83.33333333333334,0.0,24,6
LIG,83.33333333333334,0.0,68,18
BVS,83.33333333333334,100.0,68,18
OCH,83.33333333333334,60.0,68,18
OIL,83.33333333333334,0.0,68,18
PAI,83.33333333333334,0.0,68,18
PBC,83.33333333333334,100.0,68,18
PHP,83.33333333333334,75.0,68,18
BTV,83.33333333333334,66.66666666666666,68,18
NS2,83.33333333333334,33.33333333333333,68,18
NHP,83.33333333333334,33.33333333333333,68,18
NOS,83.33333333333334,100.0,68,18
NED,83.33333333333334,0.0,68,18
MTH,83.33333333333334,0.0,68,18
CAD,83.33333333333334,100.0,68,18
MPT,83.33333333333334,0.0,68,18
C22,83.33333333333334,75.0,46,12
BSG,83.33333333333334,0.0,68,18
CFM,83.33333333333334,0.0,68,18
ILA,83.33333333333334,100.0,68,18
KHW,83.33333333333334,100.0,68,18
FOX,83.33333333333334,0.0,68,18
HDC,83.33333333333334,100.0,68,18
GDA,83.33333333333334,100.0,68,18
GLT,83.33333333333334,100.0,68,18
CLG,83.33333333333334,57.14285714285714,68,18
HSV,83.33333333333334,0.0,68,18
HMR,83.33333333333334,66.66666666666666,68,18
HHG,83.33333333333334,0.0,68,18
IDJ,83.33333333333334,0.0,68,18
HFC,83.33333333333334,0.0,68,18
CIP,83.33333333333334,0.0,68,18
HAT,83.33333333333334,100.0,68,18
HAD,83.33333333333334,83.33333333333334,68,18
CT3,83.33333333333334,100.0,68,18
CTC,83.33333333333334,0.0,68,18
EID,83.33333333333334,0.0,68,18
DWC,83.33333333333334,0.0,68,18
CMI,83.33333333333334,100.0,68,18
FID,83.33333333333334,0.0,68,18
EPH,83.33333333333334,0.0,68,18
EPC,83.33333333333334,0.0,68,18
CNT,83.33333333333334,50.0,68,18
CNC,83.33333333333334,85.71428571428571,68,18
DCT,83.33333333333334,50.0,68,18
DCR,83.33333333333334,100.0,68,18
CVN,83.33333333333334,0.0,68,18
WTC,83.33333333333334,0.0,68,18
ABS,83.33333333333334,0.0,68,18
AAM,83.33333333333334,100.0,68,18
STD,82.35294117647058,66.66666666666666,68,17
HMD,81.25,50.0,61,16
PNG,80.0,66.66666666666666,19,5
DTE,80.0,0.0,19,5
VTX,80.0,0.0,19,5
ECI,78.57142857142857,0.0,54,14
TRT,78.57142857142857,50.0,52,14
LAF,77.77777777777779,50.0,68,18
ACS,77.77777777777779,100.0,68,18
LM8,77.77777777777779,0.0,68,18
LPT,77.77777777777779,50.0,68,18
VIG,77.77777777777779,25.0,68,18
CTW,77.77777777777779,0.0,68,18
LAI,77.77777777777779,66.66666666666666,68,18
LEC,77.77777777777779,0.0,68,18
LGC,77.77777777777779,60.0,68,18
LDP,77.77777777777779,100.0,68,18
L18,77.77777777777779,60.0,68,18
L40,77.77777777777779,0.0,68,18
L44,77.77777777777779,0.0,68,18
DCS,77.77777777777779,0.0,68,18
DDN,77.77777777777779,60.0,68,18
DFF,77.77777777777779,40.0,68,18
MAC,77.77777777777779,100.0,68,18
MBB,77.77777777777779,50.0,68,18
MCG,77.77777777777779,0.0,68,18
KSD,77.77777777777779,60.0,68,18
KSQ,77.77777777777779,0.0,68,18
KTL,77.77777777777779,100.0,68,18
MDG,77.77777777777779,0.0,68,18
BXH,77.77777777777779,0.0,68,18
IVS,77.77777777777779,66.66666666666666,68,18
JOS,77.77777777777779,0.0,68,18
KBC,77.77777777777779,0.0,68,18
KCE,77.77777777777779,75.0,68,18
KDM,77.77777777777779,66.66666666666666,68,18
KGM,77.77777777777779,0.0,68,18
KIP,77.77777777777779,0.0,68,18
C4G,77.77777777777779,0.0,68,18
C69,77.77777777777779,60.0,68,18
CAB,77.77777777777779,0.0,68,18
CAV,77.77777777777779,100.0,68,18
CBI,77.77777777777779,100.0,68,18
VAB,77.77777777777779,0.0,68,18
VEA,77.77777777777779,40.0,68,18
DAE,77.77777777777779,100.0,68,18
DAG,77.77777777777779,100.0,68,18
VLS,77.77777777777779,0.0,68,18
VMG,77.77777777777779,40.0,68,18
VND,77.77777777777779,0.0,68,18
AMC,77.77777777777779,0.0,68,18
AMP,77.77777777777779,100.0,68,18
AVC,77.77777777777779,0.0,68,18
NDC,77.77777777777779,100.0,68,18
NBP,77.77777777777779,0.0,68,18
ISH,77.77777777777779,50.0,68,18
IPA,77.77777777777779,66.66666666666666,68,18
MTV,77.77777777777779,0.0,68,18
ALV,77.77777777777779,0.0,68,18
NDT,77.77777777777779,75.0,68,18
HU6,77.77777777777779,100.0,68,18
HUB,77.77777777777779,100.0,68,18
HVX,77.77777777777779,75.0,68,18
BVG,77.77777777777779,0.0,68,18
BWA,77.77777777777779,0.0,35,9
TTH,77.77777777777779,0.0,68,18
DNC,77.77777777777779,80.0,68,18
TVN,77.77777777777779,0.0,68,18
TOT,77.77777777777779,0.0,68,18
TSA,77.77777777777779,66.66666666666666,68,18
CT6,77.77777777777779,0.0,68,18
CTB,77.77777777777779,100.0,68,18
APH,77.77777777777779,25.0,68,18
APS,77.77777777777779,75.0,68,18
PCT,77.77777777777779,50.0,68,18
HSG,77.77777777777779,0.0,68,18
HSI,77.77777777777779,0.0,68,18
HTE,77.77777777777779,60.0,68,18
PGB,77.77777777777779,66.66666666666666,68,18
PHS,77.77777777777779,40.0,68,18
PIA,77.77777777777779,66.66666666666666,68,18
CEO,77.77777777777779,50.0,68,18
CFV,77.77777777777779,100.0,68,18
NDP,77.77777777777779,80.0,68,18
HNM,77.77777777777779,50.0,68,18
PLA,77.77777777777779,40.0,68,18
PIT,77.77777777777779,100.0,68,18
HKT,77.77777777777779,55.55555555555556,68,18
DSC,77.77777777777779,57.14285714285714,68,18
TLD,77.77777777777779,66.66666666666666,68,18
TMC,77.77777777777779,100.0,68,18
HQC,77.77777777777779,0.0,68,18
TMS,77.77777777777779,50.0,68,18
TNA,77.77777777777779,55.55555555555556,68,18
HLD,77.77777777777779,100.0,68,18
HMS,77.77777777777779,0.0,68,18
HNA,77.77777777777779,100.0,68,18
HNB,77.77777777777779,0.0,68,18
POV,77.77777777777779,0.0,68,18
BCE,77.77777777777779,50.0,68,18
POW,77.77777777777779,50.0,68,18
PPI,77.77777777777779,33.33333333333333,68,18
TDS,77.77777777777779,0.0,68,18
PPP,77.77777777777779,0.0,68,18
DTA,77.77777777777779,50.0,68,18
DTD,77.77777777777779,0.0,68,18
DTK,77.77777777777779,100.0,68,18
DTT,77.77777777777779,0.0,68,18
DVG,77.77777777777779,0.0,68,18
BAB,77.77777777777779,66.66666666666666,68,18
BSP,77.77777777777779,57.14285714285714,68,18
PSG,77.77777777777779,0.0,68,18
HIO,77.77777777777779,100.0,68,18
PCC,77.77777777777779,100.0,68,18
TNV,77.77777777777779,66.66666666666666,68,18
NO1,77.77777777777779,0.0,68,18
TAR,77.77777777777779,0.0,68,18
TAL,77.77777777777779,0.0,68,18
SZL,77.77777777777779,60.0,68,18
DXS,77.77777777777779,33.33333333333333,68,18
TCD,77.77777777777779,0.0,68,18
CLW,77.77777777777779,100.0,68,18
CMC,77.77777777777779,0.0,68,18
TBC,77.77777777777779,0.0,68,18
PVO,77.77777777777779,100.0,68,18
PVR,77.77777777777779,25.0,68,18
PVS,77.77777777777779,0.0,68,18
RAL,77.77777777777779,60.0,68,18
BOT,77.77777777777779,0.0,68,18
HD2,77.77777777777779,0.0,68,18
RCL,77.77777777777779,50.0,68,18
EFI,77.77777777777779,50.0,68,18
S99,77.77777777777779,33.33333333333333,68,18
SAM,77.77777777777779,75.0,68,18
STG,77.77777777777779,0.0,68,18
STK,77.77777777777779,66.66666666666666,68,18
FHS,77.77777777777779,80.0,68,18
BDT,77.77777777777779,0.0,68,18
STT,77.77777777777779,0.0,68,18
GVT,77.77777777777779,66.66666666666666,68,18
HAN,77.77777777777779,55.55555555555556,68,18
HAV,77.77777777777779,0.0,68,18
SBV,77.77777777777779,66.66666666666666,68,18
SD4,77.77777777777779,66.66666666666666,68,18
SD6,77.77777777777779,0.0,68,18
SDD,77.77777777777779,0.0,68,18
SDT,77.77777777777779,0.0,68,18
PVH,77.77777777777779,0.0,68,18
GND,77.77777777777779,50.0,68,18
GSM,77.77777777777779,0.0,68,18
BID,77.77777777777779,60.0,68,18
SFG,77.77777777777779,62.5,68,18
SMB,77.77777777777779,0.0,68,18
SPB,77.77777777777779,100.0,68,18
FOC,77.77777777777779,100.0,68,18
SJS,77.77777777777779,100.0,68,18
FPT,77.77777777777779,33.33333333333333,68,18
BIO,77.77777777777779,0.0,68,18
BLI,77.77777777777779,50.0,68,18
FSO,77.77777777777779,57.14285714285714,68,18
G36,77.77777777777779,0.0,68,18
GEE,77.77777777777779,0.0,68,18
SHG,77.77777777777779,75.0,68,18
CMM,77.77777777777779,71.42857142857143,68,18
SIV,77.77777777777779,100.0,68,18
VXB,77.77777777777779,100.0,33,9
VTH,77.77777777777779,100.0,68,18
VTO,77.77777777777779,33.33333333333333,68,18
XMP,77.77777777777779,50.0,68,18
XPH,77.77777777777779,100.0,68,18
CDC,77.77777777777779,50.0,68,18
VPA,77.77777777777779,0.0,68,18
VSG,77.77777777777779,0.0,68,18
VTB,77.77777777777779,0.0,68,18
WSB,77.77777777777779,50.0,68,18
ACM,77.77777777777779,0.0,68,18
AGP,77.77777777777779,50.0,68,18
CCM,77.77777777777779,100.0,68,18
AAH,77.77777777777779,0.0,68,18
LGL,77.77777777777779,50.0,68,18
FUCTVGF5,76.92307692307693,0.0,51,13
BTG,76.47058823529412,66.66666666666666,66,17
PSN,76.47058823529412,40.0,67,17
CCV,75.0,100.0,16,4
TA3,75.0,0.0,14,4
ING,75.0,0.0,15,4
UPC,75.0,0.0,12,4
DP2,75.0,0.0,14,4
LQN,72.72727272727273,75.0,42,11
YEG,72.22222222222221,0.0,68,18
A32,72.22222222222221,0.0,68,18
YBM,72.22222222222221,66.66666666666666,68,18
CCR,72.22222222222221,0.0,68,18
CTP,72.22222222222221,66.66666666666666,68,18
CTS,72.22222222222221,0.0,68,18
VMS,72.22222222222221,100.0,68,18
ACB,72.22222222222221,0.0,68,18
SJF,72.22222222222221,0.0,68,18
SJ1,72.22222222222221,71.42857142857143,68,18
SJD,72.22222222222221,0.0,68,18
SII,72.22222222222221,0.0,68,18
SHE,72.22222222222221,57.14285714285714,68,18
BKC,72.22222222222221,66.66666666666666,68,18
BII,72.22222222222221,0.0,68,18
BIG,72.22222222222221,20.0,68,18
SSM,72.22222222222221,71.42857142857143,68,18
SSH,72.22222222222221,0.0,68,18
SRT,72.22222222222221,100.0,68,18
VUA,72.22222222222221,54.54545454545454,68,18
VSH,72.22222222222221,100.0,68,18
VSA,72.22222222222221,66.66666666666666,68,18
ACL,72.22222222222221,60.0,68,18
SMT,72.22222222222221,100.0,68,18
SMN,72.22222222222221,0.0,68,18
SJG,72.22222222222221,75.0,68,18
SGP,72.22222222222221,50.0,68,18
SGC,72.22222222222221,0.0,68,18
SFN,72.22222222222221,25.0,68,18
SEP,72.22222222222221,62.5,68,18
SEB,72.22222222222221,0.0,68,18
GSP,72.22222222222221,0.0,68,18
SDA,72.22222222222221,0.0,68,18
SD5,72.22222222222221,0.0,68,18
SCY,72.22222222222221,0.0,68,18
SCL,72.22222222222221,0.0,68,18
SCJ,72.22222222222221,0.0,68,18
SCG,72.22222222222221,0.0,68,18
SBL,72.22222222222221,100.0,68,18
SBA,72.22222222222221,50.0,68,18
HBH,72.22222222222221,100.0,68,18
HBD,72.22222222222221,0.0,68,18
HBC,72.22222222222221,0.0,68,18
HAX,72.22222222222221,0.0,68,18
HAP,72.22222222222221,71.42857142857143,68,18
HAC,72.22222222222221,57.14285714285714,68,18
STP,72.22222222222221,0.0,68,18
BHC,72.22222222222221,0.0,68,18
BGE,72.22222222222221,66.66666666666666,68,18
FIR,72.22222222222221,75.0,68,18
FIC,72.22222222222221,0.0,68,18
CMG,72.22222222222221,0.0,68,18
VTE,72.22222222222221,50.0,68,18
ACE,72.22222222222221,62.5,68,18
VRC,72.22222222222221,83.33333333333334,68,18
ST8,72.22222222222221,100.0,68,18
STC,72.22222222222221,100.0,68,18
EVG,72.22222222222221,50.0,68,18
SSN,72.22222222222221,0.0,68,18
HEC,72.22222222222221,40.0,68,18
HDW,72.22222222222221,42.857142857142854,68,18
RTB,72.22222222222221,0.0,68,18
S12,72.22222222222221,0.0,68,18
BQP,72.22222222222221,100.0,68,18
QTP,72.22222222222221,0.0,68,18
QNS,72.22222222222221,0.0,68,18
QHW,72.22222222222221,42.857142857142854,68,18
PXM,72.22222222222221,100.0,68,18
PWA,72.22222222222221,0.0,68,18
HDB,72.22222222222221,0.0,68,18
RGC,72.22222222222221,0.0,68,18
PVB,72.22222222222221,0.0,68,18
PV2,72.22222222222221,0.0,68,18
CLL,72.22222222222221,0.0,68,18
HEJ,72.22222222222221,80.0,68,18
PTT,72.22222222222221,66.66666666666666,68,18
TCH,72.22222222222221,100.0,68,18
TC6,72.22222222222221,100.0,68,18
CKV,72.22222222222221,100.0,68,18
TBR,72.22222222222221,60.0,68,18
ECO,72.22222222222221,100.0,68,18
TAB,72.22222222222221,33.33333333333333,68,18
SZE,72.22222222222221,0.0,68,18
SVG,72.22222222222221,100.0,68,18
PTO,72.22222222222221,100.0,68,18
PVM,72.22222222222221,0.0,68,18
HBS,72.22222222222221,50.0,68,18
PTC,72.22222222222221,0.0,68,18
PTL,72.22222222222221,0.0,68,18
HII,72.22222222222221,71.42857142857143,68,18
PSP,72.22222222222221,60.0,68,18
HHV,72.22222222222221,0.0,68,18
HES,72.22222222222221,85.71428571428571,68,18
PSI,72.22222222222221,0.0,68,18
BTH,72.22222222222221,66.66666666666666,68,18
BST,72.22222222222221,0.0,68,18
BSQ,72.22222222222221,66.66666666666666,68,18
BAL,72.22222222222221,33.33333333333333,68,18
BAF,72.22222222222221,66.66666666666666,68,18
THB,72.22222222222221,50.0,68,18
TDH,72.22222222222221,0.0,68,18
TDC,72.22222222222221,62.5,68,18
TCR,72.22222222222221,0.0,68,18
TCM,72.22222222222221,55.55555555555556,68,18
TCI,72.22222222222221,0.0,68,18
BSI,72.22222222222221,50.0,68,18
PSB,72.22222222222221,50.0,68,18
PRE,72.22222222222221,0.0,68,18
PPT,72.22222222222221,0.0,68,18
POM,72.22222222222221,0.0,68,18
HNI,72.22222222222221,0.0,68,18
HLB,72.22222222222221,66.66666666666666,68,18
TMT,72.22222222222221,100.0,68,18
TLI,72.22222222222221,70.0,68,18
TKG,72.22222222222221,0.0,68,18
FCN,72.22222222222221,0.0,68,18
CMF,72.22222222222221,54.54545454545454,68,18
SPC,72.22222222222221,0.0,68,18
SP2,72.22222222222221,0.0,68,18
TID,72.22222222222221,0.0,68,18
DPH,72.22222222222221,57.14285714285714,68,18
DQC,72.22222222222221,57.14285714285714,68,18
DRG,72.22222222222221,0.0,68,18
PLX,72.22222222222221,0.0,68,18
HRT,72.22222222222221,66.66666666666666,68,18
BAX,72.22222222222221,50.0,68,18
BCG,72.22222222222221,0.0,68,18
PHN,72.22222222222221,50.0,68,18
PGV,72.22222222222221,0.0,68,18
PGS,72.22222222222221,60.0,68,18
PEG,72.22222222222221,42.857142857142854,68,18
PDV,72.22222222222221,66.66666666666666,68,18
PDR,72.22222222222221,0.0,68,18
HPT,72.22222222222221,83.33333333333334,68,18
BCA,72.22222222222221,0.0,68,18
HTI,72.22222222222221,80.0,68,18
HTC,72.22222222222221,100.0,68,18
HSM,72.22222222222221,50.0,68,18
HSP,72.22222222222221,16.666666666666664,68,18
PCM,72.22222222222221,62.5,68,18
PCF,72.22222222222221,0.0,68,18
PCE,72.22222222222221,0.0,68,18
APP,72.22222222222221,100.0,68,18
CSC,72.22222222222221,0.0,68,18
CRE,72.22222222222221,0.0,68,18
TT6,72.22222222222221,33.33333333333333,68,18
TSC,72.22222222222221,0.0,68,18
TS3,72.22222222222221,0.0,68,18
TNS,72.22222222222221,0.0,68,18
PDC,72.22222222222221,0.0,68,18
PMP,72.22222222222221,0.0,68,18
OCB,72.22222222222221,0.0,68,18
BWE,72.22222222222221,71.42857142857143,68,18
BTN,72.22222222222221,0.0,68,18
BTU,72.22222222222221,66.66666666666666,68,18
ICG,72.22222222222221,66.66666666666666,68,18
NVB,72.22222222222221,33.33333333333333,68,18
NRC,72.22222222222221,0.0,68,18
NXT,72.22222222222221,0.0,68,18
NLG,72.22222222222221,60.0,68,18
NHV,72.22222222222221,0.0,68,18
NHT,72.22222222222221,60.0,68,18
NHH,72.22222222222221,0.0,68,18
NHA,72.22222222222221,0.0,68,18
NFC,72.22222222222221,57.14285714285714,68,18
NEM,72.22222222222221,66.66666666666666,68,18
NNT,72.22222222222221,80.0,68,18
IDP,72.22222222222221,80.0,68,18
CID,72.22222222222221,0.0,68,18
CDR,72.22222222222221,0.0,68,18
CHS,72.22222222222221,100.0,68,18
USD,72.22222222222221,60.0,68,18
UDJ,72.22222222222221,33.33333333333333,68,18
CPI,72.22222222222221,0.0,68,18
DOP,72.22222222222221,0.0,68,18
DNP,72.22222222222221,75.0,68,18
DNH,72.22222222222221,100.0,68,18
DND,72.22222222222221,100.0,68,18
DNA,72.22222222222221,100.0,68,18
TVC,72.22222222222221,0.0,68,18
TTT,72.22222222222221,100.0,68,18
PAC,72.22222222222221,0.0,68,18
HOT,72.22222222222221,100.0,68,18
NDN,72.22222222222221,60.0,68,18
ATB,72.22222222222221,0.0,68,18
NAV,72.22222222222221,100.0,68,18
ND2,72.22222222222221,100.0,68,18
ITC,72.22222222222221,0.0,68,18
ILS,72.22222222222221,0.0,68,18
MWG,72.22222222222221,0.0,68,18
NCG,72.22222222222221,66.66666666666666,68,18
MVB,72.22222222222221,40.0,68,18
MTP,72.22222222222221,70.0,68,18
AGX,72.22222222222221,0.0,68,18
VGP,72.22222222222221,0.0,68,18
VGC,72.22222222222221,60.0,68,18
VEF,72.22222222222221,80.0,68,18
VE9,72.22222222222221,0.0,68,18
MVC,72.22222222222221,50.0,68,18
DHP,72.22222222222221,33.33333333333333,68,18
VE1,72.22222222222221,0.0,68,18
VCG,72.22222222222221,66.66666666666666,68,18
VCA,72.22222222222221,33.33333333333333,68,18
VC7,72.22222222222221,0.0,68,18
VC3,72.22222222222221,100.0,68,18
V11,72.22222222222221,0.0,68,18
MTL,72.22222222222221,33.33333333333333,68,18
MSB,72.22222222222221,0.0,68,18
CAT,72.22222222222221,50.0,68,18
MHC,72.22222222222221,42.857142857142854,68,18
MGR,72.22222222222221,100.0,68,18
MED,72.22222222222221,25.0,68,18
KST,72.22222222222221,0.0,68,18
KSH,72.22222222222221,0.0,68,18
DHT,72.22222222222221,50.0,68,18
MCM,72.22222222222221,50.0,68,18
M10,72.22222222222221,58.333333333333336,68,18
LSG,72.22222222222221,0.0,68,18
VIE,72.22222222222221,50.0,68,18
VID,72.22222222222221,60.0,68,18
VHH,72.22222222222221,100.0,68,18
VHE,72.22222222222221,0.0,68,18
DHA,72.22222222222221,0.0,68,18
DDM,72.22222222222221,0.0,68,18
DC2,72.22222222222221,60.0,68,18
VHD,72.22222222222221,37.5,68,18
APC,72.22222222222221,0.0,68,18
AMS,72.22222222222221,0.0,68,18
AME,72.22222222222221,0.0,68,18
VNS,72.22222222222221,0.0,68,18
VNG,72.22222222222221,0.0,68,18
ABB,72.22222222222221,0.0,68,18
VMC,72.22222222222221,100.0,68,18
VLW,72.22222222222221,0.0,68,18
VLA,72.22222222222221,0.0,68,18
CX8,72.22222222222221,0.0,68,18
VIW,72.22222222222221,0.0,68,18
VIH,72.22222222222221,80.0,68,18
LPB,72.22222222222221,33.33333333333333,68,18
LO5,72.22222222222221,33.33333333333333,68,18
LBE,72.22222222222221,50.0,68,18
L62,72.22222222222221,0.0,68,18
L14,72.22222222222221,50.0,68,18
ABT,72.22222222222221,50.0,68,18
ABR,72.22222222222221,37.5,68,18
ABC,72.22222222222221,0.0,68,18
ADP,72.22222222222221,0.0,68,18
GTT,71.42857142857143,0.0,26,7
KTC,70.58823529411765,0.0,67,17
HC1,70.0,100.0,38,10
VTG,69.23076923076923,0.0,52,13
