Meta_CP,Meta_Năm,Meta_Kỳ,Chỉ tiêu cơ cấu nguồn vốn_(Vay NH+DH)/VCSH,Chỉ tiêu cơ cấu nguồn vốn_Nợ/VCSH,Chỉ tiêu cơ cấu nguồn vốn_TSCĐ / Vốn CSH,Chỉ tiêu cơ cấu nguồn vốn_Vốn CSH/Vốn điều lệ,Chỉ tiêu hiệu quả hoạt động_Vòng quay tài sản,Chỉ tiêu hiệu quả hoạt động_Vòng quay TSCĐ,Chỉ tiêu hiệu quả hoạt động_Số ngày thu tiền bình quân,Chỉ tiêu hiệu quả hoạt động_Số ngày tồn kho bình quân,Chỉ tiêu hiệu quả hoạt động_Số ngày thanh toán bình quân,Chỉ tiêu hiệu quả hoạt động_Chu kỳ tiền,Chỉ tiêu hiệu quả hoạt động_Vòng quay hàng tồn kho,Chỉ tiêu khả năng sinh lợi_Biên EBIT (%),Chỉ tiêu khả năng sinh lợi_Biên lợi nhuận gộp (%),Chỉ tiêu khả năng sinh lợi_Biên lợi nhuận ròng (%),Chỉ tiêu khả năng sinh lợi_ROE (%),Chỉ tiêu khả năng sinh lợi_ROIC (%),Chỉ tiêu khả năng sinh lợi_ROA (%),Chỉ tiêu khả năng sinh lợi_EBITDA (Tỷ đồng),Chỉ tiêu khả năng sinh lợi_EBIT (Tỷ đồng),Chỉ tiêu khả năng sinh lợi_Tỷ suất cổ tức (%),Chỉ tiêu thanh khoản_Chỉ số thanh toán hiện thời,Chỉ tiêu thanh khoản_Chỉ số thanh toán tiền mặt,Chỉ tiêu thanh khoản_Chỉ số thanh toán nhanh,Chỉ tiêu thanh khoản_Khả năng chi trả lãi vay,Chỉ tiêu thanh khoản_Đòn bẩy tài chính,Chỉ tiêu định giá_Vốn hóa (Tỷ đồng),Chỉ tiêu định giá_Số CP lưu hành (Triệu CP),Chỉ tiêu định giá_P/E,Chỉ tiêu định giá_P/B,Chỉ tiêu định giá_P/S,Chỉ tiêu định giá_P/Cash Flow,Chỉ tiêu định giá_EPS (VND),Chỉ tiêu định giá_BVPS (VND),Chỉ tiêu định giá_EV/EBITDA,ticker_
FPT,2007,2,0.0,0.0,0.18632382981108037,0.11282851088598414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046048561929641345,0.09245363612456696,0.03474500108277257,0.0,0.0,0.0,0.0,279540664391.0,0.0,0.0,0.0,0.0,-25.225757760255913,2.0128305401370667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FPT
FPT,2007,1,0.0,0.0,0.1920400504236813,0.099051058063408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029264400280595137,0.07114425092934402,0.027376059751463795,0.0,0.0,0.0,0.0,165741410239.0,0.0,0.0,0.0,0.0,-17.246785240632708,1.9610706226260497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FPT
DGC,2014,3,0.7281383581,1.3124597481,0.8267558768692224,0.1565824400522992,1.5080097687,7.5365926547,26.530532828918695,48.8974703867,25.544562582,100.9725657976187,7.4645988251,0.1156379411790708,0.1703248401246601,0.06951294809149687,0.3496497795,79.5666452901,0.1542907755,389501630492.0,62471050527.0,0.0,1.3446403623,0.0065005457,1.029553733,-18.939629202949146,2.8044116655373346,1179177683200.0,33499366.0,6.2390697714,1.9829187579,0.6383452772,-56.5395527458,1121.0050735587056,17751.6097717193,4.1260533239,DGC
DGC,2014,2,0.803728793,1.2400069887,0.829743315918494,0.14669433908646612,1.5080097687,7.5365926547,26.530532828918695,48.8974703867,25.544562582,100.9725657976187,7.4645988251,0.09587752324249144,0.14888479151321984,0.05629148660214196,0.3496497795,81.3749781376,0.1542907755,389501630492.0,44942609810.0,0.0,1.3487897625,0.019186289,0.9665318677,-21.612504836779483,2.7295391119911416,1205977176000.0,33499366.0,6.3808668116,2.1646837654,0.6528531244,-57.824542581,787.6759981368006,16630.6046981606,4.2117716432,DGC
DGC,2014,1,0.0,0.0,0.5537958822397555,0.16502902377540413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15846917697949156,0.21380229882709473,0.09312280633789188,0.0,0.0,0.0,0.0,72378468277.0,0.0,0.0,0.0,0.0,-48.32984085329031,2.2437879333391693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DGC
DGC,2013,3,0.0,0.0,0.4028680933953468,0.1560074319806373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1913949723988443,0.24748130388209974,0.11768306508194844,0.0,0.0,0.0,0.0,91421350818.0,0.0,0.0,0.0,0.0,-75.17320061712651,2.164756383905206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DGC
VPB,2013,4,,14.6942054282,0.054164800302121334,0.09738809432228612,,,,,,,,,,0.335987065740669,0.1416931581,,0.0090923612,,,,,,,,15.69420542827032,0.0,577000000.0,0.0,0.0,0.0,0.0,1029.6967071057193,13391.1559792028,,VPB
VPB,2013,3,,15.8261284792,0.054735259005516526,0.0895728816837141,,,,,,,,,,0.19364559587674457,0.0649019515,,0.003950909,,,,,,,,16.826128479209032,0.0,577000000.0,0.0,0.0,0.0,0.0,318.73830155979203,12316.5407279029,,VPB
VPB,2013,2,,14.4551773786,0.05842820285479924,0.08584903690201288,,,,,,,,,,0.08556093754990908,0.101857145,,0.0069408204,,,,,,,,16.672998886979777,0.0,577000000.0,0.0,0.0,0.0,0.0,122.44413906759098,11870.8388214905,,VPB
VPB,2013,1,,14.4551773786,0.06367298356075424,0.08506965063150222,,,,,,,,,,0.18528476873307634,0.101857145,,0.0069408204,,,,,,,,16.68472401485902,0.0,577000000.0,0.0,0.0,0.0,0.0,226.41721275216636,11697.3329094298,,VPB
DIG,2013,4,0.5757001491,0.9323674195,0.12535478534245684,0.2968598227616377,0.1548955597,1.7265009252,462.21682903630074,1198.1917930356,106.4945266526,1766.9031487245009,0.3046256885,0.07233626901691519,0.2346645900143241,0.11319500421912747,0.0225426843,0.0,0.0111991159,95690406241.0,13195961910.0,0.0,2.0741771803,0.0262716568,0.770251709,-3.964632643713098,1.9582697284146053,2516722331200.0,142995587.0,46.2255257355,1.060257419,3.3421553273,-12.3821385321,144.40744151076495,16599.7423685949,36.4820194565,DIG
DIG,2013,3,0.8089240518,0.9839402568,0.13030266543060529,0.2943926502017172,0.1531309112,1.5140449554,461.3059341429532,1170.2306553815,91.0532504624,1722.5898399868531,0.3119043227,-0.010277117752283411,0.15841238934653107,0.007346173845998584,0.0016840916,20.1493781681,0.0008036919,23277082370.0,-2081904437.0,0.0,3.1785877739,0.0749595628,1.2083528336,0.7380299578075671,2.00337758888859,1773145278800.0,142995587.0,442.5724660984,0.7562564586,2.3336408518,-11.9082401844,10.407059198267426,16396.554183298,116.6989735741,DIG
DIG,2013,2,0.8764298761,1.1202099232,0.2389988589262249,0.2942057962015453,0.1454370567,1.2904018771,485.2344607308859,1221.1664872054,93.0281523502,1799.4291002864861,0.2988945437,0.003743813542148343,0.24060036263220777,0.10000375437348981,1.60153e-05,16.0870035375,7.5929e-06,44886514280.0,572685062.0,0.0,2.6548133885,0.0897569079,1.0048316716,-0.04442932228195865,2.159256094557036,1415656311300.0,142995587.0,36575.9334219226,0.6041688705,1.9310219218,86.1535873222,106.9782068449427,16386.1471240997,55.0472961499,DIG
DIG,2013,1,0.859996198,1.0988494873,0.2449493458613703,0.29232667406668655,0.1535383818,1.3491684902,469.7569349497192,1152.4291886773,87.6791216642,1709.8652452912193,0.3167222798,0.06466600592880468,0.2527186253741354,0.0456574853337961,0.002853355,16.4119935079,0.0013697553,55874185214.0,11389527096.0,0.0,2.554177757,0.0582240801,1.0053775354,-1.9544527544062709,2.1422667658408963,1444255428700.0,142995587.0,206.1118760629,0.6203364538,1.8715894881,-14.4572023721,56.23659377684152,16281.487147432,45.0223654088,DIG
GEX,2013,4,0.3978146239,1.0577727067,0.4485183292281411,0.23077977693974439,1.5857326767,8.1210441814,46.44508891481574,70.0699692315,29.3166903586,145.83174850491574,5.209078925,0.0535299013718422,0.1346687125801924,0.021057859161147868,0.1563909169,0.0,0.0664406258,698897506873.0,117355168455.0,0.0,1.5451077978,0.380252507,0.9222563344,-5.87533081996352,2.274512909464662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15277.1467496,0.5450986719,GEX
GEX,2013,3,0.5283667462,1.078783953,0.4347289864361204,0.22588867145088914,1.4651682002,8.7682151231,45.018980150038864,81.2791898184,19.923840551,146.22201051943887,4.4906943685,0.0872055682507675,0.16549748635639933,0.05326370879254514,0.2065649768,0.0,0.091166411,748590112120.0,162963778892.0,0.0,1.5007403786,0.3539773998,0.9106198564,-5.674814801167933,2.4001500065782304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13738.4175439214,0.8397394837,GEX
GEX,2013,2,0.5283667462,1.078783953,0.48058972809477707,0.213140591576687,1.4651682002,8.7682151231,45.018980150038864,81.2791898184,19.923840551,146.22201051943887,4.4906943685,0.07601089572715897,0.14379147124888364,0.0458421235584836,0.2065649768,0.0,0.091166411,748590112120.0,141390089565.0,0.0,1.5007403786,0.3539773998,0.9106198564,-5.60243087197705,2.28090461116621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13738.4175439214,0.8397394837,GEX
GEX,2013,1,0.4452987148,1.2427544002,0.45451661652143877,0.20894665072526214,1.4651682002,8.7682151231,45.018980150038864,81.2791898184,19.923840551,146.22201051943887,4.4906943685,0.05479125324406254,0.12089857633330517,0.046836463742079976,0.2065649768,0.0,0.091166411,748590112120.0,80380072607.0,0.0,1.4524324058,0.4650957336,0.924679783,-4.2232138315663725,2.410144089566165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13120.1349453286,0.0702830311,GEX
TCB,2013,4,,10.4149335754,0.07419050868210496,0.19643800078386672,,,,,,,,,,0.08694693743325847,0.0484439249,,0.0038902723,,,,,,,,11.414933575401099,0.0,884807871.0,0.0,0.0,0.0,0.0,108.76937599032728,15732.3069292633,,TCB
TCB,2013,3,,10.978680998,0.07721611914180947,0.19541863090957784,,,,,,,,,,0.05253135155679913,-0.0458995677,,-0.0036167185,,,,,,,,11.978680998053559,0.0,884807871.0,0.0,0.0,0.0,0.0,60.45154180144041,15650.6677368832,,TCB
TCB,2013,2,,11.4350244184,0.07496625783807405,0.19450653935998397,,,,,,,,,,0.10300224975910957,-0.0087296102,,-0.0006826661,,,,,,,,12.435024418493208,0.0,884807871.0,0.0,0.0,0.0,0.0,107.1622474298717,15577.620240225,,TCB
TCB,2013,1,,11.8602361138,0.0822924638520058,0.1929787165135264,,,,,,,,,,0.3080488300235809,0.028015478,,0.0021700182,,,,,,,,12.860236113868995,0.0,884807871.0,0.0,0.0,0.0,0.0,449.12688169339305,15455.2601171424,,TCB
CTG,2013,1,,13.420440826,0.15004564815357171,0.44608589740115073,,,,,,,,,,0.2237607015395291,0.1718552363,10.1275793736,0.0122401371,,,0.0,,,,,14.42675436877152,65322886960000.0,3266144348.0,7.5525943356,1.3035222033,2.9415142683,-5.7934712449,318.2809980044397,15343.0451349458,,CTG
CTG,2012,2,,0.0,0.12816998019984804,0.39381172944493076,,,,,,,,,,0.12179751694107248,0.0,0.0,0.0,,,0.0,,,,,13.236539841140422,44307651675300.0,2621754537.0,7.6955964662,1.448571299,1.992204482,5.3064730086,217.64675395544094,11666.6677098612,,CTG
CTG,2010,2,,0.0,0.20013668786342642,0.17393727690092198,,,,,,,,,,0.2152734554173656,0.0,0.0,0.0,,,0.0736842105,,,,,21.837012713614573,28828648320000.0,0.0,9.7686938708,2.1677748668,2.327619113,0.0,0.0,8764.7478020918,,CTG
CTG,2009,2,,0.0,0.15976003952789272,0.17479506594299418,,,,,,,,,,0.21019310059919788,0.0,0.0,0.0,,,0.0,,,,,16.098865326147838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CTG
SLS,2013,4,0.0222288703,0.4094772842,0.503260796050622,1.8376958395089025,2.2647249652,7.1877663156,1.5490194667837578,40.7754869033,27.0749627611,69.39946913118375,8.9514565666,-0.007554997332287471,0.07239116842114102,0.02165287807264152,0.3000298499,0.0,0.2003750772,85695729047.0,-476610986.0,0.0341296928,2.1619723842,0.6392351215,1.531161969,0.986185510659979,1.4094772842918648,199240000000.0,6800000.0,3.9157673786,1.1072200345,0.3464536325,3.2802464671,200.879885,26462.6714516176,1.9317028509,SLS
SLS,2013,3,0.0,0.2182975019,0.36281213496803477,1.9448852423599192,2.0797885724,8.4550752503,4.838573612859358,54.8106058802,15.3628178809,75.01199737395936,6.6592951152,0.18562147061838555,0.22985302167300917,0.15215865259289887,0.2787360003,16.7166666666,0.1858541014,77687250293.0,10081455536.0,0.033898305,3.8459678823,1.7214573188,3.6232504416,-1011.5172440295236,1.2182975019263054,200600000000.0,6800000.0,4.0065579471,1.0533385586,0.3580340986,-12.8116956909,1215.2979658823529,28006.1901830882,1.6609391787,SLS
SLS,2013,2,0.0,0.3141125545,0.32353561472132353,2.0386771578373857,2.0580649477,8.6094941148,4.447141263636764,58.28643925,15.244963715,77.97854422863676,6.2621770122,0.130836836706679,0.15302178364155347,0.10540198137005832,0.2766418623,15.8666666666,0.1793766252,73868638976.0,36404491911.0,0.0,3.1052218966,1.4039527558,2.4735645128,-446.315796022412,1.314112554503634,190400000000.0,6800000.0,3.9502390716,0.9537828776,0.3442945541,2.7245053713,4312.854439852941,29356.7861798529,1.3857711934,SLS
SLS,2013,1,0.1753927114,0.9374663596,0.4033693172981719,1.7467902018649002,1.9138625348,8.1078789548,3.9427989186974464,66.8217238183,17.4315573678,88.19608010479745,5.4622954803,0.07456484431192223,0.1736466517763887,0.06645024095338549,0.2986061949,14.5633333333,0.185667046,60804556147.0,13380161499.0,0.0,1.6175208951,0.300262968,0.5767268627,-17.601924398850198,1.9374663596633244,174760000000.0,6800000.0,3.5478590988,1.0217210085,0.3441838202,-24.0751447392,1753.5368116176471,25153.6376223529,2.822374482,SLS
CII,2013,4,5.5682298396,3.8863423718,2.4788092332013965,0.24180705971360317,0.0964248334,0.186818024,106.23256207882645,494.7931172496,404.0091788095,1005.0348581379264,0.7376820478,0.18546780580684147,0.45114263456236436,0.2931221394131474,0.0553919054,0.0,0.0117469715,325486541127.0,45274926679.0,0.0439560439,0.7279271196,0.3445019456,0.5227681109,-1.1878773258326427,4.937483508769178,3081118950000.0,112861500.0,35.7796014376,1.9401552191,4.36094896,34.472540808,634.0040401376909,14071.0391266641,22.6619512646,CII
CII,2013,3,5.317797603,3.8180013013,2.4494318287586974,0.2381093538496812,0.0886868197,0.1712216342,105.81059211575169,406.2474406393,271.4313955775,783.4894283325517,0.8984671987,0.22332224917671542,0.6505490678006408,0.13344944674019463,0.0430709793,6.6377169329,0.0092739109,402150701328.0,87408495953.0,0.0655737704,0.8770500672,0.4680708769,0.7135290868,-1.613478969915,5.048616472475776,2065365450000.0,112861500.0,30.5163649323,1.2908051346,3.1925337876,-31.8894010769,462.79921515308587,14177.1980202726,14.784182111,CII
CII,2013,2,5.3456076449,3.5422530093,2.4728374415554795,0.23038998230974672,0.0511945144,0.0971084467,218.28041795289076,551.8365156477,244.8027839484,1014.9197175489908,0.6614277773,0.23299936594200468,0.6236553326102938,-0.7738110106200461,0.1332652739,6.1266546362,0.0301123366,676975913662.0,22295853901.0,0.0,1.0272190151,0.6167267256,0.8591548204,-0.6641392535700843,4.827997336902194,1906345350000.0,112801500.0,9.3842167532,1.2313406615,5.5197455654,9.0566238243,-656.4314813987403,13724.8777104826,8.0782815766,CII
CII,2013,1,4.3572397716,2.9409164798,2.296965062464704,0.24823852404501515,0.0478294778,0.0908833167,320.3568886258029,606.8810034121,287.3887324181,1214.626624456003,0.6014358629,-0.10450922318188118,0.6092773105351504,0.424413378903263,0.2687994202,6.8879549165,0.0626013981,909221982880.0,-7943504924.0,0.0,0.8243138433,0.4611497499,0.6823195726,0.21127466750143986,4.193055984837496,2143228500000.0,112801500.0,5.5155290096,1.2848118349,7.2198608771,-100.5793994318,285.9774178357557,14788.1576767862,5.9620446351,CII
VCI,2013,4,1.1915850051,2.9185713301,0.02066142973218767,0.06278235086448652,0.180037963,30.1002574174,149.35335616354655,0.019853423,67.1724153735,216.54562496004655,18384.7389491779,0.0,0.30750232699031355,0.1123501599925222,0.1372573017,0.0,0.0325273267,95290769481.0,0.0,0.0,1.3164542998,1.3041855172,1.3164437985,0.0,3.930046325901431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5234755723,VCI
VCI,2013,3,2.1233817936,2.7948125798,0.02279939671634581,0.061431946729796495,0.1680341852,25.3106524151,145.6503290520183,0.0254856427,36.8163175973,182.4921322920183,14321.7890885947,0.0,0.41111363203155254,0.2539797424707616,0.1043167421,0.0,0.0244914053,71947129739.0,0.0,0.0,1.5177162052,1.5355274221,1.5176986979,0.0,3.7948125798730494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7605225406,VCI
VCI,2013,2,2.1958495342999997,3.4228088202,0.02681484959945675,0.05721351877296789,0.1492388528,26.1827623299,154.43609557824996,0.0264917398,39.0685201753,193.53110749334996,13777.8795195347,0.0,0.34680557781061255,0.13324524832118229,0.0559970737,0.0,0.0128509477,39535605435.0,0.0,0.0,1.3951081369,1.3686565497,1.3950882838,0.0,4.422808820248463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12208.1356197038,6.721866301,VCI
VCI,2013,1,2.4102639364,3.367159296,0.03321675026684467,0.05612588750841078,0.1813822215,37.0401958402,249.74133110053546,0.0135430745,178.0253208193,427.7801949943355,26951.044130199,0.0,0.20460909969035573,0.02709955020691033,0.0969022401,0.0,0.019886608,69795501963.0,0.0,0.0,1.4083084927,1.1947856562,1.4082958188,0.0,4.367159296082718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11976.0584766315,3.5754347596,VCI
DXG,2013,4,0.2202191342,0.9549340895,0.01919506608679692,0.056827483578007064,0.3286770504,27.0595272848,144.66381129505444,750.5039582836,76.2074992001,971.3752687787544,0.4863398733,0.30280826389185334,0.6264012661655585,0.2527977065096235,0.1392314663,0.0,0.0794025942,124368393867.0,37378250188.0,,1.7582568321,0.1372038124,0.9435622935,-178.11068536259467,2.0030784656833176,1185000000000.0,75000000.0,10.4052862779,1.8716446781,3.4589335798,-6.6458343986,416.0668448266667,8441.7732619733,9.5026370696,DXG
DXG,2013,3,0.0015716524,0.8016231443,0.02033046168704213,0.054253850320789054,0.3423552459,27.4779899169,131.57893528251165,587.8166040203,56.8960495456,776.2915888484117,0.6209419698,-0.1390038354352231,0.8212436653013423,0.9602554754198388,0.1322626961,11.6762722757,0.0761830667,103786483048.0,-4354191371.0,,1.6485969261,0.1289608652,1.0322748134,134.92553039222034,1.8442700223376096,817339059300.0,63359617.0,8.768558721,1.1510866204,2.403162851,0.0,474.73907369105467,11206.8021391449,7.3079916102,DXG
