ticker,first_available_hourly_timestamp,last_available_hourly_timestamp,hourly_rows,training_rows_2005_2024,evaluation_rows_2025_2026,missing_training_coverage,missing_evaluation_coverage,benchmark_usable,missing_reason,raw_hourly_sources,raw_hourly_files
ACB,2024-01-02 10:00:00,2026-05-11 14:00:00,1296,431,865,True,True,False,training_start_after_requested_start:2024-01-02 10:00:00>2005-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/ACB.csv;data/hourly_market_split_data/ACB.csv
BID,2024-01-02 10:00:00,2026-05-11 14:00:00,2648,1001,1647,True,True,False,training_start_after_requested_start:2024-01-02 10:00:00>2005-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/BID.csv;data/hourly_market_split_data/BID.csv
CTG,2025-11-18 09:00:00,2026-05-11 14:00:00,575,0,575,True,True,False,training_start_after_requested_start:2025-11-18 09:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2025-11-18 09:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/CTG.csv;data/hourly_market_split_data/CTG.csv
PLX,2025-08-27 09:00:00,2026-05-11 14:00:00,860,0,860,True,True,False,training_start_after_requested_start:2025-08-27 09:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2025-08-27 09:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/PLX.csv;data/hourly_market_split_data/PLX.csv
SAB,2025-12-15 09:00:00,2026-05-11 14:00:00,480,0,480,True,True,False,training_start_after_requested_start:2025-12-15 09:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2025-12-15 09:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/SAB.csv;data/hourly_market_split_data/SAB.csv
SHB,2026-02-11 14:00:00,2026-05-11 14:00:00,276,0,276,True,True,False,training_start_after_requested_start:2026-02-11 14:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2026-02-11 14:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/SHB.csv;data/hourly_market_split_data/SHB.csv
SSB,2025-08-27 09:00:00,2026-05-11 14:00:00,860,0,860,True,True,False,training_start_after_requested_start:2025-08-27 09:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2025-08-27 09:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/SSB.csv;data/hourly_market_split_data/SSB.csv
SSI,2025-11-10 09:00:00,2026-05-11 14:00:00,605,0,605,True,True,False,training_start_after_requested_start:2025-11-10 09:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2025-11-10 09:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/SSI.csv;data/hourly_market_split_data/SSI.csv
STB,2025-08-27 09:00:00,2026-05-11 14:00:00,860,0,860,True,True,False,training_start_after_requested_start:2025-08-27 09:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2025-08-27 09:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/STB.csv;data/hourly_market_split_data/STB.csv
TCB,2025-10-27 09:00:00,2026-05-11 14:00:00,655,0,655,True,True,False,training_start_after_requested_start:2025-10-27 09:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2025-10-27 09:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/TCB.csv;data/hourly_market_split_data/TCB.csv
TPB,2025-10-27 09:00:00,2026-05-11 14:00:00,655,0,655,True,True,False,training_start_after_requested_start:2025-10-27 09:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2025-10-27 09:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/TPB.csv;data/hourly_market_split_data/TPB.csv
VCB,2025-10-27 09:00:00,2026-05-11 14:00:00,655,0,655,True,True,False,training_start_after_requested_start:2025-10-27 09:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2025-10-27 09:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/VCB.csv;data/hourly_market_split_data/VCB.csv
VHM,2025-08-27 09:00:00,2026-05-11 14:00:00,860,0,860,True,True,False,training_start_after_requested_start:2025-08-27 09:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2025-08-27 09:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/VHM.csv;data/hourly_market_split_data/VHM.csv
VIB,2026-02-11 14:00:00,2026-05-11 14:00:00,251,0,251,True,True,False,training_start_after_requested_start:2026-02-11 14:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2026-02-11 14:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/VIB.csv;data/hourly_market_split_data/VIB.csv
VIC,2025-11-06 09:00:00,2026-05-11 14:00:00,615,0,615,True,True,False,training_start_after_requested_start:2025-11-06 09:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2025-11-06 09:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/VIC.csv;data/hourly_market_split_data/VIC.csv
VJC,2025-08-27 09:00:00,2026-05-11 14:00:00,860,0,860,True,True,False,training_start_after_requested_start:2025-08-27 09:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2025-08-27 09:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/VJC.csv;data/hourly_market_split_data/VJC.csv
VNM,2025-10-27 09:00:00,2026-05-11 14:00:00,655,0,655,True,True,False,training_start_after_requested_start:2025-10-27 09:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2025-10-27 09:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/VNM.csv;data/hourly_market_split_data/VNM.csv
VPB,2025-08-27 09:00:00,2026-05-11 14:00:00,860,0,860,True,True,False,training_start_after_requested_start:2025-08-27 09:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2025-08-27 09:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/VPB.csv;data/hourly_market_split_data/VPB.csv
VPL,2025-08-27 09:00:00,2026-05-11 14:00:00,854,0,854,True,True,False,training_start_after_requested_start:2025-08-27 09:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2025-08-27 09:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/VPL.csv;data/hourly_market_split_data/VPL.csv
VRE,2025-08-27 09:00:00,2026-05-11 14:00:00,860,0,860,True,True,False,training_start_after_requested_start:2025-08-27 09:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2025-08-27 09:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/VRE.csv;data/hourly_market_split_data/VRE.csv
