ticker,dir_acc_pct,best_cv_acc,n_features,has_hourly,train_rows,test_rows,overfit_flag
MEF,97.77777777777777,99.51690821256038,29,False,279,90,False
NAW,97.72727272727273,91.62479061976549,19,True,799,264,False
HPM,97.52475247524752,95.42483660130719,19,True,615,202,False
TVG,97.5103734439834,97.61904761904762,19,True,729,241,False
SDX,97.42489270386267,93.1818181818182,17,False,707,233,False
IBD,97.27272727272728,97.80439121756487,19,True,668,220,False
MTC,97.26775956284153,95.92326139088728,19,True,556,183,False
SCO,97.19626168224299,94.8559670781893,19,True,649,214,False
TAP,97.11934156378601,98.18840579710145,15,False,737,243,False
VKP,97.03703703703704,98.70550161812298,29,False,412,135,False
MPY,97.03389830508475,99.62756052141528,38,True,716,236,False
NAC,96.98113207547169,99.66666666666667,29,False,803,265,False
HSA,96.95817490494296,94.30485762144053,19,True,797,263,False
VIR,96.91629955947137,98.25581395348837,19,True,689,227,False
MQB,96.85534591194968,98.89807162534436,15,False,486,159,False
GTT,96.78456591639872,92.90780141843972,19,True,940,311,False
S96,96.7741935483871,92.02279202279202,19,True,937,310,False
HTR,96.72131147540983,98.73873873873875,15,False,741,244,False
DLR,96.58536585365853,95.94017094017094,19,True,624,205,False
MCC,96.49122807017544,98.19121447028424,15,False,519,171,False
NTB,96.46302250803859,92.48226950354609,19,True,940,311,False
AVF,96.46302250803859,91.91489361702128,19,True,941,311,False
LDW,96.41434262948208,98.24561403508771,19,True,762,251,False
PTH,96.39999999999999,91.88712522045856,19,True,758,250,False
DOC,96.34703196347031,86.94779116465864,19,True,666,219,False
HCI,96.29629629629629,96.96969696969697,19,True,575,189,False
GER,96.0431654676259,87.14285714285714,19,True,840,278,False
SNC,95.95588235294117,90.40650406504064,19,True,823,272,False
VE4,95.8955223880597,76.89768976897689,15,False,811,268,True
BLN,95.83333333333334,80.16666666666667,19,True,800,264,True
HDO,95.81993569131832,92.34042553191489,19,True,941,311,False
HNP,95.71428571428572,99.21011058451818,38,True,846,280,False
PNG,95.61752988047809,92.10526315789474,19,True,762,251,False
HLA,95.4983922829582,92.3076923076923,19,True,939,311,False
DPS,95.48387096774194,94.15954415954415,19,True,938,310,False
PMJ,95.39748953974896,93.73848987108656,19,True,726,239,False
HMG,95.29411764705881,94.05684754521964,19,True,519,170,False
DM7,95.27272727272728,91.62640901771337,20,True,831,275,False
BMD,95.16728624535315,98.0295566502463,19,True,815,269,False
TVM,95.11111111111111,91.96078431372548,19,True,683,225,False
QHD,95.0354609929078,92.01877934272301,19,True,853,282,False
TAW,95.02262443438913,96.40718562874251,19,True,669,221,False
BDB,94.97907949790795,89.62962962962962,19,True,723,239,False
BT6,94.94584837545126,89.95215311004786,21,True,838,277,False
RAT,94.8,89.06525573192239,19,True,759,250,False
SSU,94.77911646586345,99.64726631393297,15,False,756,249,False
DNT,94.73684210526315,92.8698752228164,19,True,750,247,False
CYC,94.6969696969697,93.63484087102178,20,True,799,264,False
LM3,94.62809917355372,91.2568306010929,19,True,734,242,False
BGW,94.61279461279462,99.40476190476191,38,True,898,297,False
HCB,94.5945945945946,90.88191330343797,19,True,895,296,False
IN4,94.55252918287937,96.23931623931624,19,True,780,257,False
DTE,94.5,76.31578947368422,19,True,608,200,True
TBH,94.33962264150944,96.14325068870522,19,True,486,159,False
SDB,94.28571428571428,92.97297297297297,20,True,743,245,False
PAI,94.04255319148936,95.88014981273409,19,True,714,235,False
HGW,94.01709401709401,88.32391713747647,19,True,709,234,False
KSH,93.89067524115757,80.56737588652481,19,True,942,311,False
VGL,93.84057971014492,90.22435897435898,19,True,835,276,False
BKH,93.77990430622009,90.29535864978902,15,False,633,209,False
GMA,93.75,96.73539518900344,19,True,777,256,False
NHP,93.66666666666667,88.98678414096915,19,True,908,300,False
V15,93.56913183279742,93.16239316239316,19,True,939,311,False
GLW,93.54838709677419,94.15481832543443,19,True,844,279,False
LCS,93.48534201954396,85.91954022988504,19,True,930,307,False
UPC,93.47826086956522,96.64268585131896,19,True,558,184,False
S27,93.3609958506224,93.40659340659342,19,True,729,241,False
PCN,93.35664335664336,89.50617283950618,19,True,866,286,False
LMI,93.28621908127208,88.78504672897196,19,True,856,283,False
L44,93.23843416370107,90.88050314465409,19,True,850,281,False
SD8,93.22033898305084,90.0749063670412,19,True,715,236,False
NTF,93.19148936170212,97.19101123595505,19,True,712,235,False
VPC,93.11475409836065,88.40579710144928,21,True,923,305,False
PSN,93.06569343065694,92.7536231884058,19,True,830,274,False
PLE,92.99610894941634,98.96907216494846,19,True,778,257,False
DP2,92.91338582677166,92.1875,19,True,771,254,False
ECI,92.88888888888889,93.13725490196077,19,True,683,225,False
DTV,92.88537549407114,94.24083769633508,19,True,766,253,False
VTX,92.85714285714286,83.72549019607844,20,True,680,224,False
CTN,92.7536231884058,90.59011164274322,19,True,837,276,False
TPH,92.73356401384083,91.9330289193303,20,True,876,289,False
DNN,92.55663430420712,99.85754985754986,38,True,936,309,False
CT3,92.54237288135593,93.7219730941704,19,True,893,295,False
UEM,92.5,94.50549450549451,19,True,728,240,False
DOP,92.43421052631578,84.4250363901019,19,True,919,304,False
KTC,92.41379310344827,86.14916286149162,19,True,878,290,False
BWA,92.33333333333333,88.05309734513274,19,True,907,300,False
TVH,92.24806201550388,94.89795918367348,19,True,394,129,False
CEG,92.11822660098522,97.18614718614718,19,True,616,203,False
C22,92.03187250996015,94.5326278659612,19,True,759,251,False
HEP,92.02657807308971,84.06432748538012,19,True,912,301,False
TSG,92.0,89.13362701908957,19,True,908,300,False
DPP,91.95402298850574,88.15566835871405,19,True,790,261,False
VDL,91.8918918918919,89.68609865470852,19,True,894,296,False
DAE,91.85667752442997,84.33908045977012,19,True,928,307,False
INC,91.84397163120568,82.00312989045383,20,True,855,282,False
CLG,91.80327868852459,87.82608695652173,20,True,923,305,False
B82,91.7910447761194,91.74917491749176,19,True,811,268,False
CCV,91.76954732510289,97.08561020036429,20,True,735,243,False
STS,91.66666666666666,96.42857142857143,15,False,115,36,False
TTB,91.63987138263666,57.44680851063829,15,False,942,311,True
PIS,91.6083916083916,88.88888888888889,19,True,866,286,False
EME,91.60000000000001,95.06172839506173,19,True,757,250,False
PHH,91.52542372881356,94.22718808193667,19,True,717,236,False
APT,91.49797570850203,96.96969696969697,19,True,749,247,False
SPH,91.45299145299145,94.00749063670412,19,True,358,117,False
BHC,91.43968871595331,92.95532646048109,19,True,779,257,False
PTE,91.36690647482014,91.74603174603175,19,True,841,278,False
CC4,91.28919860627178,84.72222222222221,20,True,867,287,False
KMT,91.18773946360153,81.38747884940778,20,True,790,261,False
VWS,91.17647058823529,80.74074074074073,19,True,721,238,False
HVG,91.1214953271028,86.41975308641975,15,False,651,214,False
THU,90.94827586206897,98.86363636363636,19,True,704,232,False
FDG,90.87837837837837,96.1136023916293,15,False,895,296,False
NQN,90.74733096085409,92.48826291079814,19,True,852,281,False
CTA,90.7103825136612,91.60671462829735,15,False,558,183,False
VAT,90.67524115755627,85.1063829787234,15,False,942,311,False
PPI,90.67524115755627,90.63829787234042,19,True,942,311,False
STL,90.63670411985018,91.08910891089108,19,True,810,267,False
BMV,90.63670411985018,93.23432343234323,19,True,808,267,False
S12,90.625,90.82568807339449,19,True,872,288,False
MED,90.52287581699346,84.84848484848484,20,True,924,306,False
HGT,90.47619047619048,100.0,38,True,387,126,False
KIP,90.41095890410958,85.21870286576168,19,True,884,292,False
VC5,90.37800687285224,93.48484848484847,19,True,882,291,False
BNW,90.36144578313254,98.93617021276596,38,True,754,249,False
TBD,90.3114186851211,84.40366972477064,19,True,874,289,False
VVN,90.2027027027027,94.94047619047619,19,True,897,296,False
VFC,90.19607843137256,79.65367965367966,19,True,927,306,False
KHD,90.19607843137256,79.94227994227994,20,True,927,306,False
SDC,90.0990099009901,93.01310043668121,19,True,917,303,False
SDP,90.03215434083602,74.8936170212766,20,True,942,311,True
TRT,89.96415770609319,96.68246445497631,20,True,845,279,False
VXT,89.84962406015038,96.01990049751244,19,True,807,266,False
DLD,89.82035928143712,95.76719576719577,19,True,507,167,False
FRC,89.72602739726028,77.07390648567119,19,True,884,292,False
V11,89.71061093247589,92.90780141843972,19,True,942,311,False
BHT,89.56521739130436,92.1455938697318,15,False,699,230,False
PMW,89.56228956228956,89.28571428571428,19,True,897,297,False
DAR,89.44954128440367,90.3030303030303,16,False,663,218,False
SPA,89.32038834951457,94.99284692417739,16,False,934,309,False
DCT,89.28571428571429,92.38505747126436,19,True,931,308,False
BMN,89.28571428571429,88.69814020028612,21,True,933,308,False
SDG,89.2156862745098,79.65367965367966,19,True,927,306,False
HBD,89.15254237288136,92.2272047832586,19,True,893,295,False
CMI,89.14473684210526,89.66521106259097,20,True,919,304,False
TMW,89.13043478260869,97.75641025641025,19,True,834,276,False
CHC,89.05109489051095,98.87278582930756,38,True,829,274,False
LCC,89.04109589041096,95.83333333333334,38,True,227,73,False
NHV,89.00709219858156,73.86541471048514,19,True,852,282,True
NSL,88.88888888888889,85.62962962962963,22,True,900,297,False
SBM,88.88888888888889,90.04739336492892,19,True,846,279,False
PVA,88.85245901639345,91.30434782608695,19,True,922,305,False
THS,88.85135135135135,86.16071428571429,19,True,897,296,False
CTC,88.8135593220339,72.67267267267266,19,True,891,295,True
ATA,88.7459807073955,90.0709219858156,19,True,940,311,False
ATB,88.7459807073955,85.53191489361703,19,True,940,311,False
SGO,88.7459807073955,96.87943262411348,15,False,942,311,False
CAD,88.7459807073955,90.35460992907801,20,True,942,311,False
LUT,88.7459807073955,73.04964539007092,22,True,942,311,True
SGS,88.70967741935483,74.92877492877493,19,True,938,310,False
HEV,88.66995073891626,76.62337662337663,19,True,618,203,False
LO5,88.62876254180601,91.29793510324484,19,True,906,299,False
CCP,88.62068965517241,82.648401826484,19,True,877,290,False
HPH,88.57142857142857,78.77358490566037,19,True,848,280,False
PID,88.50574712643679,92.67676767676768,19,True,531,174,False
ISG,88.46153846153845,94.9367088607595,19,True,633,208,False
KHL,88.40579710144928,91.70653907496012,20,True,837,276,False
XLV,88.33922261484098,89.56386292834891,19,True,856,283,False
THB,88.33922261484098,88.4735202492212,19,True,858,283,False
CMW,88.30188679245283,85.07462686567165,19,True,804,265,False
IDP,88.25503355704699,82.37037037037037,19,True,902,298,False
PSG,88.19672131147541,90.57971014492753,19,True,923,305,False
HLY,88.11475409836066,90.39855072463769,19,True,739,244,False
SPP,88.10289389067523,81.98581560283688,16,False,942,311,False
VMI,88.10289389067523,96.45390070921985,15,False,942,311,False
ACM,88.02588996763754,82.26037195994277,19,True,934,309,False
TVA,88.0,88.18342151675486,19,True,756,250,False
BT1,87.87878787878788,86.66666666666667,19,True,900,297,False
BAL,87.78877887788778,76.71033478893742,19,True,918,303,False
TMG,87.66666666666667,85.90308370044052,19,True,909,300,False
PVH,87.66233766233766,89.51149425287356,19,True,930,308,False
HPB,87.58865248226951,95.14866979655712,19,True,855,282,False
HMD,87.5,84.375,19,True,129,40,False
SJC,87.5,90.37800687285224,19,True,776,256,False
CKV,87.5,90.5829596412556,19,True,895,296,False
JOS,87.5,92.8698752228164,20,True,751,248,False
BII,87.45980707395499,64.39716312056737,19,True,942,311,True
HKB,87.45980707395499,94.04255319148936,21,True,940,311,False
SSN,87.45980707395499,71.20567375886525,19,True,942,311,True
CDO,87.45980707395499,72.9078014184397,19,True,942,311,False
DWS,87.45874587458746,82.30994152046783,19,True,915,303,False
HCT,87.41007194244604,90.7936507936508,20,True,842,278,False
BBS,87.32876712328768,85.60606060606061,19,True,882,292,False
UDL,87.2340425531915,99.07407407407408,38,True,432,141,False
IBC,87.13826366559485,68.36879432624113,19,True,942,311,True
DIC,87.13826366559485,90.63829787234042,19,True,942,311,False
HTT,87.13826366559485,91.48936170212765,19,True,942,311,False
MPT,87.13826366559485,85.81560283687942,19,True,942,311,False
GTS,87.12871287128714,81.80494905385736,20,True,918,303,False
PXA,87.09677419354838,92.16524216524216,19,True,939,310,False
TH1,87.09677419354838,92.6916221033868,19,True,751,248,False
PVR,87.09677419354838,89.60113960113961,19,True,937,310,False
CTT,87.03071672354949,87.68768768768767,19,True,888,293,False
NSG,87.01298701298701,94.3019943019943,19,True,471,154,False
HC1,86.93877551020408,99.81981981981983,38,True,743,245,False
PMP,86.88524590163934,76.23188405797102,19,True,921,305,False
TMX,86.8421052631579,84.92753623188406,20,True,920,304,False
PXM,86.81672025723472,91.06382978723403,19,True,942,311,False
G20,86.81672025723472,92.34042553191489,19,True,941,311,False
DDM,86.79867986798679,88.35516739446871,19,True,917,303,False
HC3,86.77966101694915,79.97010463378177,19,True,893,295,False
NOS,86.7741935483871,89.74358974358974,19,True,937,310,False
PHN,86.7741935483871,88.46153846153845,20,True,938,310,False
VTS,86.75213675213675,83.61581920903954,19,True,711,234,False
CLW,86.73139158576052,85.26466380543633,19,True,935,309,False
DXL,86.62207357859532,88.34808259587021,19,True,906,299,False
TOP,86.49517684887459,90.78014184397163,21,True,942,311,False
HDW,86.48648648648648,84.52380952380953,19,True,897,296,False
NVP,86.47058823529412,99.48320413436691,38,True,519,170,False
TR1,86.42857142857143,85.46603475513427,19,True,846,280,False
DNH,86.40776699029125,87.12446351931331,19,True,934,309,False
SGH,86.39455782312925,88.58858858858859,21,True,889,294,False
PNT,86.33093525179856,85.55555555555556,19,True,840,278,False
FUCTVGF3,86.32478632478633,96.25468164794007,19,True,358,117,False
BTT,86.31921824104235,80.74712643678161,19,True,928,307,False
FHS,86.2876254180602,75.51622418879056,20,True,906,299,False
HES,86.28158844765343,90.7936507936508,19,True,840,277,False
VTG,86.25,96.68508287292818,19,True,726,240,False
TW3,86.23188405797102,91.02564102564102,20,True,834,276,False
SKN,86.19528619528619,80.65476190476191,19,True,898,297,False
HLR,86.19402985074626,97.85478547854785,38,True,811,268,False
RCD,86.17363344051448,89.36170212765958,19,True,940,311,False
KTL,86.08058608058609,86.63446054750402,19,True,828,273,False
SDH,86.03896103896103,92.56080114449213,15,False,932,308,False
VXB,86.00682593856655,78.43137254901961,19,True,885,293,False
DNL,85.92592592592592,89.05228758169935,19,True,819,270,False
BSH,85.91065292096219,86.66666666666667,20,True,880,291,False
PMT,85.90163934426229,80.43478260869566,19,True,921,305,False
FTM,85.85209003215434,65.95744680851064,20,True,941,311,True
PVX,85.85209003215434,88.93617021276596,19,True,940,311,False
PCC,85.80645161290322,75.21367521367522,19,True,937,310,False
CCM,85.71428571428571,79.53216374269006,19,True,912,301,False
TAG,85.71428571428571,90.56603773584906,15,False,427,140,False
NAP,85.66433566433567,86.26543209876543,20,True,867,286,False
APL,85.5813953488372,91.97530864197532,19,True,651,215,False
HAM,85.57046979865773,86.66666666666667,19,True,900,298,False
BEL,85.51401869158879,96.70781893004116,19,True,651,214,False
VLW,85.46712802768167,91.28440366972477,19,True,873,289,False
DCS,85.43689320388349,91.16809116809117,19,True,936,309,False
PHS,85.42372881355932,80.78078078078079,19,True,891,295,False
PTO,85.40925266903915,94.18238993710692,19,True,851,281,False
PTM,85.38461538461539,76.19047619047619,19,True,786,260,False
TNP,85.3061224489796,90.81081081081082,20,True,743,245,False
DPH,85.27397260273972,85.82202111613877,19,True,884,292,False
MRF,85.2233676975945,82.03957382039574,19,True,879,291,False
VSG,85.2233676975945,90.60606060606061,19,True,880,291,False
TDT,85.20900321543408,80.00000000000001,19,True,942,311,False
TPP,85.19736842105263,81.88405797101449,19,True,920,304,False
VLF,85.13011152416357,89.05228758169935,19,True,816,269,False
HFX,85.02994011976048,99.21259842519686,19,True,508,167,False
SDN,85.01628664495115,82.61494252873564,19,True,928,307,False
NDP,85.0,86.09794628751976,20,True,847,280,False
USC,84.92647058823529,89.75609756097562,19,True,823,272,False
TKC,84.88745980707395,66.52482269503545,15,False,942,311,True
KST,84.83870967741936,83.90313390313389,20,True,936,310,False
STT,84.56591639871382,88.93617021276596,19,True,942,311,False
PVV,84.56591639871382,83.04843304843304,19,True,939,311,False
STP,84.56591639871382,78.15602836879432,19,True,942,311,False
BDW,84.56375838926175,86.22222222222223,19,True,902,298,False
VKD,84.5528455284553,79.74910394265234,15,False,746,246,False
PJS,84.5360824742268,83.63636363636363,19,True,881,291,False
S72,84.51882845188284,75.0,19,True,723,239,False
VMT,84.34782608695653,94.31818181818183,19,True,354,115,False
L63,84.26966292134831,83.91376451077943,19,True,807,267,False
BLW,84.25196850393701,98.4375,19,True,771,254,False
THP,84.2443729903537,78.58156028368795,20,True,942,311,False
DCG,84.21052631578947,98.2051282051282,19,True,520,171,False
S55,84.0909090909091,72.38912732474964,20,True,933,308,False
DSD,84.070796460177,93.79844961240309,19,True,347,113,False
ARM,84.03361344537815,92.77777777777777,19,True,723,238,False
SSM,83.94648829431438,76.99115044247789,21,True,906,299,False
TGG,83.92282958199357,64.11347517730496,19,True,942,311,True
VPA,83.9080459770115,72.08121827411168,20,True,791,261,False
VMK,83.9080459770115,97.51243781094526,38,True,268,87,False
PVE,83.87096774193549,88.88888888888889,19,True,937,310,False
DWC,83.78378378378379,91.46825396825396,20,True,675,222,False
LGM,83.72093023255815,80.36809815950919,19,True,653,215,False
VST,83.66013071895425,88.31168831168831,19,True,925,306,False
HSI,83.60128617363344,83.68794326241135,19,True,942,311,False
CQT,83.49514563106796,78.54077253218884,19,True,933,309,False
SDY,83.4862385321101,91.91919191919192,19,True,660,218,False
MIE,83.47107438016529,92.3913043478261,19,True,371,121,False
XDH,83.44827586206897,87.97564687975647,19,True,877,290,False
GGG,83.44155844155844,88.12589413447783,21,True,933,308,False
D17,83.33333333333334,95.0,38,True,80,24,False
NTH,83.33333333333334,81.96248196248197,20,True,927,306,False
A32,83.27974276527331,82.5531914893617,19,True,941,311,False
TNW,83.27868852459017,82.7536231884058,19,True,923,305,False
SD7,83.27868852459017,74.6376811594203,20,True,921,305,False
LTC,83.27759197324414,90.56047197640117,20,True,905,299,False
BSD,83.26693227091634,93.82716049382717,19,True,759,251,False
TTD,83.16831683168317,78.60262008733625,20,True,918,303,False
DNC,83.16151202749141,89.0909090909091,19,True,880,291,False
GPC,83.15217391304348,78.65707434052757,19,True,558,184,False
FRM,83.14176245210729,95.09306260575295,20,True,789,261,False
TST,83.05084745762711,80.4185351270553,19,True,892,295,False
TTS,83.03030303030303,87.46666666666665,19,True,502,165,False
PWS,83.02583025830258,86.9281045751634,19,True,819,271,False
TSJ,82.99319727891157,85.58558558558559,19,True,891,294,False
LGC,82.95081967213115,84.27128427128427,19,True,924,305,False
CFM,82.86713286713287,80.8641975308642,19,True,866,286,False
PTP,82.8125,92.95532646048109,19,True,776,256,False
NJC,82.78388278388277,82.84789644012946,19,True,825,273,False
MEC,82.77027027027027,90.73243647234679,19,True,894,296,False
BXH,82.71186440677965,91.18086696562033,19,True,893,295,False
SHC,82.62295081967214,78.55072463768117,19,True,923,305,False
SFN,82.6086956521739,78.76106194690266,19,True,905,299,False
VIH,82.58706467661692,91.8859649122807,20,True,611,201,False
VPR,82.53275109170306,91.52215799614643,19,True,694,229,False
DHP,82.52427184466019,88.12589413447783,19,True,933,309,False
HUG,82.49158249158249,80.95238095238096,19,True,897,297,False
HTC,82.4742268041237,83.33333333333334,20,True,882,291,False
MTV,82.41379310344827,80.36529680365297,19,True,876,290,False
VTE,82.37410071942446,86.5079365079365,20,True,843,278,False
SD6,82.31511254019293,72.05673758865248,19,True,942,311,False
FUCTVGF4,82.25806451612904,99.30555555555554,19,True,192,62,False
DHN,82.23938223938224,96.08843537414967,19,True,785,259,False
ICC,82.23684210526315,84.34782608695653,19,True,921,304,False
DTB,82.22996515679442,90.1689708141321,19,True,870,287,False
LM8,81.9935691318328,71.20567375886525,19,True,942,311,False
LQN,81.92771084337349,92.1875,19,True,256,83,False
BTV,81.81818181818183,84.59259259259258,20,True,900,297,False
SQC,81.81818181818183,79.19799498746868,19,True,534,176,False
SBR,81.81818181818183,78.90499194847021,19,True,831,275,False
DNE,81.69934640522875,76.1904761904762,19,True,926,306,False
HHG,81.67202572347267,73.75886524822694,19,True,942,311,False
TMS,81.67202572347267,65.39007092198581,19,True,942,311,True
TRS,81.66666666666667,90.45521292217327,19,True,909,300,False
DVC,81.60535117056857,84.51327433628319,19,True,904,299,False
HOT,81.55339805825243,79.54220314735338,19,True,934,309,False
DCF,81.5068493150685,87.93363499245854,19,True,885,292,False
SGI,81.36882129277566,76.21440536013401,19,True,798,263,False
BTS,81.35048231511254,72.19858156028369,19,True,942,311,False
TBR,81.31313131313132,89.11111111111111,19,True,602,198,False
PJC,81.29251700680273,87.23723723723724,19,True,891,294,False
TUG,81.29032258064515,86.46723646723645,19,True,938,310,False
TPS,81.27090301003345,97.78761061946902,19,True,905,299,False
TRV,81.25,73.33333333333334,19,True,103,32,False
DTT,81.13879003558719,85.062893081761,19,True,850,281,False
CPI,81.08108108108108,87.64880952380952,20,True,896,296,False
DNA,80.93525179856115,87.3015873015873,19,True,842,278,False
QTC,80.90614886731392,80.68669527896995,19,True,934,309,False
E29,80.90614886731392,71.67381974248927,20,True,933,309,False
V12,80.70739549839229,79.43262411347517,20,True,942,311,False
EBS,80.70739549839229,76.59574468085107,19,True,941,311,False
VFR,80.70739549839229,72.76595744680851,19,True,940,311,False
AGF,80.64516129032258,88.6039886039886,19,True,937,310,False
SEB,80.64516129032258,79.48717948717949,19,True,939,310,False
PEN,80.5921052631579,79.62154294032024,19,True,918,304,False
MTH,80.5668016194332,91.57706093189965,19,True,747,247,False
TA6,80.52434456928839,92.86898839137643,19,True,807,267,False
TMC,80.3921568627451,84.12698412698413,19,True,925,306,False
PVL,80.38585209003215,63.40425531914894,19,True,942,311,True
TL4,80.38585209003215,71.63120567375887,19,True,942,311,False
STC,80.38585209003215,83.33333333333334,19,True,939,311,False
SPB,80.35714285714286,88.0503144654088,20,True,849,280,False
QST,80.07662835249042,95.26226734348562,19,True,789,261,False
GVT,80.06756756756756,80.35714285714285,20,True,896,296,False
MCF,80.06430868167203,75.0354609929078,19,True,942,311,False
CAR,80.0,62.02185792349727,22,True,489,160,True
TNS,79.93527508090615,71.36752136752136,19,True,936,309,False
HPI,79.86111111111111,86.9431643625192,19,True,870,288,False
VIN,79.80132450331125,81.57894736842107,20,True,915,302,False
HD8,79.7427652733119,67.5177304964539,19,True,942,311,False
MGG,79.7427652733119,70.21276595744682,21,True,940,311,False
ATG,79.7427652733119,90.78014184397163,19,True,942,311,False
NDX,79.7427652733119,71.91489361702126,19,True,942,311,False
VKC,79.7427652733119,71.06382978723404,19,True,942,311,False
PXI,79.7427652733119,66.80851063829788,20,True,942,311,False
LM7,79.72972972972973,70.83333333333334,19,True,896,296,False
XHC,79.66666666666666,89.67551622418878,20,True,907,300,False
KGM,79.53795379537954,77.33918128654972,19,True,915,303,False
DDG,79.42122186495176,64.822695035461,19,True,942,311,False
ADC,79.42122186495176,80.85106382978722,20,True,942,311,False
TTE,79.3918918918919,79.31547619047619,20,True,897,296,False
HLG,79.35483870967742,92.16524216524216,16,False,939,310,False
PEQ,79.3220338983051,86.24813153961136,20,True,892,295,False
TGP,79.26421404682274,80.23598820058999,19,True,906,299,False
BPC,79.15309446254072,81.75287356321839,20,True,929,307,False
COM,79.09967845659163,73.33333333333334,19,True,942,311,False
SJF,79.09967845659163,59.00709219858157,21,True,942,311,True
DAD,79.09967845659163,77.58865248226951,19,True,942,311,False
SCJ,79.09967845659163,72.76595744680851,20,True,942,311,False
TNB,78.77697841726618,80.95238095238096,19,True,841,278,False
IHK,78.76106194690266,88.69395711500974,21,True,684,226,False
PPE,78.7375415282392,83.25991189427313,19,True,910,301,False
THW,78.69415807560138,85.0,19,True,881,291,False
VTQ,78.61271676300578,99.23664122137404,38,True,527,173,False
PSC,78.59531772575251,80.88888888888889,19,True,903,299,False
ACS,78.52112676056338,84.34108527131782,20,True,861,284,False
VC9,78.45659163987139,70.0709219858156,20,True,942,311,False
HOM,78.45659163987139,76.02836879432623,20,True,942,311,False
MTG,78.45659163987139,66.24113475177306,19,True,942,311,False
NBT,78.45659163987139,77.2079772079772,20,True,939,311,False
VIM,78.40531561461795,85.3157121879589,19,True,911,301,False
VDT,78.38983050847457,96.46182495344506,20,True,717,236,False
VMA,78.26086956521739,100.0,29,False,76,23,False
CMF,78.26086956521739,82.72251308900525,19,True,767,253,False
HFC,78.24561403508771,85.42635658914728,20,True,861,285,False
