ticker,asset_type,listing_date_used,requested_start,provider,chunks_attempted,chunks_succeeded,chunks_failed,total_rows,first_datetime,last_datetime,training_rows_before_cutoff,evaluation_rows_after_2025_01_01,usable,normalized_cache_path,missing_reason
MBB,stock,,2005-01-01 00:00:00,,0,0,0,0,,,0,0,false,data/market_cache/vnstock_data/vn30/hourly_listing_aware/MBB.csv,no_provider_hourly_rows_observed; training_rows_below_1000; evaluation_rows_below_100
MSN,stock,,2005-01-01 00:00:00,,0,0,0,0,,,0,0,false,data/market_cache/vnstock_data/vn30/hourly_listing_aware/MSN.csv,no_provider_hourly_rows_observed; training_rows_below_1000; evaluation_rows_below_100
MWG,stock,,2005-01-01 00:00:00,,0,0,0,0,,,0,0,false,data/market_cache/vnstock_data/vn30/hourly_listing_aware/MWG.csv,no_provider_hourly_rows_observed; training_rows_below_1000; evaluation_rows_below_100
PLX,stock,,2005-01-01 00:00:00,,0,0,0,0,,,0,0,false,data/market_cache/vnstock_data/vn30/hourly_listing_aware/PLX.csv,no_provider_hourly_rows_observed; training_rows_below_1000; evaluation_rows_below_100
SAB,stock,,2005-01-01 00:00:00,,0,0,0,0,,,0,0,false,data/market_cache/vnstock_data/vn30/hourly_listing_aware/SAB.csv,no_provider_hourly_rows_observed; training_rows_below_1000; evaluation_rows_below_100
SHB,stock,,2005-01-01 00:00:00,,0,0,0,0,,,0,0,false,data/market_cache/vnstock_data/vn30/hourly_listing_aware/SHB.csv,no_provider_hourly_rows_observed; training_rows_below_1000; evaluation_rows_below_100
SSB,stock,,2005-01-01 00:00:00,,0,0,0,0,,,0,0,false,data/market_cache/vnstock_data/vn30/hourly_listing_aware/SSB.csv,no_provider_hourly_rows_observed; training_rows_below_1000; evaluation_rows_below_100
SSI,stock,,2005-01-01 00:00:00,,0,0,0,0,,,0,0,false,data/market_cache/vnstock_data/vn30/hourly_listing_aware/SSI.csv,no_provider_hourly_rows_observed; training_rows_below_1000; evaluation_rows_below_100
STB,stock,,2005-01-01 00:00:00,,0,0,0,0,,,0,0,false,data/market_cache/vnstock_data/vn30/hourly_listing_aware/STB.csv,no_provider_hourly_rows_observed; training_rows_below_1000; evaluation_rows_below_100
TCB,stock,,2005-01-01 00:00:00,,0,0,0,0,,,0,0,false,data/market_cache/vnstock_data/vn30/hourly_listing_aware/TCB.csv,no_provider_hourly_rows_observed; training_rows_below_1000; evaluation_rows_below_100
TPB,stock,,2005-01-01 00:00:00,,0,0,0,0,,,0,0,false,data/market_cache/vnstock_data/vn30/hourly_listing_aware/TPB.csv,no_provider_hourly_rows_observed; training_rows_below_1000; evaluation_rows_below_100
VCB,stock,,2005-01-01 00:00:00,,0,0,0,0,,,0,0,false,data/market_cache/vnstock_data/vn30/hourly_listing_aware/VCB.csv,no_provider_hourly_rows_observed; training_rows_below_1000; evaluation_rows_below_100
VHM,stock,,2005-01-01 00:00:00,,0,0,0,0,,,0,0,false,data/market_cache/vnstock_data/vn30/hourly_listing_aware/VHM.csv,no_provider_hourly_rows_observed; training_rows_below_1000; evaluation_rows_below_100
VIB,stock,,2005-01-01 00:00:00,,0,0,0,0,,,0,0,false,data/market_cache/vnstock_data/vn30/hourly_listing_aware/VIB.csv,no_provider_hourly_rows_observed; training_rows_below_1000; evaluation_rows_below_100
VIC,stock,,2005-01-01 00:00:00,,0,0,0,0,,,0,0,false,data/market_cache/vnstock_data/vn30/hourly_listing_aware/VIC.csv,no_provider_hourly_rows_observed; training_rows_below_1000; evaluation_rows_below_100
VJC,stock,,2005-01-01 00:00:00,,0,0,0,0,,,0,0,false,data/market_cache/vnstock_data/vn30/hourly_listing_aware/VJC.csv,no_provider_hourly_rows_observed; training_rows_below_1000; evaluation_rows_below_100
VNM,stock,,2005-01-01 00:00:00,,0,0,0,0,,,0,0,false,data/market_cache/vnstock_data/vn30/hourly_listing_aware/VNM.csv,no_provider_hourly_rows_observed; training_rows_below_1000; evaluation_rows_below_100
VPB,stock,,2005-01-01 00:00:00,,0,0,0,0,,,0,0,false,data/market_cache/vnstock_data/vn30/hourly_listing_aware/VPB.csv,no_provider_hourly_rows_observed; training_rows_below_1000; evaluation_rows_below_100
VPL,stock,,2005-01-01 00:00:00,,0,0,0,0,,,0,0,false,data/market_cache/vnstock_data/vn30/hourly_listing_aware/VPL.csv,no_provider_hourly_rows_observed; training_rows_below_1000; evaluation_rows_below_100
VRE,stock,,2005-01-01 00:00:00,,0,0,0,0,,,0,0,false,data/market_cache/vnstock_data/vn30/hourly_listing_aware/VRE.csv,no_provider_hourly_rows_observed; training_rows_below_1000; evaluation_rows_below_100
VNINDEX,index,,2005-01-01 00:00:00,,0,0,0,0,,,0,0,false,data/market_cache/vnstock_data/vn30/hourly_listing_aware/VNINDEX.csv,no_provider_hourly_rows_observed
VN30INDEX,index,,2012-02-06 00:00:00,,0,0,0,0,,,0,0,false,data/market_cache/vnstock_data/vn30/hourly_listing_aware/VN30INDEX.csv,no_provider_hourly_rows_observed
VNXALL,index,,2016-10-24 00:00:00,,0,0,0,0,,,0,0,false,data/market_cache/vnstock_data/vn30/hourly_listing_aware/VNXALL.csv,no_provider_hourly_rows_observed
