model_name,feature_group,feature_name,context_count,mean_importance_value,mean_normalized_importance,mean_rank,top_5_count,top_10_count,sample_size,notes
lightgbm,lag_returns,close_return_lag_2,18,0.0,0.0,20.055555555555557,0,0,6642,"High feature importance indicates strong model reliance, not causal market influence."
lightgbm,lag_returns,close_return_lag_5,18,0.0,0.0,22.0,0,0,6642,"High feature importance indicates strong model reliance, not causal market influence."
lightgbm,lag_returns,pct_change_lag_1,18,0.0,0.0,23.0,0,0,6642,"High feature importance indicates strong model reliance, not causal market influence."
lightgbm,lag_returns,return_1,18,0.0,0.0,15.944444444444445,0,2,6642,"High feature importance indicates strong model reliance, not causal market influence."
lightgbm,lag_returns,volume_return_lag_1,18,0.0,0.0,27.77777777777778,0,0,6642,"High feature importance indicates strong model reliance, not causal market influence."
lightgbm,spread_range,high_low_range,18,0.0,0.0,16.944444444444443,0,1,6642,"High feature importance indicates strong model reliance, not causal market influence."
lightgbm,spread_range,high_low_spread,18,0.0,0.0,31.444444444444443,0,0,6642,"High feature importance indicates strong model reliance, not causal market influence."
lightgbm,spread_range,open_close_spread,18,0.0,0.0,30.444444444444443,0,0,6642,"High feature importance indicates strong model reliance, not causal market influence."
lightgbm,spread_range,true_range,18,0.0,0.0,32.44444444444444,0,0,6642,"High feature importance indicates strong model reliance, not causal market influence."
lightgbm,volume,volume_shock_5,18,0.0,0.0,26.77777777777778,0,0,6642,"High feature importance indicates strong model reliance, not causal market influence."
xgboost,default_ohlcv,high,18,0.24446632299158302,0.24446632123408518,2.111111111111111,18,18,6642,"High feature importance indicates strong model reliance, not causal market influence."
xgboost,default_ohlcv,open,18,0.22420763565848267,0.22420763612441133,3.0555555555555554,15,18,6642,"High feature importance indicates strong model reliance, not causal market influence."
xgboost,default_ohlcv,close,18,0.17682573967613274,0.17682573806623653,3.2777777777777777,12,18,6642,"High feature importance indicates strong model reliance, not causal market influence."
xgboost,default_ohlcv,low,18,0.11164573497242393,0.11164573420047635,4.833333333333333,10,18,6642,"High feature importance indicates strong model reliance, not causal market influence."
xgboost,rolling_mean,sma_20,18,0.06909890436670843,0.06909890393800464,5.055555555555555,15,18,6642,"High feature importance indicates strong model reliance, not causal market influence."
xgboost,rolling_mean,ma_3,18,0.05173681673800775,0.05173681593229643,5.888888888888889,6,18,6642,"High feature importance indicates strong model reliance, not causal market influence."
xgboost,rolling_mean,ma_5,18,0.0513607143463256,0.05136071372989164,8.5,4,15,6642,"High feature importance indicates strong model reliance, not causal market influence."
xgboost,rolling_mean,rolling_mean_10,18,0.03987439646799526,0.03987439642086951,6.555555555555555,8,16,6642,"High feature importance indicates strong model reliance, not causal market influence."
xgboost,rolling_mean,rolling_mean_5,18,0.01181060458636942,0.011810604725215777,13.833333333333334,2,11,6642,"High feature importance indicates strong model reliance, not causal market influence."
xgboost,momentum_indicators,rsi_14,18,0.003101457266085222,0.0031014572319587336,13.0,0,8,6642,"High feature importance indicates strong model reliance, not causal market influence."
xgboost,momentum_indicators,macd_12_26,18,0.0030364139238372,0.0030364138722896944,17.22222222222222,0,4,6642,"High feature importance indicates strong model reliance, not causal market influence."
xgboost,momentum_indicators,macd_signal_9,18,0.0017137501078346945,0.0017137501108963,19.166666666666668,0,4,6642,"High feature importance indicates strong model reliance, not causal market influence."
xgboost,rolling_volatility,realized_vol_10,18,0.0017105702039164556,0.0017105701507024221,18.166666666666668,0,1,6642,"High feature importance indicates strong model reliance, not causal market influence."
xgboost,volume,volume_mean_10,18,0.0014669992637613277,0.00146699926053755,15.722222222222221,0,2,6642,"High feature importance indicates strong model reliance, not causal market influence."
xgboost,rolling_volatility,rolling_std_10,18,0.0014627484876351667,0.0014627484648036667,16.5,0,2,6642,"High feature importance indicates strong model reliance, not causal market influence."
xgboost,rolling_volatility,rolling_std_5,18,0.0012449166776301612,0.001244916653036928,16.555555555555557,0,1,6642,"High feature importance indicates strong model reliance, not causal market influence."
xgboost,volume,volume_mean_5,18,0.0012203901650435444,0.0012203901671852388,16.88888888888889,0,0,6642,"High feature importance indicates strong model reliance, not causal market influence."
xgboost,spread_range,atr_proxy_5,18,0.0007650883764856166,0.0007650883646592111,25.77777777777778,0,2,6642,"High feature importance indicates strong model reliance, not causal market influence."
xgboost,lag_returns,return_1,18,0.0006305780585130667,0.0006305780480392834,16.22222222222222,0,2,6642,"High feature importance indicates strong model reliance, not causal market influence."
xgboost,lag_returns,close_return_lag_2,18,0.0005203157618072522,0.0005203157530073413,19.27777777777778,0,0,6642,"High feature importance indicates strong model reliance, not causal market influence."
xgboost,momentum_indicators,momentum_5,18,0.0005061756318253777,0.0005061756347794666,23.72222222222222,0,1,6642,"High feature importance indicates strong model reliance, not causal market influence."
xgboost,spread_range,close_open_return,18,0.00048509726851381023,0.00048509726481255956,18.166666666666668,0,0,6642,"High feature importance indicates strong model reliance, not causal market influence."
xgboost,lag_returns,volume_return_lag_1,18,0.00029475296226639863,0.0002947529563078113,25.72222222222222,0,1,6642,"High feature importance indicates strong model reliance, not causal market influence."
xgboost,volume,volume,18,0.0002756051035248555,0.0002756051131665389,17.27777777777778,0,2,6642,"High feature importance indicates strong model reliance, not causal market influence."
xgboost,lag_returns,close_return_lag_1,18,0.00017656694965099444,0.00017656694772677777,20.055555555555557,0,0,6642,"High feature importance indicates strong model reliance, not causal market influence."
xgboost,spread_range,high_low_range,18,0.00017396604137805,0.0001739660400179889,19.444444444444443,0,0,6642,"High feature importance indicates strong model reliance, not causal market influence."
xgboost,volume,volume_shock_5,18,0.00013095379755314444,0.00013095379284971666,26.055555555555557,0,0,6642,"High feature importance indicates strong model reliance, not causal market influence."
xgboost,lag_returns,pct_change_lag_1,18,3.718135930183333e-05,3.718135813152222e-05,24.0,0,0,6642,"High feature importance indicates strong model reliance, not causal market influence."
xgboost,spread_range,true_range,18,1.5398152754638888e-05,1.5398154027766667e-05,31.5,0,0,6642,"High feature importance indicates strong model reliance, not causal market influence."
xgboost,lag_returns,close_return_lag_3,18,4.210289464228683e-06,4.210289575317791e-06,22.0,0,0,6642,"High feature importance indicates strong model reliance, not causal market influence."
xgboost,lag_returns,close_return_lag_5,18,0.0,0.0,23.555555555555557,0,0,6642,"High feature importance indicates strong model reliance, not causal market influence."
xgboost,spread_range,high_low_spread,18,0.0,0.0,31.444444444444443,0,0,6642,"High feature importance indicates strong model reliance, not causal market influence."
xgboost,spread_range,open_close_spread,18,0.0,0.0,30.444444444444443,0,0,6642,"High feature importance indicates strong model reliance, not causal market influence."
