feature_name,category,input_source,exact_provenance,formula_logic,expected_availability,leakage_risk_note,usable_for_forecast,usable_for_regime,usable_for_risk,status
breadth_thrust_5,market_context,market/sector/breadth context,derived from vnstock_data,deterministic rolling/lagged transformation,requires market/sector/breadth context joins,Safe only if context inputs are aligned on date and never forward-filled from the future.,True,True,True,active
close_kalman,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
close_lag_1,price_volume_core,ohlcv,derived from vnstock_data,lagged value,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
close_lag_2,price_volume_core,ohlcv,derived from vnstock_data,lagged value,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
close_lag_3,price_volume_core,ohlcv,derived from vnstock_data,lagged value,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
close_lag_5,price_volume_core,ohlcv,derived from vnstock_data,lagged value,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
close_mean_10,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
close_mean_20,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,deprecated
close_mean_5,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
close_return_10d,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
close_return_1d,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,deprecated
close_return_20d,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
close_return_2d,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
close_return_3d,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
close_return_5d,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
close_std_10,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
close_std_20,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
close_std_5,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
close_to_close_return_1d,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
close_to_sma_200,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available with extended OHLCV history after warmup,Computed from current and past rows only.,True,False,True,active
covar_q,risk_layer,risk engine,local computation,rolling conditional system distress estimate given asset distress,requires advanced risk engine during training/inference,Computed from trailing asset and market returns only.,False,False,True,active
cvar_q,risk_layer,risk engine,local computation,rolling conditional value-at-risk tail mean of asset returns,requires advanced risk engine during training/inference,Computed from trailing returns only.,False,False,True,active
d_advance_decline_ratio,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_advance_decline_ratio_5,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_advancers,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_adx_14,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_amihud_20,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_atr_14,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_atr_proxy_10,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_atr_proxy_5,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_bb_bandwidth_20,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_bb_bandwidth_5,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_bb_bandwidth_60,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available with extended OHLCV history after warmup,Computed from current and past rows only.,True,False,True,experimental
d_bb_lower,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_bb_percent_b,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_bb_upper,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_bb_width,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_breadth_thrust_5,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_close_kalman,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_close_lag_1,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_close_lag_2,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_close_lag_3,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_close_lag_5,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_close_mean_10,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_close_mean_20,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_close_mean_5,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_close_return_10d,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_close_return_1d,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_close_return_20d,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_close_return_2d,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_close_return_3d,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_close_return_5d,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_close_std_10,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_close_std_20,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_close_std_5,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_close_to_close_return_1d,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_close_to_sma_200,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_decliners,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_dist_ma_20,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_dist_ma_5,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_dist_ma_60,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available with extended OHLCV history after warmup,Computed from current and past rows only.,True,False,True,experimental
d_ema_12,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_ema_20,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_ema_50,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_foreign_net_value,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_foreign_net_value_ratio,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_foreign_net_volume,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_foreign_net_volume_ratio,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_foreign_participation_20,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_fx_usdvnd,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_fx_usdvnd_ret_1d,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_fx_usdvnd_zscore_20,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_gold_price,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_gold_price_ret_1d,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_gold_price_zscore_20,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_high_low_range,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_high_low_range_pct,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_hv_20,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_interest_rate,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_interest_rate_ret_1d,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_interest_rate_zscore_20,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_log_return,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_log_return_lag_1,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_log_return_lag_2,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_log_return_lag_3,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_log_return_lag_5,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_m_ret,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_m_ret_20d,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_m_ret_5d,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_macd_hist,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_macd_line,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_macd_signal,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_market_breadth,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_market_regime_code,regime_state,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Rule-based label uses trailing moving averages and trailing volatility only.,True,True,True,experimental
d_market_return_20d,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_market_return_60d,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_momentum_10,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_momentum_20,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_momentum_5,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_net_advancers,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_news_volume,sentiment_news,sentiment/news context,local computation,deterministic rolling/lagged transformation,requires sentiment artifact; otherwise absent by design,Computed from current and past rows only.,True,False,False,experimental
d_oil_price,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_oil_price_ret_1d,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_oil_price_zscore_20,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_open_close_spread,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_open_close_spread_pct,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_open_to_close_return_1d,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_overnight_return_1d,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_park_vol_20,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_pct_return,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_pct_return_lag_1,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_pct_return_lag_2,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_pct_return_lag_3,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_pct_return_lag_5,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_pivot,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_prev_close,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_price_gap,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_range_20,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_range_5,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_rel_to_market,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_rel_to_sector,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_relative_strength_market_20,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_relative_strength_market_60,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available with extended OHLCV history after warmup,Computed from current and past rows only.,True,False,True,experimental
d_relative_strength_sector_20,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_resistance_1,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_return_10d,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_return_20d,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_return_3d,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_return_5d,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_return_roll_20,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_return_roll_5,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_return_roll_60,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available with extended OHLCV history after warmup,Computed from current and past rows only.,True,False,True,experimental
d_roc_20,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_roc_5,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_roc_60,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available with extended OHLCV history after warmup,Computed from current and past rows only.,True,False,True,experimental
d_rolling_beta_market_20,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_rolling_beta_market_60,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available with extended OHLCV history after warmup,Computed from current and past rows only.,True,False,True,experimental
d_rolling_beta_sector_20,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_rolling_corr_market_20,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_rolling_corr_market_60,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available with extended OHLCV history after warmup,Computed from current and past rows only.,True,False,True,experimental
d_rolling_corr_sector_20,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_rolling_max_20,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_rolling_max_5,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_rolling_max_60,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available with extended OHLCV history after warmup,Computed from current and past rows only.,True,False,True,experimental
d_rolling_min_20,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_rolling_min_5,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_rolling_min_60,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available with extended OHLCV history after warmup,Computed from current and past rows only.,True,False,True,experimental
d_rolling_volatility_10,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_rolling_volatility_20,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_rolling_volatility_5,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,experimental
d_rolling_volatility_60,price_volume_core,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available with extended OHLCV history after warmup,Computed from current and past rows only.,True,False,True,experimental
