date,target_date,ticker,model_name,prediction_date,horizon,horizon_days,current_close,target_close,actual_return,predicted_return,naive_predicted_return,absolute_error,absolute_error_naive,pct_error,pct_error_naive,predicted_direction,predicted_direction_naive,actual_direction,momentum_predicted_return,absolute_error_momentum,pct_error_momentum,predicted_direction_momentum
2026-01-20,2026-01-20,ACB,cart,2025-12-19,20d,20,23.9,25.05,0.048117154811715634,-0.00384713177571147,0.0,0.051964286587427105,0.048117154811715634,107.99534342952208,100.0,-1,0,1,-0.03238866396761142,0.08050581877932705,167.31209294138353,-1
2026-01-21,2026-01-21,ACB,cart,2025-12-22,20d,20,24.3,24.85,0.02263374485596703,-0.00384713177571147,0.0,0.0264808766316785,0.02263374485596703,116.99732766359799,100.0,-1,0,1,-0.012195121951219523,0.034828866807186554,153.8802660753882,-1
2026-01-22,2026-01-22,ACB,cart,2025-12-23,20d,20,24.2,24.85,0.026859504132231482,0.01865154587886745,0.0,0.008207958253364032,0.026859504132231482,30.55885995867831,100.0,1,0,1,0.0,0.026859504132231482,100.0,0
2026-01-23,2026-01-23,ACB,cart,2025-12-24,20d,20,24.3,25.05,0.030864197530864113,0.01865154587886745,0.0,0.012212651651996663,0.030864197530864113,39.5689913524693,100.0,1,0,1,0.004132231404958775,0.026731966125905338,86.61157024793353,1
2026-01-26,2026-01-26,ACB,cart,2025-12-25,20d,20,24.0,24.8,0.03333333333333344,0.01865154587886745,0.0,0.014681787454465987,0.03333333333333344,44.04536236339783,100.0,1,0,1,-0.014373716632443578,0.047707049965777015,143.1211498973306,-1
2026-01-27,2026-01-27,ACB,cart,2025-12-26,20d,20,23.9,24.7,0.03347280334728042,0.01865154587886745,0.0,0.014821257468412972,0.03347280334728042,44.27850668688364,100.0,1,0,1,-0.01443298969072171,0.04790579303800213,143.118556701031,-1
2026-01-28,2026-01-28,ACB,cart,2025-12-29,20d,20,24.0,23.9,-0.004166666666666763,0.01865154587886745,0.0,0.022818212545534212,0.004166666666666763,547.6371010928085,100.0,1,0,-1,0.0,0.004166666666666763,100.0,0
2026-01-29,2026-01-29,ACB,cart,2025-12-30,20d,20,24.1,23.8,-0.012448132780083054,0.01865154587886745,0.0,0.031099678658950504,0.012448132780083054,249.83408522690104,100.0,1,0,-1,0.006263048016701633,0.018711180796784688,150.31315240083617,1
2026-01-30,2026-01-30,ACB,cart,2025-12-31,20d,20,24.0,24.1,0.004166666666666652,0.01865154587886745,0.0,0.014484879212200798,0.004166666666666652,347.6371010928204,100.0,1,0,1,-0.018404907975460127,0.02257157464212678,541.7177914110447,-1
2026-02-02,2026-02-02,ACB,cart,2026-01-05,20d,20,24.0,23.75,-0.01041666666666663,0.01865154587886745,0.0,0.02906821254553408,0.01041666666666663,279.0548404371282,100.0,1,0,-1,-0.036144578313252906,0.025727911646586277,246.98795180722914,-1
2026-02-03,2026-02-03,ACB,cart,2026-01-06,20d,20,24.0,23.7,-0.012500000000000067,0.01865154587886745,0.0,0.031151545878867516,0.012500000000000067,249.2123670309388,100.0,1,0,-1,-0.014373716632443578,0.0018737166324435117,14.989733059548014,-1
2026-02-04,2026-02-04,ACB,cart,2026-01-07,20d,20,24.65,23.6,-0.04259634888438124,-0.00384713177571147,0.0,0.03874921710866977,0.04259634888438124,90.96840016463923,100.0,-1,0,-1,0.018595041322313932,0.06119139020669517,143.65407319952757,1
2026-02-05,2026-02-05,ACB,cart,2026-01-08,20d,20,24.55,23.45,-0.044806517311609007,-0.00384713177571147,0.0,0.040959385535897536,0.044806517311609007,91.41390135511668,100.0,-1,0,-1,0.018672199170124415,0.06347871648173342,141.672953602414,1
2026-02-06,2026-02-06,ACB,cart,2026-01-09,20d,20,24.55,23.0,-0.06313645621181263,-0.00384713177571147,0.0,0.05928932443610116,0.06313645621181263,93.90663967137313,100.0,-1,0,-1,0.018672199170124415,0.08180865538193705,129.57435416945512,1
2026-02-09,2026-02-09,ACB,cart,2026-01-12,20d,20,25.5,22.95,-0.09999999999999998,-0.00384713177571147,0.0,0.0961528682242885,0.09999999999999998,96.15286822428853,100.0,-1,0,-1,0.06471816283924836,0.16471816283924834,164.71816283924838,1
2026-02-10,2026-02-10,ACB,cart,2026-01-13,20d,20,24.9,23.0,-0.07630522088353409,-0.00384713177571147,0.0,0.07245808910782262,0.07630522088353409,94.95823256762023,100.0,-1,0,-1,0.05957446808510625,0.13587968896864033,178.07390817469192,1
2026-02-11,2026-02-11,ACB,cart,2026-01-14,20d,20,24.65,23.65,-0.04056795131845847,-0.00384713177571147,0.0,0.036720819542747,0.04056795131845847,90.51682017287123,100.0,-1,0,-1,0.04670912951167727,0.08727708083013574,215.1380042462843,1
2026-02-12,2026-02-12,ACB,cart,2026-01-15,20d,20,24.9,23.85,-0.04216867469879504,-0.00384713177571147,0.0,0.03832154292308357,0.04216867469879504,90.87680178902706,100.0,-1,0,-1,0.03749999999999987,0.0796686746987949,188.9285714285714,1
2026-02-13,2026-02-13,ACB,cart,2026-01-16,20d,20,24.85,23.85,-0.04024144869215296,-0.00384713177571147,0.0,0.03639431691644149,0.04024144869215296,90.439877537357,100.0,-1,0,-1,0.03541666666666665,0.07565811535881961,188.01041666666654,1
2026-02-23,2026-02-23,ACB,cart,2026-01-19,20d,20,25.1,24.05,-0.04183266932270924,-0.00384713177571147,0.0,0.037985537546997766,0.04183266932270924,90.80352308853735,100.0,-1,0,-1,0.052410901467505155,0.09424357079021439,225.28701207946446,1
2026-02-24,2026-02-24,ACB,cart,2026-01-20,20d,20,25.05,24.0,-0.041916167664670656,0.01865154587886745,0.0,0.060567713543538106,0.041916167664670656,144.49725945386948,100.0,1,0,-1,0.048117154811715634,0.09003332247638629,214.79378362223588,1
2026-02-25,2026-02-25,ACB,cart,2026-01-21,20d,20,24.85,24.45,-0.016096579476861272,0.01865154587886745,0.0,0.03474812535572872,0.016096579476861272,215.8727287724633,100.0,1,0,-1,0.02263374485596703,0.0387303243328283,240.61213991769426,1
2026-02-26,2026-02-26,ACB,cart,2026-01-22,20d,20,24.85,24.45,-0.016096579476861272,0.01865154587886745,0.0,0.03474812535572872,0.016096579476861272,215.8727287724633,100.0,1,0,-1,0.026859504132231482,0.042956083609092754,266.864669421487,1
2026-02-27,2026-02-27,ACB,cart,2026-01-23,20d,20,25.05,24.55,-0.019960079840319334,0.01865154587886745,0.0,0.03861162571918678,0.019960079840319334,193.44424485312607,100.0,1,0,-1,0.030864197530864113,0.050824277371183446,254.6296296296294,1
2026-03-02,2026-03-02,ACB,cart,2026-01-26,20d,20,24.8,23.95,-0.03427419354838712,0.01865154587886745,0.0,0.05292573942725457,0.03427419354838712,154.4186279759897,100.0,1,0,-1,0.03333333333333344,0.06760752688172056,197.25490196078454,1
2026-03-03,2026-03-03,ACB,cart,2026-01-27,20d,20,24.7,23.5,-0.04858299595141702,0.01865154587886745,0.0,0.06723454183028446,0.04858299595141702,138.3910986006688,100.0,1,0,-1,0.03347280334728042,0.08205579929869744,168.89818688981885,1
2026-03-04,2026-03-04,ACB,cart,2026-01-28,20d,20,23.9,23.2,-0.029288702928870314,-0.00384713177571147,0.0,0.025441571153158843,0.029288702928870314,86.86479293721369,100.0,-1,0,-1,-0.004166666666666763,0.02512203626220355,85.7738095238092,-1
2026-03-05,2026-03-05,ACB,cart,2026-01-29,20d,20,23.8,23.55,-0.010504201680672232,-0.00384713177571147,0.0,0.0066570699049607615,0.010504201680672232,63.37530549522668,100.0,-1,0,-1,-0.012448132780083054,0.0019439310994108228,18.5062240663911,-1
2026-03-06,2026-03-06,ACB,cart,2026-01-30,20d,20,24.1,23.3,-0.03319502074688796,-0.00384713177571147,0.0,0.02934788897117649,0.03319502074688796,88.41051552566918,100.0,-1,0,-1,0.004166666666666652,0.03736168741355461,112.55208333333329,1
2026-03-09,2026-03-09,ACB,cart,2026-02-02,20d,20,23.75,21.7,-0.08631578947368423,-0.00384713177571147,0.0,0.08246865769797276,0.08631578947368423,95.54295708911475,100.0,-1,0,-1,-0.01041666666666663,0.0758991228070176,87.93191056910574,-1
2026-03-10,2026-03-10,ACB,cart,2026-02-03,20d,20,23.7,23.15,-0.02320675105485237,0.01865154587886745,0.0,0.04185829693371982,0.02320675105485237,180.37120678711958,100.0,1,0,-1,-0.012500000000000067,0.010706751054852304,46.13636363636346,-1
2026-03-11,2026-03-11,ACB,cart,2026-02-04,20d,20,23.6,23.2,-0.016949152542372947,0.01865154587886745,0.0,0.0356006984212404,0.016949152542372947,210.0441206853175,100.0,1,0,-1,-0.04259634888438124,0.025647196342008294,151.31845841784835,-1
2026-03-12,2026-03-12,ACB,cart,2026-02-05,20d,20,23.45,23.15,-0.01279317697228144,0.01865154587886745,0.0,0.03144472285114889,0.01279317697228144,245.79291695314734,100.0,1,0,-1,-0.044806517311609007,0.03201334033932757,250.23761031907736,-1
2026-03-13,2026-03-13,ACB,cart,2026-02-06,20d,20,23.0,23.45,0.019565217391304346,-0.00384713177571147,0.0,0.023412349167015817,0.019565217391304346,119.66311796474751,100.0,-1,0,1,-0.06313645621181263,0.08270167360311698,422.6974428603757,-1
2026-03-16,2026-03-16,ACB,cart,2026-02-09,20d,20,22.95,23.45,0.02178649237472774,-0.00384713177571147,0.0,0.02563362415043921,0.02178649237472774,117.6583348505156,100.0,-1,0,1,-0.09999999999999998,0.12178649237472772,558.9999999999984,-1
2026-03-17,2026-03-17,ACB,cart,2026-02-10,20d,20,23.0,23.75,0.032608695652173836,-0.00384713177571147,0.0,0.03645582742788531,0.032608695652173836,111.79787077884853,100.0,-1,0,1,-0.07630522088353409,0.10891391653570792,334.00267737617173,-1
2026-03-18,2026-03-18,ACB,cart,2026-02-11,20d,20,23.65,23.75,0.0042283298097252064,0.01865154587886745,0.0,0.014423216069142243,0.0042283298097252064,341.1090600352102,100.0,1,0,1,-0.04056795131845847,0.04479628112818368,1059.432048681532,-1
2026-03-19,2026-03-19,ACB,cart,2026-02-12,20d,20,23.85,23.6,-0.010482180293501009,-0.00384713177571147,0.0,0.006635048517789539,0.010482180293501009,63.29836285971244,100.0,-1,0,-1,-0.04216867469879504,0.03168649440529403,302.2891566265062,-1
2026-03-20,2026-03-20,ACB,cart,2026-02-13,20d,20,23.85,23.0,-0.03563941299790363,-0.00384713177571147,0.0,0.03179228122219216,0.03563941299790363,89.20540084109196,100.0,-1,0,-1,-0.04024144869215296,0.004602035694249329,12.912770742099564,-1
2026-03-23,2026-03-23,ACB,cart,2026-02-23,20d,20,24.05,22.5,-0.06444906444906451,-0.00384713177571147,0.0,0.06060193267335304,0.06444906444906451,94.03074069639608,100.0,-1,0,-1,-0.04183266932270924,0.02261639512635527,35.091890502506054,-1
2026-03-24,2026-03-24,ACB,cart,2026-02-24,20d,20,24.0,23.1,-0.03749999999999998,-0.00384713177571147,0.0,0.03365286822428851,0.03749999999999998,89.74098193143607,100.0,-1,0,-1,-0.041916167664670656,0.004416167664670678,11.776447105788481,-1
2026-03-25,2026-03-25,ACB,cart,2026-02-25,20d,20,24.45,23.8,-0.026584867075664542,0.01865154587886745,0.0,0.04523641295453199,0.026584867075664542,170.1585071905093,100.0,1,0,-1,-0.016096579476861272,0.01048828759880327,39.452097198575494,-1
2026-03-26,2026-03-26,ACB,cart,2026-02-26,20d,20,24.45,23.6,-0.03476482617586907,0.01865154587886745,0.0,0.05341637205473652,0.03476482617586907,153.6506231456835,100.0,1,0,-1,-0.016096579476861272,0.018668246699007796,53.69866256361663,-1
2026-03-27,2026-03-27,ACB,cart,2026-02-27,20d,20,24.55,23.8,-0.03054989816700615,0.01865154587886745,0.0,0.0492014440458736,0.03054989816700615,161.0527268434927,100.0,1,0,-1,-0.019960079840319334,0.010589818326686817,34.66400532268813,-1
2026-03-30,2026-03-30,ACB,cart,2026-03-02,20d,20,23.95,23.75,-0.008350730688935215,0.01865154587886745,0.0,0.027002276567802665,0.008350730688935215,323.3522618994395,100.0,1,0,-1,-0.03427419354838712,0.025923462859451907,310.43346774193907,-1
2026-03-31,2026-03-31,ACB,cart,2026-03-03,20d,20,23.5,23.55,0.0021276595744681437,-0.00384713177571147,0.0,0.005974791350179614,0.0021276595744681437,280.8151934584341,100.0,-1,0,1,-0.04858299595141702,0.05071065552588516,2383.400809716537,-1
2026-04-01,2026-04-01,ACB,cart,2026-03-04,20d,20,23.2,23.8,0.02586206896551735,-0.00384713177571147,0.0,0.02970920074122882,0.02586206896551735,114.87557619941762,100.0,-1,0,1,-0.029288702928870314,0.05515077189438766,213.24965132496473,-1
2026-04-02,2026-04-02,ACB,cart,2026-03-05,20d,20,23.55,23.6,0.002123142250530785,-0.00384713177571147,0.0,0.005970274026242255,0.002123142250530785,281.19990663601027,100.0,-1,0,1,-0.010504201680672232,0.012627343931203017,594.7478991596622,-1
2026-04-03,2026-04-03,ACB,cart,2026-03-06,20d,20,23.3,23.5,0.008583690987124415,-0.00384713177571147,0.0,0.012430822762835886,0.008583690987124415,144.8190851870389,100.0,-1,0,1,-0.03319502074688796,0.041778711734012375,486.7219917012469,-1
2026-04-06,2026-04-06,ACB,cart,2026-03-09,20d,20,21.7,23.25,0.0714285714285714,0.06927220419107212,0.0,0.0021563672374992765,0.0714285714285714,3.0189141324989883,100.0,1,0,1,-0.08631578947368423,0.15774436090225563,220.842105263158,-1
2026-04-07,2026-04-07,ACB,cart,2026-03-10,20d,20,23.15,23.2,0.002159827213823018,-0.00384713177571147,0.0,0.006006958989534488,0.002159827213823018,278.1222012154309,100.0,-1,0,1,-0.02320675105485237,0.025366578268675388,1174.4725738396032,-1
2026-04-08,2026-04-08,ACB,cart,2026-03-11,20d,20,23.2,24.1,0.03879310344827602,-0.00384713177571147,0.0,0.042640235223987494,0.03879310344827602,109.91705079961176,100.0,-1,0,1,-0.016949152542372947,0.05574225599064897,143.69114877589453,-1
2026-04-09,2026-04-09,ACB,cart,2026-03-12,20d,20,23.15,23.85,0.030237580993520696,-0.00384713177571147,0.0,0.03408471276923217,0.030237580993520696,112.72301437253142,100.0,-1,0,1,-0.01279317697228144,0.043030757965802136,142.3088638440448,-1
2026-04-10,2026-04-10,ACB,cart,2026-03-13,20d,20,23.45,23.85,0.017057569296375252,-0.00384713177571147,0.0,0.020904701072086723,0.017057569296375252,122.55381003510853,100.0,-1,0,1,0.019565217391304346,0.0025076480949290936,14.701086956521822,1
2026-01-05,2026-01-05,ACB,lightgbm,2025-12-04,20d,20,24.9,24.0,-0.036144578313252906,-0.014436020880190402,0.0,0.021708557433062506,0.036144578313252906,60.06034223147311,100.0,-1,0,-1,-0.015810276679842028,0.02033430163341088,56.25823451910359,-1
2026-01-06,2026-01-06,ACB,lightgbm,2025-12-05,20d,20,24.35,24.0,-0.014373716632443578,0.0026563112872172003,0.0,0.017030027919660778,0.014373716632443578,118.48033709821102,100.0,1,0,-1,-0.02208835341365456,0.007714636781210982,53.67183017785337,-1
2026-01-07,2026-01-07,ACB,lightgbm,2025-12-08,20d,20,24.2,24.65,0.018595041322313932,0.008423084835508528,0.0,0.010171956486805404,0.018595041322313932,54.70252155126496,100.0,1,0,1,-0.024193548387096864,0.042788589709410796,230.10752688172172,-1
2026-01-08,2026-01-08,ACB,lightgbm,2025-12-09,20d,20,24.1,24.55,0.018672199170124415,0.006692189090426254,0.0,0.01198001007969816,0.018672199170124415,64.15960953793926,100.0,1,0,1,-0.030181086519114664,0.04885328568923908,261.63648558014796,-1
2026-01-09,2026-01-09,ACB,lightgbm,2025-12-10,20d,20,24.1,24.55,0.018672199170124415,0.01749545347940979,0.0,0.0011767456907146243,0.018672199170124415,6.302126921382787,100.0,1,0,1,-0.04365079365079361,0.06232299282091802,333.7742504409177,-1
2026-01-12,2026-01-12,ACB,lightgbm,2025-12-11,20d,20,23.95,25.5,0.06471816283924836,0.0013049233725497436,0.0,0.06341323946669862,0.06471816283924836,97.98368291789895,100.0,1,0,1,-0.045816733067729154,0.11053489590697751,170.7942423852977,-1
2026-01-13,2026-01-13,ACB,lightgbm,2025-12-12,20d,20,23.5,24.9,0.05957446808510625,0.009425402700305048,0.0,0.0501490653848012,0.05957446808510625,84.17878832448793,100.0,1,0,1,-0.05811623246492981,0.11769070055003605,197.5522473518467,-1
2026-01-14,2026-01-14,ACB,lightgbm,2025-12-15,20d,20,23.55,24.65,0.04670912951167727,-0.029855886998687325,0.0,0.0765650165103646,0.04670912951167727,163.91873989264425,100.0,-1,0,1,-0.06361829025844923,0.1103274197701265,236.20097596240726,-1
2026-01-15,2026-01-15,ACB,lightgbm,2025-12-16,20d,20,24.0,24.9,0.03749999999999987,-0.010815324474693355,0.0,0.04831532447469322,0.03749999999999987,128.84086526584906,100.0,-1,0,1,-0.043824701195219196,0.08132470119521906,216.86586985391827,-1
2026-01-16,2026-01-16,ACB,lightgbm,2025-12-17,20d,20,24.0,24.85,0.03541666666666665,0.00891963033379272,0.0,0.02649703633287393,0.03541666666666665,74.8151614104676,100.0,1,0,1,-0.036144578313252906,0.07156124497991956,202.05527994330237,-1
2026-01-19,2026-01-19,ACB,lightgbm,2025-12-18,20d,20,23.85,25.1,0.052410901467505155,0.008941784008666744,0.0,0.04346911745883841,0.052410901467505155,82.93907611146383,100.0,1,0,1,-0.03830645161290325,0.0907173530804084,173.08870967741953,-1
2026-01-20,2026-01-20,ACB,lightgbm,2025-12-19,20d,20,23.9,25.05,0.048117154811715634,0.00959407261625261,0.0,0.03852308219546302,0.048117154811715634,80.06101430187506,100.0,1,0,1,-0.03238866396761142,0.08050581877932705,167.31209294138353,-1
2026-01-21,2026-01-21,ACB,lightgbm,2025-12-22,20d,20,24.3,24.85,0.02263374485596703,-0.000409946847331238,0.0,0.02304369170329827,0.02263374485596703,101.81121970729983,100.0,-1,0,1,-0.012195121951219523,0.034828866807186554,153.8802660753882,-1
2026-01-22,2026-01-22,ACB,lightgbm,2025-12-23,20d,20,24.2,24.85,0.026859504132231482,0.0008272054911431649,0.0,0.026032298641088317,0.026859504132231482,96.92025032528238,100.0,1,0,1,0.0,0.026859504132231482,100.0,0
2026-01-23,2026-01-23,ACB,lightgbm,2025-12-24,20d,20,24.3,25.05,0.030864197530864113,-0.014346109763702897,0.0,0.04521030729456701,0.030864197530864113,146.4813956343975,100.0,-1,0,1,0.004132231404958775,0.026731966125905338,86.61157024793353,1
2026-01-26,2026-01-26,ACB,lightgbm,2025-12-25,20d,20,24.0,24.8,0.03333333333333344,0.007077390067434499,0.0,0.02625594326589894,0.03333333333333344,78.76782979769658,100.0,1,0,1,-0.014373716632443578,0.047707049965777015,143.1211498973306,-1
2026-01-27,2026-01-27,ACB,lightgbm,2025-12-26,20d,20,23.9,24.7,0.03347280334728042,0.005458210145069341,0.0,0.028014593202211082,0.03347280334728042,83.69359719160539,100.0,1,0,1,-0.01443298969072171,0.04790579303800213,143.118556701031,-1
2026-01-28,2026-01-28,ACB,lightgbm,2025-12-29,20d,20,24.0,23.9,-0.004166666666666763,0.006146600943631143,0.0,0.010313267610297907,0.004166666666666763,247.51842264714404,100.0,1,0,-1,0.0,0.004166666666666763,100.0,0
2026-01-29,2026-01-29,ACB,lightgbm,2025-12-30,20d,20,24.1,23.8,-0.012448132780083054,0.004510233479264756,0.0,0.01695836625934781,0.012448132780083054,136.23220895009334,100.0,1,0,-1,0.006263048016701633,0.018711180796784688,150.31315240083617,1
2026-01-30,2026-01-30,ACB,lightgbm,2025-12-31,20d,20,24.0,24.1,0.004166666666666652,0.00027736999146149626,0.0,0.0038892966752051557,0.004166666666666652,93.34312020492406,100.0,1,0,1,-0.018404907975460127,0.02257157464212678,541.7177914110447,-1
2026-02-02,2026-02-02,ACB,lightgbm,2026-01-05,20d,20,24.0,23.75,-0.01041666666666663,-0.007170919768676265,0.0,0.0032457468979903642,0.01041666666666663,31.159170220707605,100.0,-1,0,-1,-0.036144578313252906,0.025727911646586277,246.98795180722914,-1
2026-02-03,2026-02-03,ACB,lightgbm,2026-01-06,20d,20,24.0,23.7,-0.012500000000000067,0.004885899896677357,0.0,0.017385899896677423,0.012500000000000067,139.08719917341864,100.0,1,0,-1,-0.014373716632443578,0.0018737166324435117,14.989733059548014,-1
2026-02-04,2026-02-04,ACB,lightgbm,2026-01-07,20d,20,24.65,23.6,-0.04259634888438124,-0.044590365104978394,0.0,0.001994016220597153,0.04259634888438124,4.681190460735231,100.0,-1,0,-1,0.018595041322313932,0.06119139020669517,143.65407319952757,1
2026-02-05,2026-02-05,ACB,lightgbm,2026-01-08,20d,20,24.55,23.45,-0.044806517311609007,-0.021773655311156406,0.0,0.0230328620004526,0.044806517311609007,51.405160191919165,100.0,-1,0,-1,0.018672199170124415,0.06347871648173342,141.672953602414,1
2026-02-06,2026-02-06,ACB,lightgbm,2026-01-09,20d,20,24.55,23.0,-0.06313645621181263,-0.016826347380213075,0.0,0.046310108831599556,0.06313645621181263,73.34923689133994,100.0,-1,0,-1,0.018672199170124415,0.08180865538193705,129.57435416945512,1
2026-02-09,2026-02-09,ACB,lightgbm,2026-01-12,20d,20,25.5,22.95,-0.09999999999999998,-0.08016783575900621,0.0,0.019832164240993766,0.09999999999999998,19.832164240993773,100.0,-1,0,-1,0.06471816283924836,0.16471816283924834,164.71816283924838,1
2026-02-10,2026-02-10,ACB,lightgbm,2026-01-13,20d,20,24.9,23.0,-0.07630522088353409,-0.051707759334011345,0.0,0.02459746154952274,0.07630522088353409,32.2356206622693,100.0,-1,0,-1,0.05957446808510625,0.13587968896864033,178.07390817469192,1
2026-02-11,2026-02-11,ACB,lightgbm,2026-01-14,20d,20,24.65,23.65,-0.04056795131845847,-0.03611860664796645,0.0,0.004449344670492024,0.04056795131845847,10.967634612762824,100.0,-1,0,-1,0.04670912951167727,0.08727708083013574,215.1380042462843,1
2026-02-12,2026-02-12,ACB,lightgbm,2026-01-15,20d,20,24.9,23.85,-0.04216867469879504,-0.0304200946329202,0.0,0.011748580065874838,0.04216867469879504,27.860918441931855,100.0,-1,0,-1,0.03749999999999987,0.0796686746987949,188.9285714285714,1
2026-02-13,2026-02-13,ACB,lightgbm,2026-01-16,20d,20,24.85,23.85,-0.04024144869215296,-0.0379462497846402,0.0,0.0022951989075127577,0.04024144869215296,5.7035692851691975,100.0,-1,0,-1,0.03541666666666665,0.07565811535881961,188.01041666666654,1
2026-02-23,2026-02-23,ACB,lightgbm,2026-01-19,20d,20,25.1,24.05,-0.04183266932270924,-0.0387698750816604,0.0,0.0030627942410488343,0.04183266932270924,7.321536709554819,100.0,-1,0,-1,0.052410901467505155,0.09424357079021439,225.28701207946446,1
2026-02-24,2026-02-24,ACB,lightgbm,2026-01-20,20d,20,25.05,24.0,-0.041916167664670656,-0.03147007804217636,0.0,0.010446089622494298,0.041916167664670656,24.9213852422364,100.0,-1,0,-1,0.048117154811715634,0.09003332247638629,214.79378362223588,1
2026-02-25,2026-02-25,ACB,lightgbm,2026-01-21,20d,20,24.85,24.45,-0.016096579476861272,-0.025184773358202697,0.0,0.009088193881341425,0.016096579476861272,56.46040448783323,100.0,-1,0,-1,0.02263374485596703,0.0387303243328283,240.61213991769426,1
2026-02-26,2026-02-26,ACB,lightgbm,2026-01-22,20d,20,24.85,24.45,-0.016096579476861272,-0.02304681638880833,0.0,0.006950236911947058,0.016096579476861272,43.17834681547082,100.0,-1,0,-1,0.026859504132231482,0.042956083609092754,266.864669421487,1
2026-02-27,2026-02-27,ACB,lightgbm,2026-01-23,20d,20,25.05,24.55,-0.019960079840319334,-0.01846931481941857,0.0,0.0014907650209007653,0.019960079840319334,7.468732754712845,100.0,-1,0,-1,0.030864197530864113,0.050824277371183446,254.6296296296294,1
2026-03-02,2026-03-02,ACB,lightgbm,2026-01-26,20d,20,24.8,23.95,-0.03427419354838712,-0.013042462109005629,0.0,0.021231731439381493,0.03427419354838712,61.94669878784242,100.0,-1,0,-1,0.03333333333333344,0.06760752688172056,197.25490196078454,1
2026-03-03,2026-03-03,ACB,lightgbm,2026-01-27,20d,20,24.7,23.5,-0.04858299595141702,-0.011077652414715302,0.0,0.037505343536701714,0.04858299595141702,77.19849877971102,100.0,-1,0,-1,0.03347280334728042,0.08205579929869744,168.89818688981885,1
2026-03-04,2026-03-04,ACB,lightgbm,2026-01-28,20d,20,23.9,23.2,-0.029288702928870314,-0.0026115638560772264,0.0,0.026677139072793087,0.029288702928870314,91.08337483425062,100.0,-1,0,-1,-0.004166666666666763,0.02512203626220355,85.7738095238092,-1
2026-03-05,2026-03-05,ACB,lightgbm,2026-01-29,20d,20,23.8,23.55,-0.010504201680672232,-0.002542324557200949,0.0,0.007961877123471283,0.010504201680672232,75.79707021544688,100.0,-1,0,-1,-0.012448132780083054,0.0019439310994108228,18.5062240663911,-1
