symbol,organ_name
BQB,CTCP Bia Hà Nội - Quảng Bình
TVH,CTCP Tư vấn Xây dựng công trình Hàng hải
BTB,CTCP Bia Hà Nội - Thái Bình
VNP,CTCP Nhựa Việt Nam
CNT,CTCP Tập đoàn CNT
VTS,CTCP Gạch ngói Từ Sơn
CII,CTCP Đầu tư Hạ tầng Kỹ thuật Thành phố Hồ Chí Minh
SED,CTCP Đầu tư và Phát triển Giáo dục Phương Nam
HFX,CTCP Sản xuất - Xuất nhập khẩu Thanh Hà
PLO,CTCP Kho Vận Petec
HSP,CTCP Sơn Tổng hợp Hà Nội
BTP,CTCP Nhiệt điện Bà Rịa
CTF,CTCP City Auto
DAC,CTCP 382 Đông Anh
LSG,CTCP Bất động sản Sài Gòn Vina
DAT,CTCP Đầu tư du lịch và Phát triển Thủy sản
VMK,CTCP Vimarko
CRE,CTCP Bất động sản Thế Kỷ
BHH,CTCP Bia Hà Nội - Hưng Yên 89
NTL,CTCP Phát triển Đô thị Từ Liêm
VLG,CTCP VIMC Logistics
HTE,CTCP Đầu tư Kinh doanh Điện lực Thành phố Hồ Chí Minh
TAR,CTCP Nông nghiệp Công nghệ cao Trung An
MZG,CTCP Miza
DSC,CTCP Chứng khoán DSC
SLD,CTCP Địa ốc Sacom
DP1,CTCP Dược phẩm Trung ương CPC1
PLP,CTCP Sản xuất và Công nghệ Nhựa Pha Lê
SPI,CTCP Spiral Galaxy
TCX,CTCP Chứng khoán Kỹ Thương
BDW,CTCP Cấp thoát nước Bình Định
VPI,CTCP Phát triển Bất động sản Văn Phú
GMH,CTCP Minh Hưng Quảng Trị
L10,CTCP Lilama 10
BGW,CTCP Nước sạch Bắc Giang
TIS,CTCP Gang thép Thái Nguyên
VRC,CTCP Bất động sản và Đầu tư VRC
EIC,CTCP EVN Quốc tế
SFG,CTCP Phân Bón Miền Nam
KLB,Ngân hàng TMCP Kiên Long
C21,CTCP Thế Kỷ 21 
VRE,CTCP Vincom Retail
HNI,CTCP May Hữu Nghị
CGV,CTCP Vinaceglass
PSC,CTCP Vận tải và Dịch vụ Petrolimex Sài Gòn
CSI,CTCP Chứng khoán Kiến thiết Việt Nam
VCC,CTCP Vinaconex 25
MGR,CTCP Tập đoàn MGROUP
SD3,CTCP Sông Đà 3
HTG,Tổng Công ty cổ phần Dệt may Hòa Thọ
CLW,CTCP Cấp nước Chợ Lớn
TOP,CTCP Phân phối Top One
TTA,CTCP Đầu tư Xây dựng và Phát triển Trường Thành
TNW,CTCP Nước sạch Thái Nguyên
DHT,CTCP Dược phẩm Hà Tây
TSD,CTCP Du lịch Trường Sơn COECCO
WCS,CTCP Bến xe Miền Tây
MES,CTCP Cơ điện Công trình
KSF,CTCP Tập đoàn Sunshine
DIG,Tổng Công ty cổ phần Đầu tư Phát triển Xây dựng
ICG,CTCP Xây dựng Sông Hồng
ILA,CTCP ILA
DDV,CTCP DAP - VINACHEM
IST,CTCP ICD Tân Cảng Sóng Thần
TSG,CTCP Thông tin Tín hiệu Đường sắt Sài Gòn
VXP,CTCP Thuốc Thú y Trung ương VETVACO
VHF,CTCP Xây dựng và Chế biến Lương thực Vĩnh Hà
NBW,CTCP Cấp nước Nhà Bè
NSC,CTCP Tập đoàn Giống cây trồng Việt Nam
GPC,CTCP Tập đoàn Green+
TMW,CTCP Tổng hợp Gỗ Tân Mai
TA6,CTCP Đầu tư và Xây lắp Thành An 665
CKA,CTCP Cơ Khí An Giang
BXH,CTCP VICEM Bao bì Hải Phòng
VC6,CTCP Xây dựng và Đầu tư Visicons
SJD,CTCP Thủy điện Cần Đơn
TGG,CTCP The Golden Group
ADC,CTCP Mỹ thuật và Truyền thông
CPI,CTCP Đầu tư Cảng Cái Lân
CCI,CTCP Đầu tư Phát triển Công nghiệp Thương mại Củ Chi
TNT,CTCP Tập đoàn TNT
VPD,CTCP Phát triển Điện lực Việt Nam
USD,CTCP Công trình Đô thị Sóc Trăng
NSH,CTCP Tập Đoàn Nhôm Sông Hồng Shalumi
ANT,CTCP Rau quả Thực phẩm An Giang
HBC,CTCP Tập đoàn Xây dựng Hòa Bình
VGV,Tổng Công ty Tư vấn Xây dựng Việt Nam - CTCP
BGE,CTCP BCG Energy
VTM,CTCP Vận tải và Đưa đón thợ mỏ - VINACOMIN
SHC,CTCP Hàng hải Sài Gòn
DSH,CTCP Đầu tư Hạ tầng Đông Sơn
UIC,CTCP Đầu tư Phát triển Nhà và Đô thị IDICO
VPS,CTCP Thuốc sát trùng Việt Nam 
VSA,CTCP Đại lý Hàng hải Việt Nam
SBB,CTCP Tập đoàn Bia Sài Gòn - Bình Tây
DXP,CTCP Cảng Đoạn Xá
ICI,CTCP Đầu tư và Xây dựng Công nghiệp
AMV,CTCP Sản xuất Kinh doanh Dược và Trang thiết bị Y tế Việt Mỹ
TUG,CTCP Lai Dắt và Vận tải Cảng Hải Phòng
NAC,CTCP Tư vấn Xây dựng Tổng hợp
FRC,CTCP Lâm đặc sản Xuất khẩu Quảng Nam
AAM,CTCP Thủy sản MeKong
DGC,CTCP Tập đoàn Hóa chất Đức Giang
SEB,CTCP Đầu tư và Phát triển Điện Miền Trung
BTW,CTCP Cấp nước Bến Thành
HAX,CTCP Dịch vụ Ô tô Hàng Xanh
PMG,CTCP Đầu tư và Sản xuất Petro Miền Trung
AAT,CTCP Tập Đoàn Tiên Sơn Thanh Hóa 
VDS,CTCP Chứng khoán Rồng Việt
WSB,CTCP Bia Sài Gòn - Miền Tây
TBW,CTCP Nước sạch Thái Bình
LTC,CTCP Điện nhẹ Viễn Thông
MGG,Tổng Công ty Đức Giang - CTCP
PRE,Tổng Công ty cổ phần Tái bảo hiểm Hà Nội
YTC,CTCP Xuất nhập khẩu Y tế Thành phố Hồ Chí Minh
SWC,Tổng Công ty cổ phần Đường sông Miền Nam
VJC,CTCP Hàng không Vietjet
VGL,CTCP Mạ Kẽm Công Nghiệp Vingal - Vnsteel
TQN,CTCP Thông Quảng Ninh
CIG,CTCP COMA 18
HAF,CTCP Thực phẩm Hà Nội
MRF,CTCP Merufa
SDU,CTCP Đầu tư Xây dựng và Phát triển Đô thị Sông Đà
HLA,CTCP Hữu Liên Á Châu
SRB,CTCP Tập đoàn Sara
MTP,CTCP Dược Medipharco
STB,Ngân hàng TMCP Sài Gòn Thương Tín
APH,CTCP Tập đoàn An Phát Holdings
PAT,CTCP Phốt Pho Apatit Việt Nam
BMD,CTCP Môi trường và Dịch vụ Đô thị Bình Thuận
FCN,CTCP FECON
HES,CTCP Dịch vụ Giải trí Hà Nội
DDM,CTCP Hàng Hải Đông Đô
BRR,CTCP Cao su Bà Rịa
ACL,CTCP Xuất nhập khẩu Thủy sản Cửu Long An Giang
HEV,CTCP Sách Đại học - Dạy nghề
PNJ,CTCP Vàng bạc Đá quý Phú Nhuận
DTG,CTCP Dược phẩm Tipharco
SJG,Tổng Công ty Sông Đà - CTCP
TPS,CTCP Bến Bãi Vận tải Sài Gòn
C69,CTCP Xây dựng 1369
BSP,CTCP Bia Sài Gòn - Phú Thọ
IBD,CTCP In Tổng hợp Bình Dương
TSJ,CTCP Du lịch Dịch vụ Hà Nội
NAB,Ngân hàng TMCP Nam Á
ND2,CTCP Đầu tư và Phát triển Điện Miền Bắc 2
BMV,CTCP Bột mỳ Vinafood 1
KSD,CTCP Đầu tư DNA
VWS,CTCP Nước và Môi Trường Việt Nam
PID,CTCP Trang Trí Nội Thất Dầu khí
BKC,CTCP Khoáng sản Bắc Kạn
EFI,CTCP Đầu tư Tài chính Giáo dục
HAN,Tổng Công ty Xây dựng Hà Nội - CTCP
PDV,CTCP Vận Tải Và Tiếp Vận Phương Đông Việt
NHT,CTCP Sản xuất và Thương mại Nam Hoa
PVI,CTCP PVI
NNC,CTCP Đá Núi Nhỏ
GIC,CTCP VSC Green Logistics
VCP,CTCP Xây Dựng Và Năng Lượng VCP
DHN,CTCP Dược phẩm Hà Nội
SC5,CTCP Xây dựng Số 5
UPS,CTCP Chứng khoán UP
DOP,CTCP Vận tải Xăng dầu Đồng Tháp
ISH,CTCP Thủy điện Srok Phu Miêng IDICO
SGN,CTCP Phục vụ Mặt đất Sài Gòn
FSO,CTCP Cơ khí đóng tàu Thủy sản Việt Nam
VFG,CTCP Khử trùng Việt Nam
VNB,CTCP Sách Việt Nam
CVN,CTCP Vinam
VBB,Ngân hàng TMCP Việt Nam Thương Tín
CMK,CTCP Cơ khí Mạo Khê - Vinacomin
GTS,CTCP Công trình Giao thông Sài Gòn
NLS,CTCP Cấp thoát nước Lạng Sơn
PGB,Ngân hàng TMCP Thịnh vượng và Phát triển
OCH,CTCP One Capital Hospitality
DXV,CTCP VICEM Vật liệu Xây dựng Đà Nẵng
VC2,CTCP Đầu tư và Xây dựng Vina2
GEL,CTCP Hạ tầng GELEX
SFN,CTCP Dệt lưới Sài Gòn
SBM,CTCP Đầu tư Phát triển Bắc Minh
SVC,CTCP Dịch vụ Tổng hợp Sài Gòn
TEG,CTCP Trường Thành Energy Group
RYG,CTCP Sản xuất và Đầu tư Hoàng Gia
THS,CTCP Thanh Hoa - Sông Đà
VSF,Tổng Công ty Lương thực Miền Nam - CTCP
VTQ,CTCP Việt Trung Quảng Bình
LAW,CTCP Cấp thoát nước Long An
PSW,CTCP Phân bón và Hóa chất Dầu khí Tây Nam Bộ
SJ1,CTCP Nông nghiệp Hùng Hậu
PPT,CTCP Petro Times
MPY,CTCP Môi trường Đô thị Phú Yên
SPV,CTCP Thủy Đặc sản
BQP,CTCP Nhựa Chất lượng cao Bình Thuận
PPC,CTCP Nhiệt điện Phả Lại
DAG,CTCP Tập đoàn Nhựa Đông Á
BSL,CTCP Bia Sài Gòn - Sông Lam
PVP,CTCP Vận tải Dầu khí Thái Bình Dương
VPW,CTCP Cấp thoát nước Số 1 Vĩnh Phúc
VDP,CTCP Dược phẩm Trung ương VIDIPHA
DMN,CTCP Domenal
CET,CTCP HTC Holding
AGG,CTCP Đầu tư và Phát triển Bất động sản An Gia
LHG,CTCP Long Hậu
VTC,CTCP Viễn thông VTC
LDW,CTCP Cấp thoát nước Lâm Đồng
PQN,CTCP Dịch vụ Dầu khí Quảng Ngãi PTSC
HAV,CTCP Rượu Hapro
HAR,CTCP Đầu tư Thương mại Bất động sản An Dương Thảo Điền
OGC,CTCP Tập đoàn Đại Dương
ACB,Ngân hàng TMCP Á Châu
TVD,CTCP Than Vàng Danh - Vinacomin
TDT,CTCP Đầu tư và Phát triển TDT
NKG,CTCP Thép Nam Kim
BTN,CTCP Đầu tư Bitco Bình Định
VE4,CTCP Xây dựng Điện VNECO4
HMH,CTCP Hải Minh
VE2,CTCP Xây dựng Điện VNECO 2
VXT,CTCP Kho vận và Dịch vụ Thương mại
QTC,CTCP Công trình Giao thông Vận tải Quảng Nam
SVH,CTCP Thủy điện Sông Vàng
TMB,CTCP Kinh doanh Than Miền Bắc - Vinacomin
PXL,CTCP Đầu tư Khu Công nghiệp Dầu khí Long Sơn
X77,CTCP Thành An 77
DVC,CTCP Thương mại Dịch vụ Tổng hợp Cảng Hải Phòng
BVS,CTCP Chứng khoán Bảo Việt
ICT,CTCP Viễn thông - Tin học Bưu điện
CPC,CTCP Thuốc sát trùng Cần Thơ
DNM,Tổng Công ty cổ phần Y tế DANAMECO
APG,CTCP Chứng khoán APG
SBV,CTCP Siam Brothers Việt Nam
GMD,CTCP Gemadept
TOT,CTCP Transimex Logistics
VIR,CTCP Du lịch Quốc tế Vũng Tàu
VSM,CTCP Container Miền Trung
BIO,CTCP Vắc xin và Sinh phẩm Nha Trang
GKM,CTCP GKM Holdings
DKG,CTCP Tập đoàn Damik
GCB,CTCP Petec Bình Định
DPC,CTCP Nhựa Đà Nẵng
HDB,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh
HU4,CTCP Đầu tư và Xây dựng HUD4
SVN,CTCP Tập đoàn Vexilla Việt Nam
NUE,CTCP Môi trường Đô thị Nha Trang
VIP,CTCP Vận tải Xăng dầu VIPCO
BVH,Tập đoàn Bảo Việt
PTL,CTCP Victory Group
APT,CTCP Kinh doanh Thủy Hải Sản Sài Gòn
L63,CTCP Lilama 69-3
PMW,CTCP Cấp nước Phú Mỹ
MPC,CTCP Tập đoàn Thủy sản Minh Phú
HLO,CTCP Công nghệ Ha Lô
HNF,CTCP Thực phẩm Hữu Nghị
SKG,CTCP Tàu cao tốc Superdong - Kiên Giang
TNB,CTCP Thép Nhà Bè - VNSTEEL
DBM,CTCP Dược - Vật tư Y Tế Đăk Lăk
AGM,CTCP Xuất Nhập khẩu An Giang
VID,CTCP Đầu tư Phát triển Thương mại Viễn Đông
KHW,CTCP Cấp thoát nước Khánh Hòa
DTT,CTCP Kỹ nghệ Đô Thành
TCH,CTCP Đầu tư Dịch vụ Tài chính Hoàng Huy
TAL,CTCP Đầu tư Bất động sản Taseco
PVH,CTCP Xây lắp Dầu khí Thanh Hóa
PVT,Tổng Công ty cổ phần Vận tải Dầu khí
PJS,CTCP Cấp nước Phú Hòa Tân
BPC,CTCP VICEM Bao bì Bỉm Sơn
UNI,CTCP Đầu Tư Và Phát Triển Sao Mai Việt
ART,CTCP Chứng khoán ARTEX
UXC,CTCP Chế biến Thủy sản Út Xi
HSI,CTCP Vật tư Tổng hợp và Phân bón Hóa Sinh
RTB,CTCP Cao su Tân Biên
QCC,CTCP Đầu tư Xây dựng và Phát triển Hạ tầng Viễn thông
FHN,CTCP Xuất nhập khẩu Lương thực Thực phẩm Hà Nội
GDA,CTCP Tôn Đông Á
HOM,CTCP Xi măng VICEM Hoàng Mai
TCW,CTCP Kho Vận Tân Cảng
VTG,CTCP Du lịch Tỉnh Bà Rịa - Vũng Tàu
PRO,CTCP Procimex Việt Nam
G36,Tổng Công ty 36 - CTCP
D2D,CTCP Phát triển Đô thị Công nghiệp số 2
PBP,CTCP Bao bì Dầu khí Việt Nam
LNC,CTCP Lệ Ninh
TIN,Công Ty Tài chính tổng hợp cổ phần Tín Việt
HVA,CTCP Đầu tư HVA
SJS,CTCP SJ Group
TBD,Tổng Công ty Thiết bị Điện Đông Anh - CTCP
AGR,CTCP Chứng khoán Agribank
DPR,CTCP Cao su Đồng Phú
HII,CTCP An Tiến Industries
DSG,CTCP Kính Đáp Cầu
ICF,CTCP Đầu tư Thương mại Thủy sản
IDV,CTCP Phát triển Hạ tầng Vĩnh Phúc
DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí - CTCP
IDJ,CTCP Đầu tư IDJ Việt Nam
ASP,CTCP Tập đoàn Dầu khí An Pha
SZG,CTCP Sonadezi Giang Điền
SHI,CTCP Quốc tế Sơn Hà
HU6,CTCP Đầu tư Phát triển Nhà và Đô thị HUD6
PBC,CTCP Dược phẩm Trung ương I - Pharbaco
TMP,CTCP Thủy điện Thác Mơ
TTS,CTCP Cán Thép Thái Trung
LEC,CTCP Bất động sản Điện lực Miền Trung
CNA,CTCP Tổng Công ty Chè Nghệ An
DC4,CTCP DICERA Holdings
TDP,CTCP Thuận Đức
SFC,CTCP Nhiên liệu Sài Gòn
ODE,CTCP Tập đoàn Truyền thông và Giải trí ODE
GEE,CTCP Điện lực Gelex
VHC,CTCP Vĩnh Hoàn
E29,CTCP Đầu tư Xây dựng và Kỹ thuật 29
HPB,CTCP Bao bì PP
DLG,CTCP Tập đoàn Đức Long Gia Lai
ADG,CTCP Clever Group
DOC,CTCP Vật tư Nông Nghiệp Đồng Nai
MVB,Tổng Công ty Công nghiệp mỏ Việt Bắc TKV - CTCP
HPM,CTCP Xây dựng Thương mại và Khoáng Sản Hoàng Phúc
PFL,CTCP Dầu khí Đông Đô
CJC,CTCP Cơ điện Miền Trung
DCM,CTCP - Tổng công ty Phân bón Dầu khí Cà Mau
HVX,CTCP Xi măng VICEM Hải Vân
NLG,CTCP Đầu tư Nam Long
PPY,CTCP Xăng dầu Dầu khí Phú Yên
HGT,CTCP Du lịch Hương Giang
CIP,CTCP Xây lắp và Sản xuất Công nghiệp
PMT,CTCP Viễn thông TELVINA Việt Nam
SFI,CTCP Đại lý Vận tải SAFI
KTC,CTCP Thương mại Kiên Giang
ITS,CTCP Đầu tư Thương mại và Dịch vụ - Vinacomin
CDR,CTCP Xây dựng Cao su Đồng Nai
MTH,CTCP Môi trường Đô thị Hà Đông
PSP,CTCP Cảng Dịch vụ Dầu khí Đình Vũ
FGL,CTCP Cà phê Gia Lai
PLX,Tập đoàn Xăng Dầu Việt Nam
CTT,CTCP Chế tạo Máy - Vinacomin
DL1,CTCP Tập đoàn Alpha Seven
AVC,CTCP Thủy điện A Vương
PTH,CTCP Vận tải và Dịch vụ Petrolimex Hà Tây
PET,Tổng Công ty cổ phần Dịch vụ Tổng hợp Dầu khí
HDG,CTCP Tập đoàn Hà Đô
VET,CTCP Thuốc thú y Trung ương Navetco
MTV,CTCP Dịch vụ Môi trường và Công trình Đô thị Vũng Tàu
IRC,CTCP Cao su Công nghiệp
AST,CTCP Dịch vụ Hàng không Taseco
TT6,CTCP Tập đoàn Tiến Thịnh
TDH,CTCP Phát triển Nhà Thủ Đức
VTZ,CTCP Sản xuất và Thương mại Nhựa Việt Thành
BTV,CTCP Dịch vụ Du lịch Bến Thành
TYA,CTCP Dây và Cáp Điện Taya Việt Nam
VEA,Tổng Công ty Máy động lực và Máy nông nghiệp Việt Nam – CTCP
CMC,CTCP Đầu tư CMC
HTI,CTCP Đầu tư Phát triển Hạ tầng IDICO
HVH,CTCP Đầu tư và Công nghệ HVC
M10,Tổng Công ty May 10 - CTCP
PDN,CTCP Cảng Đồng Nai
TLH,CTCP Tập đoàn Thép Tiến Lên
ABI,CTCP Bảo hiểm Ngân hàng Nông nghiệp Việt Nam
TA9,CTCP Xây lắp Thành An 96
PVB,CTCP Bọc ống Dầu khí Việt Nam
SDY,CTCP Xi măng Sông Đà Yaly
SNZ,Tổng Công ty cổ phần Phát triển Khu Công nghiệp
NXT,CTCP Sản xuất và Cung ứng Vật liệu Xây dựng Kon Tum
KDH,CTCP Đầu tư và Kinh doanh Nhà Khang Điền
PCT,CTCP Vận tải biển Global Pacific
VMG,CTCP Thương mại và Dịch vụ Dầu khí Vũng Tàu
HKB,CTCP Nông nghiệp và Thực phẩm Hà Nội - Kinh Bắc
HD6,CTCP Đầu tư và Phát triển Nhà Số 6 Hà Nội
PTC,CTCP Đầu Tư Icapital
LGL,CTCP Đầu tư và Phát triển Đô thị Long Giang
DHC,CTCP Đông Hải Bến Tre
TKC,CTCP Xây dựng và Kinh doanh Địa ốc Tân Kỷ
CTP,CTCP Tập đoàn CTP Group
CDO,CTCP Tư vấn Thiết kế và Phát triển Đô thị
NDW,CTCP Cấp nước Nam Định
CLX,CTCP Xuất nhập khẩu và Đầu tư Chợ Lớn (CHOLIMEX)
MDF,CTCP Gỗ MDF VRG - Quảng Trị
SMT,CTCP Sametel
VNE,Tổng Công ty cổ phần Xây dựng Điện Việt Nam
GLW,CTCP Cấp thoát nước Gia Lai
LBE,CTCP Thương mại và Dịch vụ LVA
MTS,CTCP Vật tư - TKV
CMS,CTCP Tập Đoàn CMH Việt Nam
PNC,CTCP Văn hóa Phương Nam
IFS,CTCP Thực phẩm Quốc tế
DQC,CTCP Tập đoàn Điện Quang
BWE,CTCP - Tổng công ty nước - môi trường Bình Dương
PPP,CTCP Dược phẩm Phong Phú
BMJ,CTCP Khoáng sản Miền Đông AHP
VNM,CTCP Sữa Việt Nam
BCP,CTCP Dược ENLIE
PIS,Tổng Công ty Pisico Bình Định - CTCP
DPG,CTCP Tập đoàn Đạt Phương
VCT,CTCP Tư vấn Xây dựng Vinaconex
AFX,CTCP Xuất nhập khẩu Nông sản Thực phẩm An Giang
PNT,CTCP Kỹ thuật Xây dựng Phú Nhuận
STT,CTCP Vận chuyển Sài Gòn Tourist
RCL,CTCP Địa ốc Chợ Lớn
ALC,CTCP Âu Lạc
VOS,CTCP Vận tải Biển Việt Nam
LKW,CTCP Cấp nước Long Khánh
ILB,CTCP ICD Tân Cảng - Long Bình
HTL,CTCP Kỹ thuật và Ô tô Trường Long
APC,CTCP Chiếu xạ An Phú
HD2,CTCP Đầu tư Phát triển Nhà HUD2
SRA,CTCP Sara Việt Nam
VTH,CTCP Dây cáp Điện Việt Thái
DAD,CTCP Đầu tư và Phát triển Giáo dục Đà Nẵng
PDR,CTCP Phát triển Bất động sản Phát Đạt
DHD,CTCP Dược Vật tư Y tế Hải Dương
TXM,CTCP VICEM Thạch cao Xi măng
