datetime,eligible_stocks,predicted_top_k_count,true_top_k_count,overlap_count,precision_at_k,hit_rate_at_k,true_tickers,pred_tickers,overlap_tickers
2025-09-24,16,10,10,6,0.6,1.0,"ACB,BCM,HPG,LPB,MSN,MWG,PLX,VHM,VJC,VRE","ACB,HPG,MBB,MWG,PLX,SHB,STB,VJC,VPB,VRE","ACB,HPG,MWG,PLX,VJC,VRE"
2025-09-25,16,10,10,6,0.6,1.0,"ACB,BCM,LPB,MSN,MWG,PLX,SHB,VHM,VJC,VRE","ACB,HPG,MBB,MWG,SHB,STB,VHM,VJC,VPB,VRE","ACB,MWG,SHB,VHM,VJC,VRE"
2025-09-26,16,10,10,6,0.6,1.0,"ACB,BCM,HPG,LPB,MWG,PLX,SHB,VHM,VJC,VRE","ACB,MBB,MWG,SHB,STB,VHM,VIB,VJC,VPB,VRE","ACB,MWG,SHB,VHM,VJC,VRE"
2025-09-29,16,10,10,5,0.5,1.0,"ACB,BCM,LPB,MSN,MWG,PLX,SHB,VHM,VJC,VRE","HPG,MBB,MWG,SHB,STB,VHM,VIB,VJC,VPB,VRE","MWG,SHB,VHM,VJC,VRE"
2025-09-30,16,10,10,6,0.6,1.0,"BCM,HPG,LPB,MSN,MWG,PLX,SHB,VHM,VJC,VRE","HPG,MBB,MWG,SHB,STB,VHM,VIB,VJC,VPB,VRE","HPG,MWG,SHB,VHM,VJC,VRE"
2025-10-01,16,10,10,6,0.6,1.0,"BCM,HPG,LPB,MSN,MWG,PLX,SHB,VHM,VJC,VRE","BCM,HPG,MBB,MWG,SHB,STB,VHM,VIB,VJC,VPB","BCM,HPG,MWG,SHB,VHM,VJC"
2025-10-02,16,10,10,7,0.7,1.0,"BCM,LPB,MSN,MWG,PLX,SHB,VHM,VJC,VPB,VRE","BCM,MBB,MWG,SHB,STB,VHM,VIB,VJC,VPB,VRE","BCM,MWG,SHB,VHM,VJC,VPB,VRE"
2025-10-03,16,10,10,7,0.7,1.0,"BCM,HPG,MSN,MWG,PLX,SHB,VHM,VJC,VPB,VRE","BCM,MBB,MWG,SHB,STB,VHM,VIB,VJC,VPB,VRE","BCM,MWG,SHB,VHM,VJC,VPB,VRE"
2025-10-06,16,10,10,6,0.6,1.0,"BCM,LPB,MSN,MWG,PLX,SHB,VHM,VJC,VPB,VRE","BCM,MBB,MSN,MWG,SSB,STB,VHM,VIB,VJC,VPB","BCM,MSN,MWG,VHM,VJC,VPB"
2025-10-07,16,10,10,6,0.6,1.0,"BCM,HPG,MSN,MWG,PLX,SHB,VHM,VJC,VPB,VRE","BCM,MBB,MSN,MWG,SSB,STB,VHM,VIB,VJC,VPB","BCM,MSN,MWG,VHM,VJC,VPB"
2025-10-08,16,10,10,7,0.7,1.0,"BCM,MSN,MWG,PLX,SHB,VHM,VIB,VJC,VPB,VRE","BCM,MBB,MSN,SHB,SSB,STB,VHM,VIB,VPB,VRE","BCM,MSN,SHB,VHM,VIB,VPB,VRE"
2025-10-09,16,10,10,5,0.5,1.0,"BCM,HPG,LPB,MBB,MSN,MWG,PLX,SHB,VJC,VPB","ACB,BCM,MBB,MSN,SHB,SSB,STB,VHM,VIB,VPB","BCM,MBB,MSN,SHB,VPB"
2025-10-10,16,10,10,7,0.7,1.0,"BCM,HPG,LPB,MSN,MWG,PLX,SHB,SSB,VJC,VPB","BCM,MBB,MSN,MWG,SHB,SSB,STB,VIB,VJC,VPB","BCM,MSN,MWG,SHB,SSB,VJC,VPB"
2025-10-13,16,10,10,7,0.7,1.0,"BCM,HPG,MBB,MSN,MWG,PLX,SHB,VIB,VJC,VPB","ACB,BCM,MBB,MSN,SHB,SSB,STB,VIB,VJC,VPB","BCM,MBB,MSN,SHB,VIB,VJC,VPB"
2025-10-14,16,10,10,7,0.7,1.0,"ACB,BCM,HPG,MBB,MSN,MWG,PLX,SHB,VIB,VJC","ACB,BCM,LPB,MBB,MSN,PLX,SHB,STB,VIB,VPB","ACB,BCM,MBB,MSN,PLX,SHB,VIB"
2025-10-15,16,10,10,6,0.6,1.0,"ACB,BCM,HPG,MBB,MSN,MWG,PLX,SHB,SSB,VJC","ACB,BCM,LPB,MBB,MSN,SHB,SSB,STB,VIB,VPB","ACB,BCM,MBB,MSN,SHB,SSB"
2025-10-16,16,10,10,6,0.6,1.0,"ACB,BCM,HPG,MBB,MWG,PLX,SHB,SSB,VIB,VJC","ACB,BCM,LPB,MBB,MSN,PLX,SHB,STB,VIB,VPB","ACB,BCM,MBB,PLX,SHB,VIB"
2025-10-17,16,10,10,7,0.7,1.0,"ACB,BCM,HPG,LPB,MWG,PLX,SHB,SSB,VIB,VJC","ACB,BCM,LPB,MBB,PLX,SHB,SSB,STB,VIB,VPB","ACB,BCM,LPB,PLX,SHB,SSB,VIB"
2025-10-20,16,10,10,6,0.6,1.0,"ACB,BCM,HPG,MBB,MSN,MWG,PLX,SHB,SSB,VJC","ACB,BCM,LPB,MBB,MSN,PLX,SHB,STB,VHM,VPB","ACB,BCM,MBB,MSN,PLX,SHB"
2025-10-21,16,10,10,5,0.5,1.0,"ACB,BCM,HPG,MBB,MSN,MWG,PLX,SHB,VIB,VJC","ACB,BCM,LPB,MBB,PLX,SSB,STB,VHM,VIB,VPB","ACB,BCM,MBB,PLX,VIB"
2025-10-22,16,10,10,6,0.6,1.0,"ACB,BCM,HPG,MBB,MWG,PLX,SHB,SSB,VJC,VPB","ACB,BCM,LPB,MBB,MWG,SSB,STB,VIB,VPB,VRE","ACB,BCM,MBB,MWG,SSB,VPB"
2025-10-23,16,10,10,4,0.4,1.0,"ACB,HPG,MBB,MSN,MWG,PLX,SHB,SSB,VIB,VJC","ACB,BCM,HPG,LPB,MBB,STB,VHM,VIB,VPB,VRE","ACB,HPG,MBB,VIB"
2025-10-24,16,10,10,6,0.6,1.0,"ACB,HPG,MBB,MWG,PLX,SHB,SSB,VIB,VJC,VPB","ACB,BCM,HPG,LPB,MBB,MSN,SSB,STB,VIB,VPB","ACB,HPG,MBB,SSB,VIB,VPB"
2025-10-27,24,10,10,3,0.3,1.0,"BID,BVH,GAS,HPG,MBB,MWG,PLX,TPB,VJC,VNM","ACB,BCM,BID,GVR,HPG,MBB,MSN,STB,VIB,VPB","BID,HPG,MBB"
2025-10-28,24,10,10,4,0.4,1.0,"BID,BVH,GAS,HPG,MBB,MWG,PLX,VJC,VNM,VPB","BCM,GAS,GVR,HPG,MBB,SSB,STB,VIB,VPB,VRE","GAS,HPG,MBB,VPB"
2025-10-29,24,10,10,4,0.4,1.0,"BID,BVH,GAS,MBB,MWG,PLX,STB,VHM,VJC,VNM","ACB,GAS,HPG,MBB,MSN,STB,VCB,VHM,VPB,VRE","GAS,MBB,STB,VHM"
2025-10-30,24,10,10,4,0.4,1.0,"BID,BVH,GAS,MBB,MWG,PLX,VHM,VJC,VNM,VRE","GAS,HPG,MBB,MSN,STB,VCB,VHM,VIB,VPB,VRE","GAS,MBB,VHM,VRE"
2025-10-31,24,10,10,4,0.4,1.0,"BID,BVH,GAS,MBB,MWG,PLX,STB,VHM,VJC,VNM","ACB,BVH,MBB,MSN,SSB,STB,VHM,VIB,VPB,VRE","BVH,MBB,STB,VHM"
2025-11-03,24,10,10,3,0.3,1.0,"BID,BVH,GAS,MBB,MWG,PLX,STB,VHM,VJC,VNM","ACB,MBB,MSN,SHB,SSB,STB,VHM,VIB,VPB,VRE","MBB,STB,VHM"
2025-11-04,24,10,10,3,0.3,1.0,"BID,BVH,GAS,MWG,PLX,STB,VHM,VJC,VNM,VPB","ACB,MBB,MSN,SHB,SSB,STB,VHM,VIB,VPB,VRE","STB,VHM,VPB"
2025-11-05,25,10,10,5,0.5,1.0,"BVH,GAS,MBB,MWG,STB,TCB,VHM,VJC,VNM,VRE","ACB,FPT,MBB,MSN,SSB,STB,VHM,VIB,VJC,VRE","MBB,STB,VHM,VJC,VRE"
2025-11-06,26,10,10,5,0.5,1.0,"BVH,GAS,HPG,MBB,MWG,STB,VHM,VIC,VJC,VRE","ACB,FPT,MBB,MSN,SSB,STB,VHM,VIB,VJC,VRE","MBB,STB,VHM,VJC,VRE"
2025-11-07,26,10,10,4,0.4,1.0,"BVH,GAS,MBB,MWG,PLX,STB,VHM,VIC,VJC,VRE","ACB,FPT,LPB,MBB,MSN,SHB,SSB,STB,VHM,VRE","MBB,STB,VHM,VRE"
2025-11-10,27,10,10,4,0.4,1.0,"BVH,GAS,MBB,MWG,PLX,STB,VHM,VIC,VJC,VRE","ACB,FPT,LPB,MBB,SHB,SSB,STB,VHM,VPB,VRE","MBB,STB,VHM,VRE"
2025-11-11,27,10,10,3,0.3,1.0,"BCM,BID,BVH,GAS,MBB,PLX,VHM,VIC,VJC,VRE","ACB,FPT,LPB,MBB,MWG,SHB,SSB,STB,VHM,VRE","MBB,VHM,VRE"
2025-11-12,27,10,10,2,0.2,1.0,"BCM,BID,BVH,GAS,MBB,PLX,VCB,VHM,VIC,VJC","ACB,FPT,LPB,MBB,SHB,SSB,STB,TPB,VHM,VRE","MBB,VHM"
2025-11-13,27,10,10,2,0.2,1.0,"BCM,BID,BVH,GAS,GVR,MBB,PLX,VCB,VHM,VIC","ACB,FPT,LPB,MBB,SSB,STB,TPB,VHM,VIB,VRE","MBB,VHM"
2025-11-14,27,10,10,2,0.2,1.0,"BCM,BID,BVH,GAS,GVR,MBB,PLX,VCB,VHM,VIC","ACB,FPT,MBB,MWG,SHB,SSB,STB,VHM,VJC,VRE","MBB,VHM"
2025-11-17,27,10,10,3,0.3,1.0,"BID,BVH,GAS,GVR,MBB,PLX,STB,VCB,VHM,VIC","ACB,FPT,MBB,SHB,STB,TPB,VHM,VIB,VJC,VRE","MBB,STB,VHM"
2025-11-18,28,10,10,3,0.3,1.0,"BID,BVH,CTG,GAS,GVR,PLX,STB,VCB,VHM,VIC","ACB,FPT,GVR,MBB,SHB,STB,VHM,VIB,VJC,VRE","GVR,STB,VHM"
2025-11-19,29,10,10,1,0.1,1.0,"BID,BVH,GAS,GVR,HDB,PLX,STB,VCB,VHM,VIC","FPT,MBB,SHB,SSB,STB,TPB,VIB,VJC,VPB,VRE",STB
2025-11-20,29,10,10,1,0.1,1.0,"BID,BVH,GAS,GVR,HDB,PLX,STB,VCB,VHM,VIC","FPT,GVR,MBB,MSN,SHB,SSB,VIB,VJC,VPB,VRE",GVR
2025-11-21,29,10,10,1,0.1,1.0,"BID,BVH,GAS,GVR,HDB,PLX,VCB,VHM,VIC,VNM","FPT,GVR,LPB,MBB,SSB,TPB,VIB,VJC,VPB,VRE",GVR
2025-11-24,29,10,10,1,0.1,1.0,"BID,BVH,GAS,GVR,HDB,PLX,STB,VCB,VHM,VIC","BID,FPT,LPB,MBB,MSN,SSB,TCB,TPB,VIB,VRE",BID
2025-11-25,29,10,10,1,0.1,1.0,"BID,BVH,CTG,GAS,GVR,HDB,PLX,STB,VCB,VIC","FPT,GVR,LPB,MBB,MWG,SSB,TCB,TPB,VIB,VRE",GVR
2025-11-26,29,10,10,0,0.0,0.0,"BID,BVH,GAS,GVR,HDB,PLX,STB,VCB,VHM,VIC","FPT,LPB,MBB,MSN,MWG,SSB,TPB,VIB,VPB,VRE",
2025-11-27,29,10,10,1,0.1,1.0,"BID,BVH,GAS,GVR,HDB,PLX,STB,VCB,VHM,VIC","BID,FPT,HPG,MBB,MSN,SHB,SSB,TPB,VIB,VPB",BID
2025-11-28,29,10,10,1,0.1,1.0,"BID,BVH,GAS,GVR,HDB,MBB,PLX,STB,VCB,VIC","FPT,LPB,MBB,MSN,SHB,SSB,TCB,TPB,VIB,VPB",MBB
2025-12-01,29,10,10,3,0.3,1.0,"BID,BVH,CTG,GAS,GVR,HDB,LPB,PLX,STB,VCB","FPT,GVR,LPB,MBB,MSN,PLX,SHB,SSB,TCB,TPB","GVR,LPB,PLX"
2025-12-02,29,10,10,2,0.2,1.0,"BID,BVH,CTG,GAS,GVR,HDB,LPB,PLX,STB,VCB","ACB,FPT,GVR,LPB,MBB,MSN,SHB,SSB,TCB,TPB","GVR,LPB"
2025-12-03,28,10,10,4,0.4,1.0,"BID,BVH,GAS,GVR,HDB,LPB,MBB,PLX,STB,VCB","FPT,HPG,LPB,MBB,PLX,SHB,SSB,TCB,TPB,VCB","LPB,MBB,PLX,VCB"
2025-12-04,27,10,10,3,0.3,1.0,"BID,BVH,CTG,GAS,GVR,HDB,PLX,STB,VCB,VNM","ACB,FPT,GVR,HDB,HPG,MBB,SSB,TCB,TPB,VCB","GVR,HDB,VCB"
2025-12-05,27,10,10,3,0.3,1.0,"BID,BVH,CTG,GAS,GVR,MBB,PLX,STB,VCB,VNM","FPT,GVR,HDB,HPG,MSN,PLX,SHB,SSB,TPB,VCB","GVR,PLX,VCB"
2025-12-08,26,10,10,3,0.3,1.0,"BID,BVH,CTG,GAS,GVR,MBB,PLX,STB,VCB,VNM","FPT,GVR,HDB,MSN,PLX,SSB,TCB,TPB,VCB,VIB","GVR,PLX,VCB"
2025-12-09,26,10,10,4,0.4,1.0,"BID,BVH,CTG,GAS,GVR,HDB,PLX,STB,VCB,VNM","ACB,FPT,GVR,HDB,MSN,PLX,SSB,SSI,TPB,VCB","GVR,HDB,PLX,VCB"
2025-12-10,26,10,10,3,0.3,1.0,"BID,BVH,CTG,GAS,GVR,MWG,PLX,STB,VCB,VNM","ACB,CTG,GVR,HDB,MSN,SSB,SSI,TPB,VCB,VRE","CTG,GVR,VCB"
2025-12-11,26,10,10,2,0.2,1.0,"BID,BVH,GAS,GVR,HDB,MBB,PLX,STB,VCB,VNM","FPT,GVR,HDB,MSN,SSB,SSI,TCB,TPB,VIC,VRE","GVR,HDB"
2025-12-12,26,10,10,3,0.3,1.0,"BID,BVH,GAS,GVR,MBB,MWG,PLX,STB,VCB,VNM","CTG,GVR,HDB,MSN,SSB,STB,TCB,VCB,VIB,VRE","GVR,STB,VCB"
2025-12-15,27,10,10,2,0.2,1.0,"BID,BVH,GAS,GVR,HDB,MBB,MWG,PLX,STB,VCB","ACB,FPT,GVR,MSN,SSB,VCB,VHM,VIB,VJC,VRE","GVR,VCB"
2025-12-16,27,10,10,2,0.2,1.0,"BID,BVH,GAS,GVR,HDB,MBB,MWG,PLX,STB,VHM","ACB,CTG,GVR,MSN,SSB,SSI,TCB,VHM,VJC,VRE","GVR,VHM"
2025-12-17,27,10,10,3,0.3,1.0,"BID,BVH,GAS,GVR,HDB,MBB,PLX,STB,VCB,VHM","BCM,CTG,GVR,HDB,SHB,SSB,TPB,VHM,VJC,VRE","GVR,HDB,VHM"
2025-12-18,27,10,10,2,0.2,1.0,"BID,BVH,GAS,GVR,MBB,PLX,STB,VCB,VHM,VIC","ACB,BCM,CTG,GVR,HDB,SSB,TCB,TPB,VHM,VJC","GVR,VHM"
2025-12-19,27,10,10,2,0.2,1.0,"BID,BVH,CTG,GAS,GVR,MBB,MWG,PLX,STB,VCB","ACB,BCM,CTG,GVR,SSB,SSI,TCB,VHM,VJC,VRE","CTG,GVR"
2025-12-22,26,10,10,2,0.2,1.0,"BID,BVH,CTG,GAS,GVR,MBB,PLX,STB,VCB,VNM","ACB,BCM,CTG,FPT,GVR,SAB,SHB,TCB,TPB,VJC","CTG,GVR"
2025-12-23,26,10,10,2,0.2,1.0,"BID,BVH,CTG,GAS,GVR,MBB,PLX,STB,VCB,VNM","ACB,BCM,CTG,FPT,GVR,HDB,SAB,SHB,SSB,VJC","CTG,GVR"
2025-12-24,26,10,10,2,0.2,1.0,"BID,BVH,CTG,GAS,GVR,MBB,PLX,STB,VCB,VNM","ACB,BCM,CTG,FPT,GVR,HDB,SAB,SSB,VIC,VJC","CTG,GVR"
2025-12-25,26,10,10,2,0.2,1.0,"BID,BVH,GAS,GVR,MBB,PLX,STB,VCB,VIC,VNM","ACB,BCM,CTG,FPT,GVR,SAB,SHB,SSB,VIC,VJC","GVR,VIC"
2025-12-26,26,10,10,2,0.2,1.0,"BID,BVH,GAS,GVR,MBB,PLX,SSI,STB,TPB,VCB","ACB,BCM,CTG,FPT,GVR,MSN,SAB,SHB,SSB,VCB","GVR,VCB"
2025-12-29,26,10,10,2,0.2,1.0,"BID,BVH,GAS,GVR,MBB,PLX,SSI,STB,VCB,VNM","ACB,BCM,CTG,GVR,MSN,SAB,SHB,TCB,TPB,VCB","GVR,VCB"
2025-12-30,26,10,10,2,0.2,1.0,"BID,BVH,GAS,GVR,MBB,PLX,SSI,STB,VCB,VNM","ACB,CTG,FPT,GVR,MSN,SHB,SSB,SSI,TPB,VIC","GVR,SSI"
2025-12-31,26,10,10,3,0.3,1.0,"BID,BVH,GAS,GVR,MBB,PLX,SSI,STB,VCB,VNM","FPT,GVR,MSN,SHB,SSB,SSI,TCB,TPB,VIC,VNM","GVR,SSI,VNM"
2026-01-05,24,10,10,2,0.2,1.0,"BID,BVH,GAS,GVR,MBB,PLX,SSI,STB,VCB,VNM","CTG,FPT,GVR,MSN,SAB,SSB,SSI,TCB,VIC,VJC","GVR,SSI"
2026-01-06,24,10,10,2,0.2,1.0,"BID,BVH,GAS,GVR,MBB,PLX,SSI,STB,VCB,VNM","CTG,FPT,GVR,HDB,MSN,SAB,SSB,SSI,TCB,VIC","GVR,SSI"
2026-01-07,24,10,10,2,0.2,1.0,"BID,BVH,GAS,GVR,MBB,PLX,SSI,STB,VCB,VNM","FPT,HDB,MSN,SAB,SSB,SSI,STB,TCB,TPB,VIC","SSI,STB"
2026-01-08,24,10,10,4,0.4,1.0,"BVH,GAS,GVR,MBB,MWG,PLX,SAB,SSI,STB,VNM","BVH,CTG,FPT,SAB,SSB,SSI,STB,TCB,VIC,VJC","BVH,SAB,SSI,STB"
2026-01-09,24,10,10,3,0.3,1.0,"ACB,BVH,GVR,MBB,MSN,MWG,PLX,SSB,STB,VNM","FPT,HDB,MSN,SAB,SSB,SSI,STB,TCB,VIC,VJC","MSN,SSB,STB"
2026-01-12,24,10,10,4,0.4,1.0,"BVH,GVR,MBB,MSN,MWG,PLX,SAB,SSB,STB,VNM","FPT,HDB,MSN,SAB,SSB,SSI,STB,TCB,VIC,VRE","MSN,SAB,SSB,STB"
2026-01-13,25,10,10,3,0.3,1.0,"ACB,BVH,GVR,MBB,MSN,MWG,PLX,SSB,STB,VNM","BID,BVH,FPT,HDB,MSN,SSI,STB,TCB,VIC,VRE","BVH,MSN,STB"
2026-01-14,25,10,10,2,0.2,1.0,"ACB,BVH,GVR,HDB,MBB,MSN,MWG,PLX,SSB,STB","BID,FPT,PLX,SSI,STB,VCB,VHM,VIC,VJC,VNM","PLX,STB"
2026-01-15,25,10,10,3,0.3,1.0,"ACB,BVH,MBB,MSN,MWG,PLX,SSB,STB,TPB,VIC","BID,BVH,FPT,HDB,STB,TCB,VHM,VIC,VJC,VRE","BVH,STB,VIC"
2026-01-16,25,10,10,2,0.2,1.0,"ACB,BVH,HDB,MBB,MSN,MWG,SSB,STB,TPB,VNM","BID,BVH,FPT,SSI,STB,TCB,VHM,VIC,VJC,VRE","BVH,STB"
2026-01-19,25,10,10,2,0.2,1.0,"ACB,BVH,HDB,MBB,MSN,MWG,SSB,STB,TPB,VNM","BID,FPT,HDB,SSI,STB,TCB,VHM,VIC,VJC,VRE","HDB,STB"
2026-01-20,25,10,10,3,0.3,1.0,"ACB,BVH,CTG,HDB,MBB,MSN,MWG,SSB,STB,TPB","BID,CTG,FPT,HDB,STB,TCB,VHM,VIC,VJC,VRE","CTG,HDB,STB"
2026-01-21,25,10,10,1,0.1,1.0,"ACB,BVH,MBB,MSN,MWG,SAB,SSB,STB,TPB,VNM","BID,CTG,FPT,HDB,STB,TCB,VHM,VIC,VJC,VRE",STB
2026-01-22,25,10,10,0,0.0,0.0,"ACB,BVH,MBB,MSN,MWG,SAB,SSB,STB,TPB,VNM","BID,CTG,FPT,HDB,SSI,TCB,VHM,VIC,VJC,VRE",
2026-01-23,25,10,10,1,0.1,1.0,"ACB,BVH,MBB,MSN,MWG,SAB,SSB,STB,TPB,VNM","BID,CTG,FPT,HDB,TCB,VHM,VIC,VJC,VNM,VRE",VNM
2026-01-26,25,10,10,1,0.1,1.0,"ACB,BVH,MBB,MSN,MWG,SAB,SSB,STB,TPB,VNM","BID,BVH,FPT,GAS,HDB,TCB,VHM,VIC,VJC,VRE",BVH
2026-01-27,25,10,10,2,0.2,1.0,"ACB,BVH,CTG,MBB,MSN,MWG,SSB,STB,TPB,VHM","BCM,BID,BVH,HDB,VCB,VHM,VIC,VJC,VNM,VRE","BVH,VHM"
2026-01-28,25,10,10,4,0.4,1.0,"ACB,BVH,MBB,MSN,MWG,SSB,STB,VHM,VIC,VJC","BCM,BID,BVH,HDB,TCB,VHM,VIC,VJC,VNM,VRE","BVH,VHM,VIC,VJC"
2026-01-29,25,10,10,4,0.4,1.0,"ACB,BVH,MBB,MWG,SSB,STB,TPB,VHM,VIC,VJC","BCM,BID,BVH,HDB,VCB,VHM,VIC,VJC,VNM,VRE","BVH,VHM,VIC,VJC"
2026-01-30,25,10,10,4,0.4,1.0,"ACB,BVH,MBB,SSB,STB,TPB,VHM,VIC,VJC,VRE","BCM,BID,CTG,HDB,SSI,VCB,VHM,VIC,VJC,VRE","VHM,VIC,VJC,VRE"
2026-02-02,25,10,10,5,0.5,1.0,"ACB,BVH,HDB,MBB,SSB,STB,TPB,VHM,VIC,VJC","BID,BVH,CTG,HDB,SSI,VCB,VHM,VIC,VJC,VRE","BVH,HDB,VHM,VIC,VJC"
2026-02-03,25,10,10,6,0.6,1.0,"ACB,BVH,MBB,SSB,STB,TPB,VHM,VIC,VJC,VRE","BID,BVH,HDB,MBB,SSI,VCB,VHM,VIC,VJC,VRE","BVH,MBB,VHM,VIC,VJC,VRE"
2026-02-04,25,10,10,5,0.5,1.0,"ACB,BVH,HDB,MBB,SSB,STB,VHM,VIC,VJC,VRE","BID,CTG,GAS,PLX,STB,VCB,VHM,VIC,VJC,VRE","STB,VHM,VIC,VJC,VRE"
2026-02-05,25,10,10,5,0.5,1.0,"ACB,BVH,MBB,MSN,SSB,STB,VHM,VIC,VJC,VRE","BID,CTG,GAS,PLX,STB,VCB,VHM,VIC,VJC,VRE","STB,VHM,VIC,VJC,VRE"
2026-02-06,25,10,10,5,0.5,1.0,"ACB,BVH,HDB,MBB,MSN,SSB,STB,VHM,VIC,VJC","BID,CTG,GAS,HDB,PLX,SSI,STB,VHM,VIC,VJC","HDB,STB,VHM,VIC,VJC"
2026-02-09,25,10,10,5,0.5,1.0,"ACB,BVH,HDB,MSN,SSB,STB,VHM,VIC,VJC,VRE","BID,CTG,GAS,HDB,MBB,PLX,STB,VHM,VIC,VJC","HDB,STB,VHM,VIC,VJC"
2026-02-10,25,10,10,5,0.5,1.0,"ACB,BVH,HDB,MSN,SSB,STB,TPB,VHM,VIC,VJC","BID,CTG,GAS,HDB,MBB,PLX,STB,VHM,VIC,VJC","HDB,STB,VHM,VIC,VJC"
2026-02-11,25,10,10,4,0.4,1.0,"ACB,BVH,MSN,SSB,STB,TPB,VHM,VIC,VJC,VRE","BID,CTG,GAS,GVR,HDB,PLX,STB,VHM,VIC,VJC","STB,VHM,VIC,VJC"
