phase,artifact_type,artifact_path,exists,evidence_role,key_content,supports_claim,limitations,commit_or_run_reference_if_available
Phase 2,stability metrics,reports/forecasting_core/stability_metrics.csv,true,stability evidence,"Model prediction and error stability diagnostics",Outlier and stability risks are visible,"Stability does not prove forecast value","Generated Phase 2 artifact"
Phase 2,error distribution summary,reports/forecasting_core/error_distribution_summary.csv,true,error evidence,"Residual and absolute error summaries",Forecast outliers are exposed,"Large outliers require health controls","Generated Phase 2 artifact"
Phase 2,baseline comparison config,configs/experiments/EXP-FC-001.yaml,true,experiment definition,"Baseline comparison design",Forecast/baseline comparison is reproducible,"Config is not result evidence","EXP-FC-001"
Phase 2,ensemble config,configs/experiments/EXP-FC-002.yaml,true,experiment definition,"Stacking/ensemble comparison design",Stacking runtime was evaluated,"Stacking did not prove superiority","EXP-FC-002"
Phase 2,multi-horizon config,configs/experiments/EXP-FC-003.yaml,true,experiment definition,"T+1/T+3/T+5 comparison design",Horizon evaluation is governed,"Horizon evidence remains data-window specific","EXP-FC-003"
Phase 3,forecast-only policy,configs/policies/candidate_policy_forecast_only.yaml,true,candidate policy control,"Forecast-only diagnostic ranking policy",Forecast-only baseline policy is explicit,"Policy is not a recommendation engine","EXP-RK-001 source policy"
Phase 3,risk-aware policy,configs/policies/candidate_policy_risk_aware.yaml,true,candidate policy control,"Risk-aware diagnostic ranking policy",Risk controls are explicit and auditable,"Risk features remain basic","EXP-RK-001 source policy"
Phase 3,candidate comparison,reports/risk_aware/candidate_comparison.csv,true,candidate diagnostic evidence,"1780 diagnostic candidate rows",Forecast-only and risk-aware rows can be compared,"Candidates are retrospective diagnostics only","Generated Phase 3 artifact"
Phase 3,basket metrics,reports/risk_aware/topn_basket_metrics.csv,true,basket outcome evidence,"18 top-N basket metric rows",Aggregate candidate utility can be tested,"Diagnostic baskets are not real portfolios","Generated Phase 3 artifact"
Phase 3,risk-aware report,reports/risk_aware/RISK_AWARE_DECISION_RESEARCH_REPORT.md,true,risk synthesis,"States risk-aware did not improve aggregate utility",Risk-layer value claim is weakened,"Some context-specific rows still require review","EXP-RK-001/002"
Phase 3,risk summary,reports/risk_aware/risk_summary.csv,true,risk metric summary,"Risk and basket outcome summaries",Risk diagnostics are generated,"Risk design is basic","Generated Phase 3 artifact"
Phase 3,risk adjusted ranking,reports/risk_aware/risk_adjusted_ranking.csv,true,risk ranking detail,"Risk-aware candidate ranking rows",Risk-aware policy output is inspectable,"Ranking inherits forecast instability","Generated Phase 3 artifact"
Phase 3,drawdown comparison,reports/risk_aware/drawdown_comparison.csv,true,drawdown evidence,"Forecast-only vs risk-aware drawdown rows",Drawdown impact is measured,"Aggregate result did not support broad improvement","Generated Phase 3 artifact"
Phase 3,hit ratio comparison,reports/risk_aware/hit_ratio_comparison.csv,true,hit ratio evidence,"Forecast-only vs risk-aware hit-ratio rows",Hit-ratio impact is measured,"Aggregate hit-ratio effect was weak/negative","Generated Phase 3 artifact"
Phase 3,candidate experiment config,configs/experiments/EXP-RK-001.yaml,true,experiment definition,"Candidate policy comparison",Risk candidate comparison is reproducible,"Config is not result evidence","EXP-RK-001"
Phase 3,basket experiment config,configs/experiments/EXP-RK-002.yaml,true,experiment definition,"Top-N diagnostic basket evaluation",Basket evaluation is reproducible,"Basket is diagnostic not allocation","EXP-RK-002"
Phase 4,regime detector,src/ml/regime/regime_detector.py,true,regime implementation,"Rule-based rolling return and volatility labels",Regime labels are transparent and reproducible,"Rule thresholds are subjective","Phase 4 source"
Phase 4,regime policy,configs/policies/regime_policy.yaml,true,regime governance,"Return window 20; volatility window 20; quantile thresholds",Regime policy is explicit,"Robustness alternatives are not exhaustive","regime_policy_v1"
Phase 4,regime labels,reports/regime_analysis/regime_labels.csv,true,label evidence,"2495 label rows for five tickers",Regime dataset exists,"Insufficient-history rows remain visible","EXP-RG-000"
Phase 4,regime summary,reports/regime_analysis/regime_summary.csv,true,label summary,"42 summary rows",Regime distribution is reviewable,"Summary is descriptive only","EXP-RG-000"
Phase 4,regime model metrics,reports/regime_analysis/regime_model_metrics.csv,true,model-by-regime evidence,"1650 metric rows",Forecast behavior can be evaluated by regime,"Some regimes have small samples","EXP-RG-001"
Phase 4,model ranking by regime,reports/regime_analysis/model_ranking_by_regime.csv,true,ranking-by-regime evidence,"Persistence stable in many MAE contexts",No universal ML model dominance is shown,"Baseline dominance does not prove future performance","EXP-RG-001"
Phase 4,model ranking consistency,reports/regime_analysis/model_ranking_consistency.csv,true,stability by regime,"Ranking consistency rows",Universal-best-model claims can be tested,"Observed contexts only","EXP-RG-001"
Phase 4,regime risk metrics,reports/regime_analysis/regime_risk_metrics.csv,true,risk-by-regime evidence,"196 risk metric rows",Risk-aware utility can be tested by regime,"Mixed context-specific results only","EXP-RG-002"
Phase 4,regime risk policy comparison,reports/regime_analysis/regime_risk_policy_comparison.csv,true,policy comparison by regime,"98 comparison rows",Risk-aware improvements are context-specific","Does not support universal risk-layer improvement","EXP-RG-002"
Phase 4,regime horizon metrics,reports/regime_analysis/regime_horizon_metrics.csv,true,horizon-by-regime evidence,"198 horizon metric rows",Horizon behavior is evaluated by regime,"T+1 outliers affect aggregate comparison","EXP-RG-003"
Phase 4,horizon ranking by regime,reports/regime_analysis/horizon_ranking_by_regime.csv,true,horizon ranking evidence,"33 ranking rows","T+3 ranked best in observed rows","Exploratory under tested definitions","EXP-RG-003"
Phase 4,model health by regime,reports/regime_analysis/model_health_by_regime.csv,true,health gate evidence,"1650 health rows; eligible 742; flagged 608; excluded 300",Outliers and weak evidence are exposed,"Health gate is diagnostic; not result polishing","Phase 4 health gate"
Phase 4,eligibility flags,reports/regime_analysis/eligibility_flags.csv,true,flag evidence,"Eligibility and exclusion flags",Rows are not silently removed,"Rules may need refinement","Phase 4 health gate"
Phase 4,regime report,reports/regime_analysis/REGIME_AWARE_ANALYSIS_REPORT.md,true,regime synthesis,"Main Phase 4 report",Regime-aware framing is the strongest academic contribution,"Rule-based labels are not ground truth","Phase 4 report"
Phase 4.99,executive report,reports/vsef_v1_executive_pack/VSEF_v1_EXECUTIVE_REPORT.md,true,executive synthesis,"Phase 0-4 synthesis and conclusion",Coherent defense narrative,"Synthesis only; no new experiment evidence","Phase 4.99"
Phase 4.99,evidence matrix,reports/vsef_v1_executive_pack/EVIDENCE_MATRIX.csv,true,evidence inventory,"Artifact-by-artifact source map",Claims are tied to paths,"Depends on source artifacts remaining available","Phase 4.99"
Phase 4.99,evidence matrix markdown,reports/vsef_v1_executive_pack/EVIDENCE_MATRIX.md,true,review table,"Markdown version of evidence matrix",Defense review is easier,"Summarizes CSV; not a separate result","Phase 4.99"
Phase 4.99,what worked failed means,reports/vsef_v1_executive_pack/WHAT_WORKED_FAILED_MEANS.md,true,interpretation,"Worked/failed/meaning summary",Honest result framing,"Synthesis only","Phase 4.99"
Phase 4.99,defense slide outline,reports/vsef_v1_executive_pack/DEFENSE_SLIDE_OUTLINE.md,true,defense preparation,"12-slide defense outline",Presentation structure is ready,"Not a PowerPoint file","Phase 4.99"
Phase 4.99,defense script,reports/vsef_v1_executive_pack/DEFENSE_SCRIPT.md,true,defense preparation,"3-minute and 8-10-minute scripts",Spoken defense is ready,"Script must stay aligned with latest evidence","Phase 4.99"
Phase 4.99,limitations,reports/vsef_v1_executive_pack/LIMITATIONS_AND_THREATS_TO_VALIDITY.md,true,validity review,"Data/model/risk/regime/candidate/reproducibility limits",Threats to validity are explicit,"Not exhaustive for future phases","Phase 4.99"
Phase 4.99,future work,reports/vsef_v1_executive_pack/FUTURE_WORK_ROADMAP.md,true,roadmap,"Regime filters; health gate; risk features; outlier controls",Future work is scoped and evidence-based,"Does not approve Phase 5 implementation","Phase 4.99"
Phase 4.99,synthesis summary,reports/vsef_v1_executive_pack/PHASE_4_99_SYNTHESIS_SUMMARY.md,true,phase summary,"Created artifacts and commit guidance",Consolidation is complete,"Docs only; no new metrics","Phase 4.99"
