frequency,model,horizon,baseline,model_accuracy,baseline_accuracy,accuracy_delta,model_better_than_baseline,model_n_obs,source_artifact,claim_supported,limitation,status
daily,lightgbm,20,moving_average_signal,0.5596733668341709,0.4742462311557789,0.085427135678392,true,1592,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,lightgbm,20,previous_direction,0.5596733668341709,0.5043969849246231,0.055276381909547756,true,1592,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,lightgbm,20,random_seeded_direction,0.5596733668341709,0.4899497487437186,0.0697236180904523,true,1592,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,random_forest,1,always_up,0.5121798875702686,0.4884447220487195,0.02373516552154903,true,1601,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,random_forest,1,moving_average_signal,0.5121798875702686,0.47657713928794504,0.035602748282323515,true,1601,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,random_forest,1,previous_direction,0.5121798875702686,0.4909431605246721,0.021236727045596482,true,1601,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,random_forest,1,random_seeded_direction,0.5121798875702686,0.5034353529044348,0.008744534665833803,true,1601,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,random_forest,5,always_up,0.5235539654144306,0.5104353011329755,0.013118664281455028,true,1677,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,random_forest,5,moving_average_signal,0.5235539654144306,0.509242695289207,0.014311270125223596,true,1677,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,random_forest,5,previous_direction,0.5235539654144306,0.49433512224209897,0.029218843172331588,true,1677,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,random_forest,5,random_seeded_direction,0.5235539654144306,0.5050685748360167,0.018485390578413807,true,1677,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,random_forest,10,always_up,0.532608695652174,0.5259661835748792,0.0066425120772947155,true,1656,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,random_forest,10,moving_average_signal,0.532608695652174,0.5163043478260869,0.01630434782608703,true,1656,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,random_forest,10,previous_direction,0.532608695652174,0.501207729468599,0.03140096618357491,true,1656,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,random_forest,10,random_seeded_direction,0.532608695652174,0.49094202898550726,0.041666666666666685,true,1656,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,random_forest,20,always_up,0.5697236180904522,0.5452261306532663,0.02449748743718594,true,1592,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,random_forest,20,moving_average_signal,0.5697236180904522,0.4742462311557789,0.09547738693467334,true,1592,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,random_forest,20,previous_direction,0.5697236180904522,0.5043969849246231,0.0653266331658291,true,1592,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,random_forest,20,random_seeded_direction,0.5697236180904522,0.4899497487437186,0.07977386934673364,true,1592,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,stacking,1,always_up,0.5178013741411618,0.4884447220487195,0.02935665209244226,true,1601,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,stacking,1,moving_average_signal,0.5178013741411618,0.47657713928794504,0.041224234853216746,true,1601,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,stacking,1,previous_direction,0.5178013741411618,0.4909431605246721,0.026858213616489712,true,1601,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,stacking,1,random_seeded_direction,0.5178013741411618,0.5034353529044348,0.014366021236727033,true,1601,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,stacking,5,always_up,0.5050685748360167,0.5104353011329755,-0.005366726296958779,false,1677,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,stacking,5,moving_average_signal,0.5050685748360167,0.509242695289207,-0.004174120453190211,false,1677,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,stacking,5,previous_direction,0.5050685748360167,0.49433512224209897,0.01073345259391778,true,1677,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,stacking,5,random_seeded_direction,0.5050685748360167,0.5050685748360167,0.0,false,1677,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,stacking,10,always_up,0.5229468599033816,0.5259661835748792,-0.003019323671497598,false,1656,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,stacking,10,moving_average_signal,0.5229468599033816,0.5163043478260869,0.0066425120772947155,true,1656,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,stacking,10,previous_direction,0.5229468599033816,0.501207729468599,0.021739130434782594,true,1656,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,stacking,10,random_seeded_direction,0.5229468599033816,0.49094202898550726,0.03200483091787437,true,1656,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,stacking,20,always_up,0.532035175879397,0.5452261306532663,-0.013190954773869334,false,1592,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,stacking,20,moving_average_signal,0.532035175879397,0.4742462311557789,0.05778894472361806,true,1592,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,stacking,20,previous_direction,0.532035175879397,0.5043969849246231,0.027638190954773822,true,1592,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,stacking,20,random_seeded_direction,0.532035175879397,0.4899497487437186,0.042085427135678366,true,1592,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,xgboost,1,always_up,0.5078076202373517,0.4884447220487195,0.019362898188632183,true,1601,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,xgboost,1,moving_average_signal,0.5078076202373517,0.47657713928794504,0.03123048094940667,true,1601,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,xgboost,1,previous_direction,0.5078076202373517,0.4909431605246721,0.016864459712679636,true,1601,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,xgboost,1,random_seeded_direction,0.5078076202373517,0.5034353529044348,0.004372267332916957,true,1601,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,xgboost,5,always_up,0.5372689326177699,0.5104353011329755,0.02683363148479434,true,1677,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,xgboost,5,moving_average_signal,0.5372689326177699,0.509242695289207,0.02802623732856291,true,1677,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,xgboost,5,previous_direction,0.5372689326177699,0.49433512224209897,0.0429338103756709,true,1677,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,xgboost,5,random_seeded_direction,0.5372689326177699,0.5050685748360167,0.03220035778175312,true,1677,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,xgboost,10,always_up,0.5410628019323671,0.5259661835748792,0.015096618357487879,true,1656,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,xgboost,10,moving_average_signal,0.5410628019323671,0.5163043478260869,0.024758454106280192,true,1656,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,xgboost,10,previous_direction,0.5410628019323671,0.501207729468599,0.03985507246376807,true,1656,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,xgboost,10,random_seeded_direction,0.5410628019323671,0.49094202898550726,0.05012077294685985,true,1656,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,xgboost,20,always_up,0.5697236180904522,0.5452261306532663,0.02449748743718594,true,1592,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,xgboost,20,moving_average_signal,0.5697236180904522,0.4742462311557789,0.09547738693467334,true,1592,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,xgboost,20,previous_direction,0.5697236180904522,0.5043969849246231,0.0653266331658291,true,1592,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,xgboost,20,random_seeded_direction,0.5697236180904522,0.4899497487437186,0.07977386934673364,true,1592,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,lightgbm,1,always_up,0.5472135168279058,0.45305899986374165,0.0941545169641641,true,7339,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,lightgbm,1,moving_average_signal,0.5472135168279058,0.4872598446654858,0.05995367216241998,true,7339,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,lightgbm,1,previous_direction,0.5472135168279058,0.48712358631966207,0.06008993050824368,true,7339,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,lightgbm,1,random_seeded_direction,0.5472135168279058,0.5002043875187355,0.04700912930917023,true,7339,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,lightgbm,4,always_up,0.5144272445820434,0.47306501547987617,0.04136222910216719,true,8075,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,lightgbm,4,moving_average_signal,0.5144272445820434,0.47640866873065013,0.03801857585139323,true,8075,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,lightgbm,4,previous_direction,0.5144272445820434,0.4973374613003096,0.017089783281733772,true,8075,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,lightgbm,4,random_seeded_direction,0.5144272445820434,0.4963467492260062,0.018080495356037174,true,8075,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,lightgbm,8,always_up,0.499757927862503,0.4980634229000242,0.0016945049624788044,true,8262,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,lightgbm,8,moving_average_signal,0.499757927862503,0.4702251270878722,0.02953280077463083,true,8262,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,lightgbm,8,previous_direction,0.499757927862503,0.4951585572500605,0.004599370612442477,true,8262,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,lightgbm,8,random_seeded_direction,0.499757927862503,0.5054466230936819,-0.005688695231178931,false,8262,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,lightgbm,20,always_up,0.5032490974729242,0.5018050541516246,0.0014440433212996595,true,8310,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,lightgbm,20,moving_average_signal,0.5032490974729242,0.4766546329723225,0.02659446450060171,true,8310,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,lightgbm,20,previous_direction,0.5032490974729242,0.4996389891696751,0.0036101083032491488,true,8310,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,lightgbm,20,random_seeded_direction,0.5032490974729242,0.49975932611311674,0.003489771359807492,true,8310,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,random_forest,1,always_up,0.5506199754734977,0.45305899986374165,0.09756097560975607,true,7339,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,random_forest,1,moving_average_signal,0.5506199754734977,0.4872598446654858,0.06336013080801195,true,7339,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,random_forest,1,previous_direction,0.5506199754734977,0.48712358631966207,0.06349638915383565,true,7339,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,random_forest,1,random_seeded_direction,0.5506199754734977,0.5002043875187355,0.0504155879547622,true,7339,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,random_forest,4,always_up,0.5157894736842106,0.47306501547987617,0.0427244582043344,true,8075,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,random_forest,4,moving_average_signal,0.5157894736842106,0.47640866873065013,0.039380804953560444,true,8075,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,random_forest,4,previous_direction,0.5157894736842106,0.4973374613003096,0.018452012383900984,true,8075,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,random_forest,4,random_seeded_direction,0.5157894736842106,0.4963467492260062,0.019442724458204386,true,8075,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,random_forest,8,always_up,0.5009682885499879,0.4980634229000242,0.0029048656499636727,true,8262,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,random_forest,8,moving_average_signal,0.5009682885499879,0.4702251270878722,0.030743161462115698,true,8262,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,random_forest,8,previous_direction,0.5009682885499879,0.4951585572500605,0.005809731299927345,true,8262,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,random_forest,8,random_seeded_direction,0.5009682885499879,0.5054466230936819,-0.0044783345436940625,false,8262,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,random_forest,20,always_up,0.49518652226233456,0.5018050541516246,-0.006618531889290014,false,8310,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,random_forest,20,moving_average_signal,0.49518652226233456,0.4766546329723225,0.018531889290012038,true,8310,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,random_forest,20,previous_direction,0.49518652226233456,0.4996389891696751,-0.004452466907340524,false,8310,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,random_forest,20,random_seeded_direction,0.49518652226233456,0.49975932611311674,-0.004572803850782181,false,8310,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,stacking,1,always_up,0.5559340509606213,0.45305899986374165,0.10287505109687967,true,7339,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,stacking,1,moving_average_signal,0.5559340509606213,0.4872598446654858,0.06867420629513554,true,7339,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,stacking,1,previous_direction,0.5559340509606213,0.48712358631966207,0.06881046464095925,true,7339,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,stacking,1,random_seeded_direction,0.5559340509606213,0.5002043875187355,0.05572966344188579,true,7339,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,stacking,4,always_up,0.5121981424148607,0.47306501547987617,0.03913312693498455,true,8075,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
hourly,stacking,4,moving_average_signal,0.5121981424148607,0.47640866873065013,0.03578947368421059,true,8075,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
