horizon,ticker,model_name,observations,mae,rmse,mape,directional_accuracy,naive_mae,naive_rmse,naive_mape,naive_directional_accuracy,momentum_mae,momentum_rmse,momentum_mape,momentum_directional_accuracy,beats_naive_baseline,beats_baseline_mae,beats_baseline_rmse,beats_baseline_mape,beats_baseline_directional_accuracy,wins_vs_naive_baseline
20d,HPG,cart,65,0.06601165738049715,0.07477132022796387,377.6081135653285,0.23076923076923078,0.03419420203516251,0.044093918197241795,100.0,0.046153846153846156,0.05769160735285632,0.07181616684670916,224.59933583581596,0.2153846153846154,False,False,False,False,True,1
20d,HPG,lightgbm,65,0.05093742373946169,0.06518520904969108,245.4678423124561,0.49230769230769234,0.03419420203516251,0.044093918197241795,100.0,0.046153846153846156,0.05769160735285632,0.07181616684670916,224.59933583581596,0.2153846153846154,False,False,False,False,True,1
20d,HPG,momentum_continuation,195,0.05769160735285632,0.07181616684670916,224.5993358358159,0.2153846153846154,0.03419420203516251,0.044093918197241795,100.0,0.046153846153846156,,,,,False,False,False,False,True,1
20d,HPG,naive_flat_return,195,0.03419420203516251,0.044093918197241795,100.0,0.046153846153846156,,,,,,,,,False,False,False,False,False,0
20d,HPG,xgboost,65,0.058518398783939274,0.07104156920805323,296.4155678200788,0.4,0.03419420203516251,0.044093918197241795,100.0,0.046153846153846156,0.05769160735285632,0.07181616684670916,224.59933583581596,0.2153846153846154,False,False,False,False,True,1
20d,MWG,cart,65,0.1027633238990864,0.12094356349168028,355.3550150756714,0.5846153846153846,0.06601128114880116,0.07947071796063303,100.0,0.0,0.09339740732190235,0.116797770549462,218.09556167407368,0.46153846153846156,False,False,False,False,True,1
20d,MWG,lightgbm,65,0.11789729180785473,0.13600931417422457,376.04613669464965,0.47692307692307695,0.06601128114880116,0.07947071796063303,100.0,0.0,0.09339740732190235,0.116797770549462,218.09556167407368,0.46153846153846156,False,False,False,False,True,1
20d,MWG,momentum_continuation,195,0.09339740732190234,0.116797770549462,218.09556167407368,0.46153846153846156,0.06601128114880116,0.07947071796063303,100.0,0.0,,,,,False,False,False,False,True,1
20d,MWG,naive_flat_return,195,0.06601128114880116,0.07947071796063303,100.0,0.0,,,,,,,,,False,False,False,False,False,0
20d,MWG,xgboost,65,0.11534383154518643,0.13274997660883595,368.1858661559503,0.47692307692307695,0.06601128114880116,0.07947071796063303,100.0,0.0,0.09339740732190235,0.116797770549462,218.09556167407368,0.46153846153846156,False,False,False,False,True,1
20d,OVERALL,cart,260,0.10234454077124787,0.14178798007243248,430.60587681134183,0.45384615384615384,0.0719603253816643,0.10736070912943496,100.0,0.011538461538461539,0.11408051006330447,0.16288554829311158,361.31089137939114,0.33076923076923076,False,False,False,False,True,1
20d,OVERALL,lightgbm,260,0.0918389991101148,0.13107888336307427,329.61447421866586,0.5653846153846154,0.0719603253816643,0.10736070912943496,100.0,0.011538461538461539,0.11408051006330447,0.16288554829311158,361.31089137939114,0.33076923076923076,False,False,False,False,True,1
20d,OVERALL,momentum_continuation,780,0.11408051006330447,0.16288554829311155,361.31089137939114,0.33076923076923076,0.07196032538166432,0.10736070912943495,100.0,0.011538461538461539,,,,,False,False,False,False,True,1
20d,OVERALL,naive_flat_return,780,0.07196032538166432,0.10736070912943495,100.0,0.011538461538461539,,,,,,,,,False,False,False,False,False,0
20d,OVERALL,xgboost,260,0.09231028461065728,0.12713133086796985,319.4963030166717,0.48846153846153845,0.0719603253816643,0.10736070912943496,100.0,0.011538461538461539,0.11408051006330447,0.16288554829311158,361.31089137939114,0.33076923076923076,False,False,False,False,True,1
3d,ACB,cart,65,0.02011268352072202,0.025713694878147102,103.28857496094288,0.6,0.020511353520165355,0.025969450463469407,100.0,0.06153846153846154,0.02870624021257771,0.03863127007194137,229.27164193462787,0.47692307692307695,True,True,True,False,True,3
3d,ACB,lightgbm,65,0.02536553050463659,0.030933857670795345,206.8656270969976,0.5230769230769231,0.020511353520165355,0.025969450463469407,100.0,0.06153846153846154,0.02870624021257771,0.03863127007194137,229.27164193462787,0.47692307692307695,False,False,False,False,True,1
3d,ACB,momentum_continuation,195,0.028706240212577713,0.03863127007194138,229.27164193462787,0.47692307692307695,0.02051135352016535,0.025969450463469403,100.0,0.06153846153846154,,,,,False,False,False,False,True,1
3d,ACB,naive_flat_return,195,0.02051135352016535,0.025969450463469403,100.0,0.06153846153846154,,,,,,,,,False,False,False,False,False,0
3d,ACB,xgboost,65,0.024793337694196074,0.029949503447538637,201.21696975824776,0.47692307692307695,0.020511353520165355,0.025969450463469407,100.0,0.06153846153846154,0.02870624021257771,0.03863127007194137,229.27164193462787,0.47692307692307695,False,False,False,False,True,1
3d,DGC,cart,65,0.07593489186510767,0.0916854201168073,549.2752784219049,0.4153846153846154,0.05195091834021331,0.07473604009817021,100.0,0.0,0.08228684468503134,0.10598133287903072,465.0577105504036,0.46153846153846156,False,False,False,False,True,1
3d,DGC,lightgbm,65,0.059789967513510726,0.07937376857165372,247.6276340401818,0.46153846153846156,0.05195091834021331,0.07473604009817021,100.0,0.0,0.08228684468503134,0.10598133287903072,465.0577105504036,0.46153846153846156,False,False,False,False,True,1
3d,DGC,momentum_continuation,195,0.08228684468503134,0.10598133287903072,465.0577105504036,0.46153846153846156,0.0519509183402133,0.0747360400981702,100.0,0.0,,,,,False,False,False,False,True,1
3d,DGC,naive_flat_return,195,0.0519509183402133,0.0747360400981702,100.0,0.0,,,,,,,,,False,False,False,False,False,0
3d,DGC,xgboost,65,0.056890202911905066,0.0757782288302499,226.22228587141754,0.46153846153846156,0.05195091834021331,0.07473604009817021,100.0,0.0,0.08228684468503134,0.10598133287903072,465.0577105504036,0.46153846153846156,False,False,False,False,True,1
3d,HPG,cart,65,0.027825630263463325,0.03455725436241545,128.83748478006117,0.5538461538461539,0.026388216121651382,0.033093404661652615,100.0,0.0,0.039810922207862164,0.048941538695672186,256.46835711619264,0.46153846153846156,False,False,False,False,True,1
3d,HPG,lightgbm,65,0.03661627744968952,0.04415870884364673,261.89433550354806,0.4461538461538462,0.026388216121651382,0.033093404661652615,100.0,0.0,0.039810922207862164,0.048941538695672186,256.46835711619264,0.46153846153846156,False,False,False,False,True,1
3d,HPG,momentum_continuation,195,0.03981092220786216,0.048941538695672186,256.46835711619264,0.46153846153846156,0.02638821612165138,0.033093404661652615,100.0,0.0,,,,,False,False,False,False,True,1
3d,HPG,naive_flat_return,195,0.02638821612165138,0.033093404661652615,100.0,0.0,,,,,,,,,False,False,False,False,False,0
3d,HPG,xgboost,65,0.030425504754578895,0.03791605734613666,184.7214580548132,0.46153846153846156,0.026388216121651382,0.033093404661652615,100.0,0.0,0.039810922207862164,0.048941538695672186,256.46835711619264,0.46153846153846156,False,False,False,False,True,1
3d,MWG,cart,65,0.038734835132478836,0.05178605159118635,233.86072616722907,0.47692307692307695,0.03353246707917566,0.04434842424801128,100.0,0.015384615384615385,0.05348644856389707,0.07116275263775229,292.6665634850052,0.38461538461538464,False,False,False,False,True,1
3d,MWG,lightgbm,65,0.04011224275732465,0.04878230276959829,395.7564790574951,0.5230769230769231,0.03353246707917566,0.04434842424801128,100.0,0.015384615384615385,0.05348644856389707,0.07116275263775229,292.6665634850052,0.38461538461538464,False,False,False,False,True,1
3d,MWG,momentum_continuation,195,0.05348644856389706,0.0711627526377523,292.66656348500527,0.38461538461538464,0.03353246707917566,0.04434842424801129,100.0,0.015384615384615385,,,,,False,False,False,False,True,1
3d,MWG,naive_flat_return,195,0.03353246707917566,0.04434842424801129,100.0,0.015384615384615385,,,,,,,,,False,False,False,False,False,0
3d,MWG,xgboost,65,0.03951814321356969,0.048183973241386825,348.0193838210393,0.5538461538461539,0.03353246707917566,0.04434842424801128,100.0,0.015384615384615385,0.05348644856389707,0.07116275263775229,292.6665634850052,0.38461538461538464,False,False,False,False,True,1
3d,OVERALL,cart,260,0.04065201019544296,0.05688455268074892,256.2549770801881,0.5115384615384615,0.033095738765301426,0.048274849073589504,100.0,0.019230769230769232,0.05107261391734207,0.07103490254633474,312.21735144855444,0.4461538461538462,False,False,False,False,True,1
3d,OVERALL,lightgbm,260,0.04047100455629037,0.053821007324989255,278.6907683644666,0.48846153846153845,0.033095738765301426,0.048274849073589504,100.0,0.019230769230769232,0.05107261391734207,0.07103490254633474,312.21735144855444,0.4461538461538462,False,False,False,False,True,1
3d,OVERALL,momentum_continuation,780,0.05107261391734207,0.07103490254633474,312.21735144855444,0.4461538461538462,0.033095738765301426,0.048274849073589504,100.0,0.019230769230769232,,,,,False,False,False,False,True,1
3d,OVERALL,naive_flat_return,780,0.033095738765301426,0.048274849073589504,100.0,0.019230769230769232,,,,,,,,,False,False,False,False,False,0
3d,OVERALL,xgboost,260,0.03790679714356243,0.050986849783561966,240.23066303923386,0.48846153846153845,0.033095738765301426,0.048274849073589504,100.0,0.019230769230769232,0.05107261391734207,0.07103490254633474,312.21735144855444,0.4461538461538462,False,False,False,False,True,1
5d,ACB,cart,65,0.030228687950424247,0.04056026211719675,117.05858337966961,0.4461538461538462,0.024150525254262353,0.03097720686231077,100.0,0.09230769230769231,0.03848150923683154,0.05021979101138461,219.66615080251805,0.3384615384615385,False,False,False,False,True,1
5d,ACB,lightgbm,65,0.03325054513623714,0.04154054906183775,200.71468578351835,0.4307692307692308,0.024150525254262353,0.03097720686231077,100.0,0.09230769230769231,0.03848150923683154,0.05021979101138461,219.66615080251805,0.3384615384615385,False,False,False,False,True,1
5d,ACB,momentum_continuation,195,0.03848150923683154,0.05021979101138461,219.666150802518,0.3384615384615385,0.024150525254262353,0.030977206862310775,100.0,0.09230769230769231,,,,,False,False,False,False,True,1
5d,ACB,naive_flat_return,195,0.024150525254262353,0.030977206862310775,100.0,0.09230769230769231,,,,,,,,,False,False,False,False,False,0
5d,ACB,xgboost,65,0.031079937404885738,0.038216393001829586,171.030327175887,0.4,0.024150525254262353,0.03097720686231077,100.0,0.09230769230769231,0.03848150923683154,0.05021979101138461,219.66615080251805,0.3384615384615385,False,False,False,False,True,1
5d,DGC,cart,65,0.09854573470269677,0.11721638146869971,635.110119500687,0.46153846153846156,0.06889670301355298,0.09475715839849574,100.0,0.0,0.11009388950033945,0.13848545987519517,383.2257661186746,0.35384615384615387,False,False,False,False,True,1
5d,DGC,lightgbm,65,0.07722227657287714,0.10326043654843356,245.5941920405623,0.47692307692307695,0.06889670301355298,0.09475715839849574,100.0,0.0,0.11009388950033945,0.13848545987519517,383.2257661186746,0.35384615384615387,False,False,False,False,True,1
5d,DGC,momentum_continuation,195,0.11009388950033948,0.1384854598751952,383.2257661186746,0.35384615384615387,0.06889670301355297,0.09475715839849574,100.0,0.0,,,,,False,False,False,False,True,1
5d,DGC,naive_flat_return,195,0.06889670301355297,0.09475715839849574,100.0,0.0,,,,,,,,,False,False,False,False,False,0
5d,DGC,xgboost,65,0.07748168422337391,0.10053093086096422,262.2646049941325,0.49230769230769234,0.06889670301355298,0.09475715839849574,100.0,0.0,0.11009388950033945,0.13848545987519517,383.2257661186746,0.35384615384615387,False,False,False,False,True,1
5d,HPG,cart,65,0.04870995629822421,0.06074728417148546,321.0789068961068,0.3384615384615385,0.030836641984869982,0.0397160758532792,100.0,0.03076923076923077,0.05110186698655361,0.0669378012940706,266.3681655289922,0.4,False,False,False,False,True,1
5d,HPG,lightgbm,65,0.05171294771669096,0.06220837024496823,346.88663314684425,0.4,0.030836641984869982,0.0397160758532792,100.0,0.03076923076923077,0.05110186698655361,0.0669378012940706,266.3681655289922,0.4,False,False,False,False,True,1
5d,HPG,momentum_continuation,195,0.05110186698655362,0.0669378012940706,266.36816552899234,0.4,0.030836641984869982,0.0397160758532792,100.0,0.03076923076923077,,,,,False,False,False,False,True,1
5d,HPG,naive_flat_return,195,0.030836641984869982,0.0397160758532792,100.0,0.03076923076923077,,,,,,,,,False,False,False,False,False,0
5d,HPG,xgboost,65,0.04568331830229735,0.055000612712363665,331.1152915714025,0.49230769230769234,0.030836641984869982,0.0397160758532792,100.0,0.03076923076923077,0.05110186698655361,0.0669378012940706,266.3681655289922,0.4,False,False,False,False,True,1
5d,MWG,cart,65,0.03587647101015816,0.045635481073575436,170.35283399810325,0.6153846153846154,0.03716217105529469,0.048077960537237854,100.0,0.0,0.06292044264527298,0.07839429934868655,366.1342583969858,0.4153846153846154,True,True,True,False,True,3
5d,MWG,lightgbm,65,0.03527575006656309,0.04629387284499515,204.6054645211993,0.6307692307692307,0.03716217105529469,0.048077960537237854,100.0,0.0,0.06292044264527298,0.07839429934868655,366.1342583969858,0.4153846153846154,True,True,True,False,True,3
5d,MWG,momentum_continuation,195,0.06292044264527298,0.07839429934868655,366.1342583969858,0.4153846153846154,0.0371621710552947,0.048077960537237854,100.0,0.0,,,,,False,False,False,False,True,1
5d,MWG,naive_flat_return,195,0.0371621710552947,0.048077960537237854,100.0,0.0,,,,,,,,,False,False,False,False,False,0
5d,MWG,xgboost,65,0.03686567966439924,0.04716236699015853,271.30092528190016,0.6307692307692307,0.03716217105529469,0.048077960537237854,100.0,0.0,0.06292044264527298,0.07839429934868655,366.1342583969858,0.4153846153846154,True,True,True,False,True,3
5d,OVERALL,cart,260,0.05334021249037584,0.07272833803727971,315.43460131458966,0.4653846153846154,0.040261510326995,0.0587949049309369,100.0,0.03076923076923077,0.0656494270922494,0.08989797747798252,311.3091226952103,0.3769230769230769,False,False,False,False,True,1
5d,OVERALL,lightgbm,260,0.049365379873092086,0.06782576752985485,249.83730962695745,0.4846153846153846,0.040261510326995,0.0587949049309369,100.0,0.03076923076923077,0.0656494270922494,0.08989797747798252,311.3091226952103,0.3769230769230769,False,False,False,False,True,1
5d,OVERALL,momentum_continuation,780,0.0656494270922494,0.08989797747798252,311.30912269521036,0.3769230769230769,0.040261510326995,0.0587949049309369,100.0,0.03076923076923077,,,,,False,False,False,False,True,1
5d,OVERALL,naive_flat_return,780,0.040261510326995,0.0587949049309369,100.0,0.03076923076923077,,,,,,,,,False,False,False,False,False,0
5d,OVERALL,xgboost,260,0.04777765489873905,0.06483887146745398,260.4476672234834,0.5038461538461538,0.040261510326995,0.0587949049309369,100.0,0.03076923076923077,0.0656494270922494,0.08989797747798252,311.3091226952103,0.3769230769230769,False,False,False,False,True,1
